case,n,tau_0.25_LQR,tau_0.25_PLAQR,tau_0.25_DPLQR,tau_0.50_LQR,tau_0.50_PLAQR,tau_0.50_DPLQR,tau_0.75_LQR,tau_0.75_PLAQR,tau_0.75_DPLQR
1,1000,0.0896 (0.1402),0.0944 (0.1428),0.1235 (0.1446),0.0219 (0.1116),0.0413 (0.1199),0.0636 (0.1235),-0.0721 (0.1389),0.0836 (0.1411),0.1203 (0.1439)
1,2000,0.0742 (0.0970),0.0821 (0.0998),0.1078 (0.1074),-0.0148 (0.0796),0.0304 (0.0812),0.0483 (0.0925),-0.0679 (0.0988),-0.0795 (0.1003),0.0983 (0.1118)
2,1000,0.0764 (0.1384),-0.0297 (0.1253),0.0360 (0.1301),-0.0611 (0.1158),-0.0124 (0.1008),0.0338 (0.1116),-0.0757 (0.1493),-0.0210 (0.1364),-0.0307 (0.1417)
2,2000,0.0710 (0.1086),-0.0145 (0.0970),0.0229 (0.0976),0.0506 (0.0794),0.0099 (0.0782),0.0158 (0.0785),-0.0727 (0.0943),0.0112 (0.1060),-0.0266 (0.0984)
3,1000,0.1244 (0.1787),-0.1060 (0.1647),0.0762 (0.1394),0.1068 (0.1444),-0.0902 (0.1337),0.0403 (0.0998),-0.1322 (0.1718),-0.1095 (0.1691),0.0604 (0.1330)
3,2000,0.1170 (0.1231),-0.0935 (0.1146),0.0556 (0.0951),-0.0951 (0.1046),-0.0630 (0.0978),0.0297 (0.0848),-0.1212 (0.1165),-0.0942 (0.1146),-0.0445 (0.0941)
