case,n,tau_0.25_LQR,tau_0.25_PLAQR,tau_0.25_DPLQR,tau_0.50_LQR,tau_0.50_PLAQR,tau_0.50_DPLQR,tau_0.75_LQR,tau_0.75_PLAQR,tau_0.75_DPLQR
1,1000,0.910,0.900,0.895,0.975,0.915,0.905,0.900,0.910,0.905
1,2000,0.925,0.920,0.915,0.945,0.940,0.935,0.930,0.920,0.925
2,1000,0.855,0.910,0.895,0.960,0.955,0.945,0.865,0.915,0.910
2,2000,0.885,0.925,0.915,0.960,0.945,0.955,0.895,0.935,0.930
3,1000,0.865,0.885,0.910,0.885,0.875,0.930,0.870,0.895,0.925
3,2000,0.900,0.925,0.935,0.915,0.920,0.955,0.905,0.920,0.945
