design,n_total,coef,epoch_first,epoch_last,abs_bias_first,abs_bias_last,abs_bias_delta,rmse_first,rmse_last,mean_hetero_ratio
case6_c0.1_t3,400,1,10,200,0.5463022977113724,0.09501426219940186,-0.45128803551197055,0.5749850204302447,0.10225053528538249,4.638297456137671
case6_c0.1_t3,400,2,10,200,0.9639299713075161,0.1798088788986206,-0.7841210924088955,1.0184080049140702,0.19733038014632825,4.638297456137671
case6_c10_t3,400,1,10,200,1.1789204135537148,1.2448141306638718,0.06589371711015701,1.2306803455413502,1.4747492921933085,4.701791439958683
case6_c10_t3,400,2,10,200,1.1811702214181423,1.0377824187278748,-0.14338780269026752,1.2012607264614663,1.1032893341798384,4.701791439958683
case6_c15_t3,400,1,10,200,1.0648225367069244,1.0726682859472931,0.007845749240368738,1.178386306402085,1.4629904786644714,4.547177935327499
case6_c15_t3,400,2,10,200,1.2481030076742172,0.7072281464934349,-0.5408748611807823,1.3107554011626026,0.8648070994472149,4.547177935327499
case6_c1_t3,400,1,10,200,0.9819829110056162,0.6598258964717388,-0.32215701453387735,1.0202115615718303,0.6793149745549099,4.583071925312998
case6_c1_t3,400,2,10,200,1.1322415316477419,0.5854669570922851,-0.5467745745554567,1.1616930754233832,0.5987059091917482,4.583071925312998
case6_c20_t3,400,1,10,200,1.3695678561925888,0.8731276720762253,-0.4964401841163635,1.3973584151276803,1.191918996908288,4.521807328674588
case6_c20_t3,400,2,10,200,1.0814589276909827,1.1757499903440476,0.09429106265306486,1.1735881523033729,1.2849121409270061,4.521807328674588
