design,n_total,coef,epoch_first,epoch_last,abs_bias_first,abs_bias_last,abs_bias_delta,rmse_first,rmse_last,mean_hetero_ratio
case4_unscaled_t3,400,1,20,60,1.516708105802536,1.4482441395521164,-0.06846396625041962,1.5210721243601957,1.4500482522482125,3.347399073909319
case4_unscaled_t3,400,2,20,60,1.0309379398822784,0.9876041859388351,-0.0433337539434433,1.0970559620872975,1.0452219153238673,3.347399073909319
case6_amp_phi_t3,400,1,20,60,1.3942347466945648,1.2431475728517398,-0.151087173842825,1.397610469645334,1.2662300224391458,4.925596279078041
case6_amp_phi_t3,400,2,20,60,0.6916003972291946,0.5902479141950607,-0.10135248303413391,0.7018105678717584,0.5911451326760748,4.925596279078041
interact_s1_t3,400,1,20,60,0.331148236989975,0.45594774186611176,0.12479950487613678,0.34930742363178074,0.513037533515991,68.05777184864071
interact_s1_t3,400,2,20,60,0.9880453050136566,0.8704173974692822,-0.11762790754437447,1.0154266712541173,0.8958084931557844,68.05777184864071
interact_s5_t3,400,1,20,60,0.7757611572742462,0.6231082193553448,-0.15265293791890144,0.7814888184287079,0.6762932012557065,47.57706673474431
interact_s5_t3,400,2,20,60,0.8099145703017712,0.696029782295227,-0.11388478800654411,0.8315563495316434,0.6960882324781349,47.57706673474431
mild_s10_t3,400,1,20,60,0.8216681005433202,0.6928741671144962,-0.12879393342882395,0.8374241956301527,0.7199884231577056,2.976309386123507
mild_s10_t3,400,2,20,60,1.4898822456598282,1.3843525797128677,-0.10552966594696045,1.4960061343147308,1.38636544832547,2.976309386123507
mild_s1_t3,400,1,20,60,0.9282762259244919,0.6704223733395338,-0.2578538525849581,1.0000489202776075,0.7382547768296417,2.842907729549982
mild_s1_t3,400,2,20,60,0.8508711094036698,0.5905689895153046,-0.26030211988836527,0.8601968671318954,0.5941217586863564,2.842907729549982
mild_x10_normal,400,1,20,60,0.8987942710518837,0.9250444248318672,0.02625015377998352,0.917134545939641,0.9253215296161771,10.931762253487292
mild_x10_normal,400,2,20,60,0.9611148536205292,0.7904393970966339,-0.17067545652389526,1.2080359289662956,1.15485247046345,10.931762253487292
mild_x10_s1_t3,400,1,20,60,1.0353019535541534,1.079310953617096,0.044009000062942505,1.1796494239981896,1.2628649686504851,8.574467596392012
mild_x10_s1_t3,400,2,20,60,1.3633906170725822,1.321734070777893,-0.04165654629468918,1.3837625444519461,1.3303884626992768,8.574467596392012
paper4_s10_t3,400,1,20,60,1.571778029203415,1.6552306115627289,0.08345258235931396,1.5893779006591646,1.7104022423023355,3.5673542382775922
paper4_s10_t3,400,2,20,60,0.9543870091438293,0.7042768523097038,-0.2501101568341255,1.0743133881479585,0.8559209675608364,3.5673542382775922
paper4_s1_t3,400,1,20,60,0.6778675317764282,0.49536269903182983,-0.1825048327445984,0.6786966678938811,0.4954198500527826,4.095760659307688
paper4_s1_t3,400,2,20,60,0.7942260652780533,0.5857309252023697,-0.2084951400756836,0.7956208764633564,0.5857578942847442,4.095760659307688
paper6_s10_normal,400,1,20,60,0.6256644278764725,0.522589698433876,-0.10307472944259644,0.6854138373082264,0.6346731673165341,4.408707953571584
paper6_s10_normal,400,2,20,60,1.2061769552528858,1.1700270436704159,-0.03614991158246994,1.2309610135786522,1.1810381310161908,4.408707953571584
paper6_s10_t3,400,1,20,60,0.8330290078883991,1.0695200115442276,0.23649100365582854,0.8492002639176833,1.0894200294536558,4.942472139724072
paper6_s10_t3,400,2,20,60,0.4465901255607605,0.35131150484085083,-0.09527862071990967,0.44661305426692655,0.3749675167784259,4.942472139724072
paper6_s1_t3,400,1,20,60,0.8236356228590012,0.7502056509256363,-0.07342997193336487,1.0090325895440282,0.9292174750119219,4.270486182115813
paper6_s1_t3,400,2,20,60,0.8000559695065022,0.6345155630260706,-0.16554040648043156,0.8619911888537055,0.7093313834533407,4.270486182115813
steep_hard_t3,400,1,20,60,0.9684900045394897,0.9155049324035645,-0.05298507213592529,1.0319449429362288,0.988924452115386,1869.6138862739892
steep_hard_t3,400,2,20,60,0.5555891245603561,0.5147051438689232,-0.04088398069143295,0.5804967969999807,0.6525914270368436,1869.6138862739892
steep_s1_t3,400,1,20,60,0.4992816895246506,0.5083717294037342,0.009090039879083633,0.5720454339938158,0.6289521273751797,36.96167663984911
steep_s1_t3,400,2,20,60,0.5014385133981705,0.4319754093885422,-0.0694631040096283,0.5054441405888659,0.47349169358133086,36.96167663984911
x_mult_t3,400,1,20,60,0.9072531387209892,0.8404293358325958,-0.0668238028883934,0.9651368065584215,0.9986100098282275,13.933469238176897
x_mult_t3,400,2,20,60,0.8780989646911621,0.7739917114377022,-0.10410725325345993,0.9204421145971863,0.8298153712320664,13.933469238176897
z_spike_t3,400,1,20,60,0.9214343768544495,1.0177663750946522,0.09633199824020267,0.9254707266522648,1.0209337468223088,23.993114012762362
z_spike_t3,400,2,20,60,1.3591113984584808,1.2424141392111778,-0.11669725924730301,1.3774443585177665,1.2441723859151574,23.993114012762362
