design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case4_unscaled_t3,case4_unscaled,1.0,t3,400,20,1,2,-0.516708105802536,-1.516708105802536,1.5210721243601957,5.211683082580566,6.0984437465667725,3.347399073909319,1.0,-1.516708105802536,1.5210721243601957
case4_unscaled_t3,case4_unscaled,1.0,t3,400,20,2,2,0.030937939882278442,1.0309379398822784,1.0970559620872975,5.211683082580566,6.0984437465667725,3.347399073909319,-1.0,1.0309379398822784,1.0970559620872975
case4_unscaled_t3,case4_unscaled,1.0,t3,400,60,1,2,-0.4482441395521164,-1.4482441395521164,1.4500482522482125,4.5278150796890255,6.228565692901611,3.347399073909319,1.0,-1.4482441395521164,1.4500482522482125
case4_unscaled_t3,case4_unscaled,1.0,t3,400,60,2,2,-0.012395814061164856,0.9876041859388351,1.0452219153238673,4.5278150796890255,6.228565692901611,3.347399073909319,-1.0,0.9876041859388351,1.0452219153238673
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,20,1,2,-0.3942347466945648,-1.3942347466945648,1.397610469645334,8.899934387207033,11.22165298461914,4.925596279078041,1.0,-1.3942347466945648,1.397610469645334
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,20,2,2,-0.30839960277080536,0.6916003972291946,0.7018105678717584,8.899934387207033,11.22165298461914,4.925596279078041,-1.0,0.6916003972291946,0.7018105678717584
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,60,1,2,-0.24314757285173982,-1.2431475728517398,1.2662300224391458,7.874864530563355,11.35151720046997,4.925596279078041,1.0,-1.2431475728517398,1.2662300224391458
case6_amp_phi_t3,case6_amp_phi,1.0,t3,400,60,2,2,-0.40975208580493927,0.5902479141950607,0.5911451326760748,7.874864530563355,11.35151720046997,4.925596279078041,-1.0,0.5902479141950607,0.5911451326760748
interact_s1_t3,interaction,1.0,t3,400,20,1,2,0.668851763010025,-0.331148236989975,0.34930742363178074,6.630726766586303,4.706209778785706,68.05777184864071,,,
interact_s1_t3,interaction,1.0,t3,400,20,2,2,-0.011954694986343384,0.9880453050136566,1.0154266712541173,6.630726766586303,4.706209778785706,68.05777184864071,,,
interact_s1_t3,interaction,1.0,t3,400,60,1,2,0.5440522581338882,-0.45594774186611176,0.513037533515991,6.126431035995484,4.884791612625122,68.05777184864071,,,
interact_s1_t3,interaction,1.0,t3,400,60,2,2,-0.12958260253071785,0.8704173974692822,0.8958084931557844,6.126431035995484,4.884791612625122,68.05777184864071,,,
interact_s5_t3,interaction,5.0,t3,400,20,1,2,0.22423884272575378,-0.7757611572742462,0.7814888184287079,31.017983818054198,28.781707763671875,47.57706673474431,,,
interact_s5_t3,interaction,5.0,t3,400,20,2,2,-0.19008542969822884,0.8099145703017712,0.8315563495316434,31.017983818054198,28.781707763671875,47.57706673474431,,,
interact_s5_t3,interaction,5.0,t3,400,60,1,2,0.3768917806446552,-0.6231082193553448,0.6762932012557065,28.362582778930665,31.077250480651855,47.57706673474431,,,
interact_s5_t3,interaction,5.0,t3,400,60,2,2,-0.30397021770477295,0.696029782295227,0.6960882324781349,28.362582778930665,31.077250480651855,47.57706673474431,,,
mild_s10_t3,mild_prior,10.0,t3,400,20,1,2,0.17833189945667982,-0.8216681005433202,0.8374241956301527,3.5918516397476195,4.161104083061218,2.976309386123507,1.0,-0.8216681005433202,0.8374241956301527
mild_s10_t3,mild_prior,10.0,t3,400,20,2,2,0.4898822456598282,1.4898822456598282,1.4960061343147308,3.5918516397476195,4.161104083061218,2.976309386123507,-1.0,1.4898822456598282,1.4960061343147308
mild_s10_t3,mild_prior,10.0,t3,400,60,1,2,0.30712583288550377,-0.6928741671144962,0.7199884231577056,2.956450939178467,4.3833619356155396,2.976309386123507,1.0,-0.6928741671144962,0.7199884231577056
mild_s10_t3,mild_prior,10.0,t3,400,60,2,2,0.38435257971286774,1.3843525797128677,1.38636544832547,2.956450939178467,4.3833619356155396,2.976309386123507,-1.0,1.3843525797128677,1.38636544832547
mild_s1_t3,mild_prior,1.0,t3,400,20,1,2,0.07172377407550812,-0.9282762259244919,1.0000489202776075,0.47282165586948394,0.5108142495155334,2.842907729549982,1.0,-0.9282762259244919,1.0000489202776075
mild_s1_t3,mild_prior,1.0,t3,400,20,2,2,-0.14912889059633017,0.8508711094036698,0.8601968671318954,0.47282165586948394,0.5108142495155334,2.842907729549982,-1.0,0.8508711094036698,0.8601968671318954
mild_s1_t3,mild_prior,1.0,t3,400,60,1,2,0.3295776266604662,-0.6704223733395338,0.7382547768296417,0.35283003747463226,0.47834062576293945,2.842907729549982,1.0,-0.6704223733395338,0.7382547768296417
mild_s1_t3,mild_prior,1.0,t3,400,60,2,2,-0.40943101048469543,0.5905689895153046,0.5941217586863564,0.35283003747463226,0.47834062576293945,2.842907729549982,-1.0,0.5905689895153046,0.5941217586863564
mild_x10_normal,mild_x10,1.0,normal,400,20,1,2,0.1012057289481163,-0.8987942710518837,0.917134545939641,5.86107153892517,7.174323081970215,10.931762253487292,1.0,-0.8987942710518837,0.917134545939641
mild_x10_normal,mild_x10,1.0,normal,400,20,2,2,-0.038885146379470825,0.9611148536205292,1.2080359289662956,5.86107153892517,7.174323081970215,10.931762253487292,-1.0,0.9611148536205292,1.2080359289662956
mild_x10_normal,mild_x10,1.0,normal,400,60,1,2,0.07495557516813278,-0.9250444248318672,0.9253215296161771,4.877637267112732,7.825711250305176,10.931762253487292,1.0,-0.9250444248318672,0.9253215296161771
mild_x10_normal,mild_x10,1.0,normal,400,60,2,2,-0.2095606029033661,0.7904393970966339,1.15485247046345,4.877637267112732,7.825711250305176,10.931762253487292,-1.0,0.7904393970966339,1.15485247046345
