n_total,replication,n_fit,data_sha256,quadrature_max_abs_error,sigma1_min_eigenvalue,sigma2_min_eigenvalue,sigma1_condition,sigma2_condition,mean_f0,mean_phi1,mean_phi2,Sigma1_11,Sigma1_12,Sigma1_22,Sigma2_11,Sigma2_12,Sigma2_22,V_oracle_11,V_oracle_12,V_oracle_22,oracle_se_1,oracle_se_2
1000,1,800,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,6.221285204880778e-10,0.04285341353972566,0.10131001446217146,1.1345803874650324,1.1742150445523574,0.654723884518537,0.4762498229671326,0.9764398381038428,0.04490780868026386,0.0027618160393419987,0.046566247397562995,0.10536159856176994,0.007422535037213773,0.11490815904570016,4.067658146311385,-0.2831760236972731,3.5463192015365745,0.0713061896534181,0.06658001953980427
1000,2,800,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,6.224658025837909e-10,0.040209466594793526,0.0951660739547415,1.2274021441242147,1.2837983119388938,0.6714070846008272,0.4715067417529049,0.9713787832281782,0.04152079346662542,0.0032048129681045263,0.048041858640708666,0.09861329608620503,0.009012165967385107,0.1187268229654855,4.307664905850364,-0.3649866907225018,3.4387665904998843,0.07337970518006294,0.06556262836498286
1000,3,800,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,6.083842170109984e-10,0.044841472305190845,0.10671095985508215,1.1460999724256322,1.1953228176935415,0.6714127144380793,0.4623003821728062,0.9553974991070462,0.045215528699694404,0.0015200827725991917,0.051018753778000414,0.10733069763040252,0.0035402220891096875,0.12693430743743883,3.92830927753391,-0.10242317121157896,3.1691015081859897,0.07007415070421752,0.0629394700107372
1000,4,800,0a3517a5586c10dd3c2b65bb7376e2036a2418a50f815d25b60313125bd35fc0,6.385697204264746e-10,0.04227392046917003,0.10097940087062211,1.2272038371165321,1.239074804958459,0.6540911957704357,0.48177221362708716,0.9818797786574643,0.04477530974623982,0.00421525654736412,0.049377328132654774,0.1060076488322484,0.009803408954547973,0.12009278347696187,4.012809300417726,-0.31297167466504033,3.4480412339792497,0.07082380691209812,0.06565098279899595
1000,5,800,55c5b23f417b8b9fd2644ca84fff44739cc5e894da3c7977b181f9478a9c26ff,6.178553155667411e-10,0.04105435808397675,0.10134935160046962,1.2262438451954165,1.2073607912022726,0.6702122819996085,0.4593203048089072,0.9524743141266367,0.04516122243394014,0.0046129639330329646,0.04623578956896179,0.10906608978809125,0.010130449589243353,0.11464849514855872,3.820799504169097,-0.29507267555958344,3.5398746920232282,0.06910860568852023,0.06651949612729365
1000,6,800,b4824b9c153f0ff865e46589976fc1d94f46b4714941b94a7cb191de3ca3e23a,6.263375152036021e-10,0.04118138524127153,0.09900382329152431,1.295442525983231,1.2923253462888324,0.6582119121522413,0.48819926802511615,0.9907012511239773,0.04642333390573015,0.006024895125161097,0.048106169055982716,0.11027703790117155,0.014112987703097532,0.11667193560949028,3.874439375140439,-0.45241471076406614,3.58677147267455,0.06959201979340411,0.06695867636716833
1000,7,800,616547426bdf5c7bca50eb423ed4b191ee2f3980865a19952d4219b8918e401c,6.132797710963405e-10,0.043394515663904086,0.10483780298548845,1.0877887140778562,1.1027960393401581,0.6614917701648443,0.47859997823648825,0.9780494005943926,0.04560619321915579,0.0018798871799438394,0.0449923868368179,0.10795607327883609,0.004886891809076137,0.11249644361217286,3.9218586130301065,-0.17652191647664303,3.5631143433294588,0.07001659279262047,0.06673749267961618
1000,8,800,15febff6bf59bec6af71b38b368317088375b8f9c12b1e2c5823a4f4cd2809ab,6.233148904932974e-10,0.0442274437541102,0.10467336347938273,1.1777648541510173,1.184594723630457,0.6604804756521997,0.4759706881587855,0.975618214891065,0.04744001516477866,0.003864827902334344,0.04887695743186347,0.11048203007684514,0.008859758639940546,0.11818684748486738,3.9084062339665877,-0.27751743238944737,3.5188205901835743,0.06989640757906113,0.0663213822061141
1000,9,800,a8ec1d1c0c24125824c9e8354b0aea338b91fb56739326e6db2c1d585aae4a66,6.216849741086757e-10,0.0402092372852767,0.09574997737761123,1.2378874166144302,1.2750535645271015,0.6766497299252606,0.45768224918247363,0.9503119221481555,0.04203602791926539,0.0037598649599179003,0.04794771823311912,0.09952204796545937,0.009225732484961448,0.11831427937086435,4.2759017410603875,-0.33161738041885014,3.450978410569483,0.07310866690294307,0.06567893888615935
1000,10,800,17b508536c4ffdfcd761076573bb0bf78f2eac59118fa7a91efa73e5feb57d2a,6.187438631024181e-10,0.04053603346971148,0.09744712191914187,1.1972025243829691,1.1977750614892675,0.6652476481842199,0.4788849202915526,0.9771212067689623,0.04386327333504083,0.003940405050266576,0.04520260173308175,0.10411782594729535,0.009168619768591967,0.11004902842049882,4.074170790261283,-0.32410228377884565,3.758149078834555,0.07136325026108749,0.06853966988936548
