case,tau,n_total,n_fit,n_val,replication,seed,data_seed,fit_seed,data_sha256,initialization_sha256,epoch,optimizer_updates,theta_hat_1,theta_hat_2,theta0_1,theta0_2,error_theta1,error_theta2,squared_error_theta1,squared_error_theta2,train_check_loss,validation_check_loss,train_check_loss_clipped,validation_check_loss_clipped,elapsed_time,oracle_se_1,oracle_se_2,ci_lower_1,ci_upper_1,covered_1,T_oracle_1,ci_lower_2,ci_upper_2,covered_2,T_oracle_2
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,200,1400,0.9781786799430847,-0.8098011612892151,1.0,-1.0,-0.021821320056915283,0.1901988387107849,0.0004761700090263332,0.03617559824693117,0.2439474022388458,0.4967743504047394,0.24575676918029785,0.4935734152793884,1.916162900000927,0.0713061896534181,0.06658001953980427,0.8384211163476026,1.117936243538567,True,-0.3060228033916445,-0.9402956016772045,-0.6793067209012257,False,2.8566954474544155
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,500,3500,0.9598207473754883,-0.8032124638557434,1.0,-1.0,-0.04017925262451172,0.1967875361442566,0.0016143723414643318,0.038725334381727095,0.18461736798286438,0.539996690750122,0.23694541454315185,0.5206361937522889,4.695533200007048,0.0713061896534181,0.06658001953980427,0.8200631837800062,1.0995783109709705,True,-0.5634749636714841,-0.9337069042437328,-0.672718023467754,False,2.955654526754966
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,1000,7000,1.0302684307098389,-0.8206104636192322,1.0,-1.0,0.030268430709838867,0.17938953638076782,0.0009161778976363166,0.03218060576290682,0.13614869892597198,0.587808392047882,0.22490268111228942,0.558097960948944,9.500109500004328,0.0713061896534181,0.06658001953980427,0.8905108671143568,1.170025994305321,True,0.4244853196750211,-0.9511049040072216,-0.6901160232312428,False,2.6943449043826337
6,0.5,1000,800,200,1,81260905,81260905,81760905,69c4e1b7c9ccd0f038065adec11e06ab1cbf5cc8f8b30ff18bf15119008a2baf,0321746c6402b77403f6187ee8771de24b153ba601314ac44cd4c430f453a8be,2000,14000,1.0549112558364868,-0.8681991100311279,1.0,-1.0,0.054911255836486816,0.13180088996887207,0.0030152460175401075,0.017371474596586722,0.09742151618003846,0.6250896096229553,0.3063285863399506,0.6144231176376342,18.794969800001127,0.0713061896534181,0.06658001953980427,0.9151536922410047,1.194668819431969,True,0.7700769891559422,-0.9986935504191173,-0.7377046696431385,False,1.9795862314230184
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,200,1400,1.0331580638885498,-0.8505215048789978,1.0,-1.0,0.033158063888549805,0.1494784951210022,0.0010994572008371506,0.022343820503639478,0.23138222634792327,0.46838208913803103,0.2472177678346634,0.47185091257095335,1.889644800001406,0.07337970518006294,0.06556262836498286,0.8893364845394592,1.1769796432376405,True,0.45186967986836174,-0.9790218952061484,-0.7220211145518473,False,2.279934451206947
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,500,3500,0.9560096263885498,-0.8704449534416199,1.0,-1.0,-0.043990373611450195,0.12955504655838013,0.0019351529704749737,0.016784510088744042,0.18023476541042327,0.5162725818157196,0.2968395894765854,0.5407588100433349,5.903142700000899,0.07337970518006294,0.06556262836498286,0.8121880470394592,1.0998312057376405,True,-0.5994896477643828,-0.9989453437687704,-0.7419445631144693,False,1.9760502253990744
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,1000,7000,0.9310523867607117,-0.8831773400306702,1.0,-1.0,-0.06894761323928833,0.11682265996932983,0.004753773371394487,0.01364753388230966,0.12984283447265624,0.5373733878135681,0.2965938854217529,0.5471138429641723,18.30156400000851,0.07337970518006294,0.06556262836498286,0.7872308074116211,1.0748739661098023,True,-0.9396005758009124,-1.0116777303578208,-0.7546769497035196,True,1.7818483316285878
6,0.5,1000,800,200,2,81260906,81260906,81760906,9550bd143ccf0b0e04b0a36b0bc48659654d5ef5c584ce363747cab1dc9e77c6,ca19b6b358de5963957232c95c3f89d44158d8b43befc27ae0be7324d8c182e5,2000,14000,0.9023113250732422,-0.9021866917610168,1.0,-1.0,-0.09768867492675781,0.09781330823898315,0.00954307720894576,0.00956744326865433,0.12072775900363922,0.600396625995636,0.3495858585834503,0.5653640270233155,43.19374940000125,0.07337970518006294,0.06556262836498286,0.7584897457241516,1.0461329044223329,True,-1.3312764706132882,-1.0306870820881675,-0.7736863014338663,True,1.4919064515605274
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,200,1400,0.6709228157997131,-0.9125283360481262,1.0,-1.0,-0.32907718420028687,0.08747166395187378,0.10829179316118953,0.007651291994509535,0.250628674030304,0.41890650272369384,0.2573240554332733,0.4146923017501831,4.944492800001171,0.07007415070421752,0.0629394700107372,0.5335800041722147,0.8082656274272115,False,-4.696128042840209,-1.03588743047521,-0.7891692416210425,True,1.3897743965265594
6,0.5,1000,800,200,3,81260907,81260907,81760907,af5dbe330a9983f23769cfb1bcfa68bd0f3553e85c7ca2da3e31ff6413dd650c,cf91d7417c781e6437f6d83709cd3eb2037cbc0b15dd31759be82ab6242ac36d,500,3500,0.645531415939331,-0.9173469543457031,1.0,-1.0,-0.35446858406066895,0.08265304565429688,0.12564797708597553,0.0068315259559312835,0.19948587775230409,0.46717799186706543,0.2285313594341278,0.43216495037078856,12.520003100013128,0.07007415070421752,0.0629394700107372,0.5081886043118327,0.7828742275668295,False,-5.058478490262098,-1.0407060487727868,-0.7939878599186194,True,1.3132148338744611
