n_total,n_fit,epoch_200,epoch_500,epoch_1000,epoch_2000
1000,800,0.6571428571428571,0.6857142857142857,0.6714285714285714,0.7285714285714285
2000,1600,0.8714285714285714,0.8285714285714286,0.8,0.8
