n_total,n_fit,epoch,component,theta0,method,Q_available,Q_requested,covered_count,coverage,coverage_mcse,nominal_coverage_mcse,coverage_wilson_lower,coverage_wilson_upper,mean_theta,bias,mc_sd,mean_oracle_se,se_to_mc_sd,mean_ci_length,mean_T,sd_T
1000,800,200,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,60,0.8571428571428571,0.04182428884065143,0.026049403612586397,0.7566158011633325,0.920510582829334,0.9351780278342111,-0.06482197216578889,0.08076498215884872,0.07171125370768942,0.8879003225265077,0.2811029491065713,-0.9136846790339975,1.1373499034094448
1000,800,200,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,46,0.6571428571428571,0.05673322564536834,0.026049403612586397,0.5403954969794421,0.7575401119773312,-0.9034287061010088,0.09657129389899122,0.07809156563632286,0.06586233131954432,0.8433987817105522,0.2581755946483026,1.4617693776253482,1.17459929489283
1000,800,500,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,62,0.8857142857142857,0.03802715003706814,0.026049403612586397,0.7903577841784561,0.9409387105336235,0.9497525555746896,-0.05024744442531037,0.08893986826350689,0.07171125370768942,0.8062891828805803,0.2811029491065713,-0.7113293774228505,1.2493180007346754
1000,800,500,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,48,0.6857142857142857,0.055486189283155685,0.026049403612586397,0.5697286201420141,0.7823770995341724,-0.9247031543936048,0.07529684560639516,0.08699703075298022,0.06586233131954432,0.7570641290799238,0.2581755946483026,1.1409107475741311,1.3134935797185485
1000,800,1000,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,60,0.8571428571428571,0.04182428884065143,0.026049403612586397,0.7566158011633325,0.920510582829334,0.9581293616976057,-0.04187063830239435,0.09904997566178826,0.07171125370768942,0.7239906242132916,0.2811029491065713,-0.5944911108860153,1.3885038981573086
1000,800,1000,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,47,0.6714285714285714,0.05613914408451801,0.026049403612586397,0.5550093573883407,0.770011306928139,-0.929574077469962,0.07042592253003799,0.09077361663102355,0.06586233131954432,0.7255668966816803,0.2581755946483026,1.0687292526344618,1.3755952337450794
1000,800,2000,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,57,0.8142857142857143,0.04647956383430685,0.026049403612586397,0.7077442179325669,0.8881269999809797,0.9577939859458379,-0.04220601405416213,0.11109086658415224,0.07171125370768942,0.6455188973916912,0.28110294910657135,-0.5991717645986548,1.5546577623884894
1000,800,2000,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,51,0.7285714285714285,0.05315141471586035,0.026049403612586397,0.6145568826371893,0.8188040031181171,-0.936588431256158,0.06341156874384202,0.09858839135208113,0.06586233131954432,0.6680536158089369,0.2581755946483026,0.9647762698851607,1.496251067001683
2000,1600,200,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,59,0.8428571428571429,0.043498600895699874,0.026049403612586397,0.7401175342315778,0.909923794401382,0.965759904044015,-0.034240095955984984,0.05831224099982339,0.050581596398181466,0.86742672774889,0.1982762144419532,-0.6767486967655816,1.151546148105996
2000,1600,200,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,61,0.8714285714285714,0.04000728796580704,0.026049403612586397,0.7733524405057483,0.9308589988466248,-0.971366651569094,0.028633348430906036,0.05519923438349902,0.0463115361805776,0.8389887413804736,0.18153788596531148,0.620788752624918,1.1946525538376298
2000,1600,500,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,58,0.8285714285714286,0.04504613766962087,0.026049403612586397,0.7238335196785457,0.8991227535947075,0.9733253180980682,-0.026674681901931785,0.06930009527259903,0.050581596398181466,0.7298921624741433,0.1982762144419532,-0.5253010963617267,1.3684075717602011
2000,1600,500,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,58,0.8285714285714286,0.04504613766962087,0.026049403612586397,0.7238335196785457,0.8991227535947075,-0.9733787281172616,0.02662127188273844,0.0595644081043657,0.0463115361805776,0.7775035067826562,0.18153788596531148,0.5781112588148362,1.285972526991477
2000,1600,1000,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,53,0.7571428571428571,0.05125253318065754,0.026049403612586397,0.6450496077036256,0.8424813887710942,0.9771544166973659,-0.022845583302634087,0.07502189975467011,0.050581596398181466,0.6742244139856345,0.1982762144419532,-0.4498177118834613,1.480078651510067
2000,1600,1000,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,56,0.8,0.047809144373375745,0.026049403612586397,0.6918335550374695,0.8769526075163705,-0.9820406479494912,0.017959352050508803,0.06911385728732256,0.0463115361805776,0.6700759876279174,0.18153788596531148,0.39120410713629056,1.486038251671992
2000,1600,2000,theta_1,1.0,Oracle-nuisance heteroskedastic Wald,70,70,55,0.7857142857142857,0.04904332588039966,0.026049403612586397,0.676088137365211,0.8656129698289221,0.9760778427124024,-0.023922157287597612,0.07873441252969304,0.050581596398181466,0.6424331467400696,0.1982762144419532,-0.4710401431499184,1.5533910913051137
2000,1600,2000,theta_2,-1.0,Oracle-nuisance heteroskedastic Wald,70,70,56,0.8,0.047809144373375745,0.026049403612586397,0.6918335550374695,0.8769526075163705,-0.9861454027039664,0.013854597296033555,0.07632666208310103,0.0463115361805776,0.606754375425925,0.18153788596531148,0.302724652090526,1.6432597910230615
