case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss
2,additive,8,1000,800,200,10000,10000,0.5,1,41260912,41760912,1041760912,2041260912,3041260912,1.5327645993476153,5.015129905850447,4.08980178586603,1.57862819621059,25.151527972555517,-5.001838760546569,0.37424687899064074,16.726478647672966,-3.552713678800501e-15,1.3860204983728863e-07,7,0.005,1,1,0.30402854084968567,1.0,-0.6959714591503143,0.6959714591503143,0.36564674973487854,-1.0,1.3656467497348785,1.3656467497348785,1.9516227639524457,1.968704815190852,1.9139171575334957
2,additive,8,1000,800,200,10000,10000,0.5,2,41260912,41760912,1041760912,2041260912,3041260912,1.5481931686740158,3.9878961334725753,3.0600619959626605,1.7125815148465924,15.903315571365518,-4.125958833538565,0.46843584670665855,9.363979419134981,0.0,2.600787318840503e-07,14,0.005,1,1,0.3388229012489319,1.0,-0.6611770987510681,0.6611770987510681,0.3999096155166626,-1.0,1.3999096155166626,1.3999096155166626,1.4023255032849362,1.4266982095052225,1.3895043305377597
2,additive,8,1000,800,200,10000,10000,0.5,5,41260912,41760912,1041760912,2041260912,3041260912,1.569485457240082,1.9402090723897008,1.6520663078003075,1.9585168660938743,3.764411244583303,-1.4968025126541187,0.5230897483620518,2.7293230853689403,4.440892098500626e-16,5.606168169691728e-07,35,0.005,1,1,0.4097120463848114,1.0,-0.5902879536151886,0.5902879536151886,0.4542505741119385,-1.0,1.4542505741119385,1.4542505741119385,0.8479302154916877,0.9439696218674901,0.8772638304499507
2,additive,8,1000,800,200,10000,10000,0.5,10,41260912,41760912,1041760912,2041260912,3041260912,1.5206256712797055,1.1535175903019907,1.1583080382670674,1.885690406708515,1.3306028311361116,-0.9373078631652623,0.5828497552004255,1.3416775115141022,2.220446049250313e-16,5.821817179452182e-07,70,0.005,1,1,0.4477430582046509,1.0,-0.5522569417953491,0.5522569417953491,0.41679733991622925,-1.0,1.4167973399162292,1.4167973399162292,0.6892412218603668,0.7794908690297915,0.7341971879756036
2,additive,8,1000,800,200,10000,10000,0.5,20,41260912,41760912,1041760912,2041260912,3041260912,1.3693429296667654,1.2131884314671102,0.9057573823105299,1.5379340108383894,1.4718261702456272,-1.0946818727369967,0.7274213271987193,0.8203964356100234,1.1102230246251565e-16,5.644329377219037e-07,140,0.005,1,1,0.5067492127418518,1.0,-0.4932507872581482,0.4932507872581482,0.2774207293987274,-1.0,1.2774207293987274,1.2774207293987274,0.6209934446050441,0.69999005848118,0.6682807441045961
2,additive,8,1000,800,200,10000,10000,0.5,30,41260912,41760912,1041760912,2041260912,3041260912,1.1981364418556673,0.9885702814195836,0.8519716343804242,1.2393101622930698,0.9772712013059947,-0.7453628489051067,0.6725337144356937,0.7258556657888512,3.3306690738754696e-16,5.208143036838919e-07,210,0.005,1,1,0.6012285947799683,1.0,-0.39877140522003174,0.39877140522003174,0.12982843816280365,-1.0,1.1298284381628036,1.1298284381628036,0.599592219353968,0.6582544038148316,0.6574404358065159
2,additive,8,1000,800,200,10000,10000,0.5,50,41260912,41760912,1041760912,2041260912,3041260912,0.8836197595564743,1.017074544587032,0.6752285963181924,0.7615036384351681,1.0344406292469186,-0.6700053051981251,0.7461315111552533,0.4559336572858365,-5.551115123125783e-17,5.222839831731108e-07,350,0.005,1,1,0.7695717811584473,1.0,-0.23042821884155273,0.23042821884155273,-0.14695444703102112,-1.0,0.8530455529689789,0.8530455529689789,0.5563266650760571,0.6348810053570421,0.6233238221245249
2,additive,8,1000,800,200,10000,10000,0.5,75,41260912,41760912,1041760912,2041260912,3041260912,0.601697190717996,0.6772502906952337,0.6495317549491756,0.39706289467313327,0.45866795624677853,-0.21691967511627794,0.5069810791163811,0.42189150068735587,0.0,5.223259300635164e-07,525,0.005,1,1,0.8917281031608582,1.0,-0.10827189683914185,0.10827189683914185,-0.4081244170665741,-1.0,0.5918755829334259,0.5918755829334259,0.5224789462724861,0.6299988359088605,0.6195189883735526
2,additive,8,1000,800,200,10000,10000,0.5,100,41260912,41760912,1041760912,2041260912,3041260912,0.4514331352198865,0.7509082912235235,0.6165802949322166,0.23314685458724516,0.5638632618282321,-0.20841942815838901,0.5230032188192227,0.38017126009869917,-5.551115123125783e-17,5.283082344931245e-07,700,0.005,1,1,0.9335078001022339,1.0,-0.06649219989776611,0.06649219989776611,-0.5534905791282654,-1.0,0.4465094208717346,0.4465094208717346,0.4903031741989774,0.628169342528684,0.6132061931165703
2,additive,8,1000,800,200,10000,10000,0.5,150,41260912,41760912,1041760912,2041260912,3041260912,0.3579442842060445,0.7545558201694067,0.6905027217569241,0.1737781514741871,0.569354485751526,-0.13316931423599654,0.3583998537142671,0.47679400875372013,1.1102230246251565e-16,5.518334091902943e-07,1050,0.005,1,1,1.0046948194503784,1.0,0.004694819450378418,0.004694819450378418,-0.6420865058898926,-1.0,0.3579134941101074,0.3579134941101074,0.45704994506955204,0.6491921806981225,0.6280288203304525
2,additive,8,1000,800,200,10000,10000,0.5,200,41260912,41760912,1041760912,2041260912,3041260912,0.3238790627892628,0.8183834056998455,0.7567058399667569,0.1412145448924143,0.6697513987248779,-0.11918110768874854,0.2939238290504391,0.5726037282397951,0.0,5.674346184036949e-07,1400,0.005,1,1,1.0015345811843872,1.0,0.001534581184387207,0.001534581184387207,-0.6761245727539062,-1.0,0.32387542724609375,0.32387542724609375,0.4146136213468978,0.6704270919194623,0.646810683113557
2,additive,8,1000,800,200,10000,10000,0.5,300,41260912,41760912,1041760912,2041260912,3041260912,0.2951818515164562,0.9992595200837688,0.99817167796633,0.09583175307579343,0.9985195884780441,-0.04900232142985954,0.08955500773688013,0.9963466986941188,4.440892098500626e-16,5.689647935014364e-07,2100,0.005,1,1,0.9475089311599731,1.0,-0.052491068840026855,0.052491068840026855,-0.7095227837562561,-1.0,0.2904772162437439,0.2904772162437439,0.37754651337710365,0.7095501238970394,0.7007370590806374
2,additive,8,1000,800,200,10000,10000,0.5,500,41260912,41760912,1041760912,2041260912,3041260912,0.2980557408222374,1.298723394212975,1.273928336270828,0.09943629579585558,1.6866824546760706,-0.081612672259083,0.09138549409160997,1.62289340595376,-2.220446049250313e-16,5.590449561054811e-07,3500,0.005,1,1,0.9509807229042053,1.0,-0.04901927709579468,0.04901927709579468,-0.7060028314590454,-1.0,0.2939971685409546,0.2939971685409546,0.2882678650580126,0.7794880474247949,0.7678136679085557
2,additive,8,1000,800,200,10000,10000,0.5,750,41260912,41760912,1041760912,2041260912,3041260912,0.3844509614242234,1.5379099799022853,1.5286193771062533,0.14609746964370976,2.3651671062830477,-0.08729368793102407,0.06952169736938944,2.3366772000647096,0.0,5.455901543882646e-07,5250,0.005,1,1,0.9030474424362183,1.0,-0.09695255756378174,0.09695255756378174,-0.627974808216095,-1.0,0.37202519178390503,0.37202519178390503,0.24800376041013972,0.8130144483347883,0.8218903066446345
2,additive,8,1000,800,200,10000,10000,0.5,1000,41260912,41760912,1041760912,2041260912,3041260912,0.38953349779047136,1.6580630740950164,1.6356371793314664,0.16856078413103345,2.749173157677416,-0.121212479698527,0.08308672560007163,2.675308982411395,0.0,5.372898126410064e-07,7000,0.005,1,1,0.9336759448051453,1.0,-0.06632405519485474,0.06632405519485474,-0.6161543726921082,-1.0,0.38384562730789185,0.38384562730789185,0.2234103833961275,0.8264409068981852,0.84793145028821
