n,epochs,rep,n_train,n_eval,oracle_f0,data_sha256,adam_sn_xi_1,adam_sn_xi_2,adam_sn_psi_00_1,adam_sn_psi_00_2,adam_sn_psi_fit_1,adam_sn_psi_fit_2,adam_sn_psi0_N_1,adam_sn_psi0_N_2,adam_sigma2_sn_xi_1,adam_sigma2_sn_xi_2,adam_Gap_EP_1,adam_Gap_EP_2,adam_Gap_Taylor_1,adam_Gap_Taylor_2,adam_C_n_1,adam_C_n_2,adam_R2_n,adam_IF_resid_1,adam_IF_resid_2,adam_IF_resid_2Sigma_1,adam_IF_resid_2Sigma_2,adam_a_hat_1,adam_a_hat_2,adam_sn_a_1,adam_sn_a_2,adam_m_l2,adam_h_l2,adam_Sigma2_11,adam_Sigma2_12,adam_Sigma2_22,adam_theta_1,adam_theta_2,prof_sn_xi_1,prof_sn_xi_2,prof_sn_psi_00_1,prof_sn_psi_00_2,prof_sn_psi_fit_1,prof_sn_psi_fit_2,prof_sn_psi0_N_1,prof_sn_psi0_N_2,prof_sigma2_sn_xi_1,prof_sigma2_sn_xi_2,prof_Gap_EP_1,prof_Gap_EP_2,prof_Gap_Taylor_1,prof_Gap_Taylor_2,prof_C_n_1,prof_C_n_2,prof_R2_n,prof_IF_resid_1,prof_IF_resid_2,prof_IF_resid_2Sigma_1,prof_IF_resid_2Sigma_2,prof_a_hat_1,prof_a_hat_2,prof_sn_a_1,prof_sn_a_2,prof_m_l2,prof_h_l2,prof_Sigma2_11,prof_Sigma2_12,prof_Sigma2_22,prof_theta_1,prof_theta_2
500,1000,1,400,50000,0.36755259694786135,07186b455866b49073d60cc9802ff5f48c8881aeb8da4aebf4cb26e3a7a6f9dd,-4.247264862060547,4.7001707553863525,-0.29681350782500415,-0.31004241612745814,-0.1345812195695662,0.09479868184371389,-0.11473832556045062,0.18901463244532193,-0.2453373802714991,0.28369156893908487,-0.41155183338545476,-0.12102778368213621,0.1305990547110485,-0.09467693649376294,0.12187760935648037,-0.0748710789571975,28.302668478613487,-0.5421508880965032,-0.026350847188373272,-0.7874882683680023,0.2573407217507116,0.1794876099733141,-0.03958828039075557,3.5897521994662815,-0.7917656078151114,1.1895938062761904,1.2268214916027815,0.06496381544948669,0.006506391359813069,0.06623715446585778,0.7876367568969727,-0.7649914622306824,-3.8482289891968158,-0.7584861875860405,-0.29681350782500415,-0.31004241612745814,-0.25028745839764954,-0.9388194262362776,-0.11778452086322541,-0.07400337913791782,-0.25493064583899405,-0.07527805061324848,-0.4145980286882296,-0.38404579526537597,0.13714612497576864,0.0012746714753306548,0.12187760935648037,-0.0748710789571975,28.302668478613487,-0.5517441536639982,-0.38532046674070664,-0.8066747995029923,-0.4605985173539551,0.1023606598888792,0.29540833251770926,2.047213197777584,5.908166650354185,1.1895938062761904,1.169657288854841,0.06496381544948669,0.006506391359813069,0.06623715446585778,0.8075885505401592,-1.037924309379302
500,1000,2,400,50000,0.36755259694786135,0b662ac19523ed2889b3077c71c9d322b6c1ac2d4368d58f7509486b9ef32843,-4.438199996948242,6.126002073287964,-0.16476421597408644,0.09184817721342231,0.4459493488876367,0.23305508986224605,-0.10865766236485885,0.22928026965484985,-0.23559783978866247,0.4401413384233441,-0.27342187833894527,0.32112844686827213,0.12694017742380362,-0.21086106876849423,0.4806260006769541,-0.38166209860667805,52.14167761465503,-0.4003620557627489,0.5319895156367664,-0.6359598955514114,0.9721308540601105,-0.28931914979341905,-0.04426599360317441,-5.786382995868381,-0.8853198720634882,1.6146466736511587,1.6473301922602588,0.062369402681690576,0.006727069712002558,0.07672172055703634,0.7780900001525879,-0.6936998963356018,-5.343221967541192,2.0395983863398004,-0.16476421597408644,0.09184817721342231,0.04777667248874552,-0.4288833480994783,-0.1752604947739438,0.039484873293742236,-0.31953304198183585,0.12053727078299135,-0.3400247107480302,0.13133305050716454,0.14427254720789207,-0.08105239748924911,0.4806260006769541,-0.38166209860667805,52.14167761465503,-0.48429725795592227,0.21238544799641368,-0.8038302999377581,0.33292271877940505,-0.0903770656208433,0.2228232082790454,-1.807541312416866,4.456464165580908,1.6146466736511587,1.6171173456755101,0.062369402681690576,0.006727069712002558,0.07672172055703634,0.7328389016229404,-0.89802008068301
500,1000,3,400,50000,0.36755259694786135,272be430285a9081050cf3428e716df06250ce566272b36a49c7319ae16c5c00,-12.395843863487244,6.049907207489014,0.3579975408053613,0.4223172756512551,-0.007036321050060822,-0.18965556306717338,-0.39354536279669705,0.20386726212477108,-0.7482801749651824,0.3369343825226953,-0.03554782199133577,0.6261845377760262,0.35473481216848535,-0.13306712039792423,0.38987737633787295,-0.2866738563953192,34.93389761674535,-0.3902826341598211,0.7592516581739504,-1.1385628091250035,1.0961860406966457,0.00796731999022882,0.023819193473178717,0.15934639980457638,0.47638386946357436,1.3216258475216303,1.3266984696891706,0.06399220112816567,0.0074310492968851305,0.07091819669856303,0.3802078068256378,-0.6975046396255493,-12.207982801366114,4.970501132628005,0.3579975408053613,0.4223172756512551,-0.007045688959178019,-0.25486513563447266,-0.42908119828268537,0.1644129082079643,-0.7442796518474257,0.26178085500166576,-0.07108365747732409,0.5867301838592194,0.31519845356474036,-0.09736794679370145,0.38987737633787295,-0.2866738563953192,34.93389761674535,-0.38628211104206445,0.6840981306529208,-1.1305617628894902,0.9458789856545866,-0.027604435769593146,0.037591404668204736,-0.5520887153918629,0.7518280933640947,1.3216258475216303,1.3260751495109666,0.06399220112816567,0.0074310492968851305,0.07091819669856303,0.38960085993169424,-0.7514749433685998
500,1000,4,400,50000,0.36755259694786135,df31a25deed2ec21948f961dc569df7e2a4d86f11608629c6d72817da887528d,0.8825325965881348,5.856229066848755,0.27535047690492415,0.12427685220287658,0.2283973060410899,0.10673958816184395,0.038759876010137084,0.2097099334524802,0.11436433198365199,0.4451329999094834,0.31411035291506123,0.3339867856553568,-0.07560445597351491,-0.2354230664570032,-0.09083695665470767,-0.42526213524538475,36.673569094434356,0.3897148088885761,0.56940985211236,0.5040791408722282,1.0145428520218434,-0.05557871799476064,-0.01975246236829499,-1.1115743598952128,-0.3950492473658998,1.3541338392942248,1.3700054994109119,0.06890597999318043,0.00914454641861151,0.07463209424101805,1.0441266298294067,-0.7071885466575623,-0.0679959889495585,3.3916363172025443,0.27535047690492415,0.12427685220287658,-0.055398967020082075,-0.3069130773515949,0.003723601509828654,0.1383177586935819,0.026329645483532463,0.252503128779491,0.2790740784147528,0.26259461089645847,-0.022606043973703808,-0.1141853700859091,-0.09083695665470767,-0.42526213524538475,36.673569094434356,0.3016801223884566,0.3767799809823676,0.3280097678719891,0.6292831097618585,-0.028153276465987587,0.08016871429862238,-0.5630655293197517,1.6033742859724476,1.3541338392942248,1.3519534448891521,0.06890597999318043,0.00914454641861151,0.07463209424101805,0.9966002005525221,-0.8304181841398728
500,1000,5,400,50000,0.36755259694786135,f5f113ffe37c6a66f157d5902d6d3eb886b0eceec7e63fa250f609c9bfca685b,-0.6321513652801514,4.682350158691406,-0.3785111378120516,-0.218804832700694,-0.0545476741182144,-0.15733211005662498,-0.020321767026308585,0.1956869955393013,-0.013851661389524024,0.29182077887029273,-0.3988329048383602,-0.023117837161392707,-0.006470105636784561,-0.09613378333099143,0.19079800090067614,-0.40784642850588654,42.71857836846257,-0.39236279920157563,0.07301594616959872,-0.4062144605910996,0.36483672503989145,0.06473522468959397,0.19521376948636376,1.2947044937918795,3.9042753897272755,1.4614817543928247,1.4486960872312422,0.061362018363268295,0.005326048127535037,0.06304262548962357,0.9683924317359924,-0.7658824920654297,1.3442832250490921,2.258900402702706,-0.3785111378120516,-0.218804832700694,0.06686302484613367,-0.4734059983062186,0.09113615033877788,0.08425965555858879,0.09451894420099881,0.14956672925959605,-0.2873749874732737,-0.13454517714210523,-0.0033827938622209286,-0.06530707370100726,0.19079800090067614,-0.40784642850588654,42.71857836846257,-0.28399219361105277,-0.06923810344109796,-0.18947324941005397,0.08032862581849809,-0.03013865654360846,0.24301769476711035,-0.6027731308721692,4.860353895342207,1.4614817543928247,1.447000285287394,0.061362018363268295,0.005326048127535037,0.06304262548962357,1.0672141612524546,-0.8870549798648647
500,1000,6,400,50000,0.36755259694786135,956bf85b0f4610432ed7b33baa1747cd99ee08fe115f51a17472a33191cf9f1b,-0.4639744758605957,9.370667934417725,-0.02257988910191,-0.011634338018753985,-0.233508231999064,0.194985880347484,0.017356498609875724,0.4258391811166353,0.019052861078541546,0.7095118769506993,-0.005223390492034276,0.41420484309788136,-0.0016963624686658213,-0.28367269583406396,0.20565417366258018,-0.4940093440959649,32.65402973225324,-0.0035270280233684545,0.6978775389319453,0.015525833055173091,1.4073894158826445,0.061695654159139635,-0.03210034023244078,1.2339130831827927,-0.6420068046488157,1.2777720792898326,1.1579133968950466,0.06791219752839436,0.005395814651120856,0.07598341998761024,0.9768012762069702,-0.5314666032791138,1.600035688458199,8.699865494549394,-0.02257988910191,-0.011634338018753985,0.21609564661812966,0.005583562290130748,0.13108608867634702,0.432046205383323,0.1556048014253241,0.6696790297181641,0.10850619957443702,0.42041186736456904,-0.024518712748977073,-0.23763282433484106,0.20565417366258018,-0.4940093440959649,32.65402973225324,0.1330249123234141,0.65804469169941,0.2886297137487382,1.327723721417574,-0.05198930742020947,0.011241791976966956,-1.0397861484041895,0.2248358395393391,1.2777720792898326,1.1559089427356235,0.06791219752839436,0.005395814651120856,0.07598341998761024,1.08000178442291,-0.5650067252725303
500,1000,7,400,50000,0.36755259694786135,9ecfa137ee26905330209ee5b860e4059da89bc34c22ebabd81abb9a738e5206,-5.9812891483306885,-1.2517285346984863,0.11704849370231661,-0.08513411098269913,0.47685308120687836,0.14548717369713232,-0.21973956656864327,-0.049512634068273706,-0.39744909223617175,-0.10850352694364299,-0.10269107286632666,-0.13464674505097285,0.17770952566752848,0.05899089287536928,0.5244290380069498,-0.0290948304785586,40.6116253018094,-0.2804005985338551,-0.19363763792634212,-0.6778496907700269,-0.3021411648699851,-0.20680667441988276,-0.019408885743924874,-4.136133488397656,-0.3881777148784975,1.4249846543350808,1.3999488531361812,0.06568370264708545,0.0036556443702723657,0.06921473669404357,0.7009355425834656,-1.0625864267349243,-10.26889514409767,0.04127293748936278,0.11704849370231661,-0.08513411098269913,-0.07247452425577874,0.14577834968709136,-0.3935521894472616,-0.023660605874373398,-0.6743481759774335,-0.03468273322152191,-0.276503695744945,-0.10879471685707252,0.28079598653017185,0.011022127347148514,0.5244290380069498,-0.0290948304785586,40.6116253018094,-0.5572996822751168,-0.11981684420422103,-1.2316478582525503,-0.15449957742574294,0.020921113657152362,-0.03714048079207132,0.41842227314304725,-0.7428096158414265,1.4249846543350808,1.398472994359587,0.06568370264708545,0.0036556443702723657,0.06921473669404357,0.4865552427951165,-0.9979363531255319
500,1000,8,400,50000,0.36755259694786135,4e7013110c848a4e791c36483904d62cd0b05a46f5187d6837c5c0e9ef13024c,-10.846824645996094,-2.207310199737549,0.2579775562870699,0.12233490986899306,-0.3959310116987571,0.01006321268113855,-0.44519572726573853,-0.09537180190522161,-0.7147598822155675,-0.16411470926684096,-0.1872181709786686,0.02696310796377145,0.269564154949829,0.06874290736161935,0.3666881982030673,0.24782055544121562,26.535521574071943,-0.4567823259284976,-0.0417797993978479,-1.1715422081440652,-0.20589450866468886,0.06665830777209658,-0.004665452136073651,1.3331661554419316,-0.09330904272147303,1.151857664255266,1.0537150858177138,0.06538091210650393,0.0025300446678044454,0.06191778501493769,0.4576587677001953,-1.1103655099868774,-10.611115643322048,-3.0546985097772783,0.2579775562870699,0.12233490986899306,-0.3474706180542546,-0.16260989186651625,-0.42439786885629666,-0.14677299917631972,-0.7014929429043999,-0.21598676216668333,-0.16642031256922674,-0.02443808930732666,0.27709507404810324,0.06921376299036361,0.3666881982030673,0.24782055544121562,26.535521574071943,-0.44351538661733,-0.09365185229769027,-1.14500832952173,-0.3096386144643736,0.023469497399682734,0.020398898416091226,0.4693899479936547,0.40797796832182454,1.151857664255266,1.0535299621347574,0.06538091210650393,0.0025300446678044454,0.06191778501493769,0.46944421783389756,-1.152734925488864
500,1000,9,400,50000,0.36755259694786135,bfa707ba756b604bb7403a854c2e49eb7947700c48d8a71acfb7344535a0fcf1,1.4603948593139648,-1.1320161819458008,0.0004891707124006272,0.03011887624880953,0.39840823953304044,-0.23117660708324123,0.052333795318335034,-0.0357736445262839,0.08201075321946352,-0.08333586378683489,0.05282296603073566,-0.005654768277474367,-0.029676957901128488,0.047562219260550986,-0.06265371661282983,-0.17298059284875542,37.68702775204425,0.08249992393186414,-0.053216987538025354,0.16451067715132767,-0.13655285132486022,-0.14074042573123707,0.029304286076078694,-2.8148085146247412,0.5860857215215739,1.3727167907482638,1.3662343294340173,0.05857920023567183,0.0031254055585615307,0.0776492345248453,1.0730197429656982,-1.05660080909729,-0.44684973372553394,-5.993066650033696,0.0004891707124006272,0.03011887624880953,-0.12509985496561232,-0.5511238538769235,-0.06687539418030765,-0.2703670049320113,-0.04490686384800974,-0.46675362447312296,-0.06638622346790703,-0.24024812868320178,-0.02196853033229791,0.19638661954111164,-0.06265371661282983,-0.17298059284875542,37.68702775204425,-0.04441769313560911,-0.4366347482243134,-0.08932455698361885,-0.9033883726974364,0.048266577272972774,0.13804342288035823,0.9653315454594555,2.7608684576071645,1.3727167907482638,1.3081008830083622,0.05857920023567183,0.0031254055585615307,0.0776492345248453,0.9776575133137233,-1.2996533325016848
500,1000,10,400,50000,0.36755259694786135,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,-7.376008033752441,0.23155689239501953,0.11101408787406464,0.22618775072060435,0.08564095580141677,-0.2094732700395027,-0.27685059245795235,-0.024846008046607998,-0.46388617239600005,-0.028598665028500704,-0.1658365045838877,0.20134174267399635,0.1870355799380477,0.003752656981892706,0.055812782050472,-0.23002619861047854,27.839126586467522,-0.3528720845219354,0.19758908569210365,-0.8167582569179355,0.16899042066360292,-0.04041647440183021,0.05995940145314521,-0.8083294880366042,1.1991880290629042,1.179811988972555,1.18265247659837,0.06308263336380762,0.006097154228932451,0.07071261571087187,0.6311995983123779,-0.988422155380249,-7.127045757505712,1.5809837795035397,0.11101408787406464,0.22618775072060435,0.2273061107429596,-0.028538528196694113,-0.2889190018035698,0.014132740059763511,-0.4399533125507398,0.06834080126498455,-0.17790491392950514,0.24032049078036785,0.15103431074717,-0.05420806120522104,0.055812782050472,-0.23002619861047854,27.839126586467522,-0.32893922467667513,0.2945285519855889,-0.7688925372274149,0.36286935325057346,-0.048517972554064835,-0.009993395063097831,-0.9703594510812967,-0.19986790126195664,1.179811988972555,1.1795245892743933,0.06308263336380762,0.006097154228932451,0.07071261571087187,0.6436477121247144,-0.920950811024823
