n,epochs,Q,n_train,mean_adam_sn_xi_1,mcse_adam_sn_xi_1,mean_abs_adam_sn_xi_1,mean_adam_C_n_1,mcse_adam_C_n_1,mean_abs_adam_C_n_1,mean_adam_Gap_Taylor_1,mcse_adam_Gap_Taylor_1,mean_abs_adam_Gap_Taylor_1,mean_adam_Gap_EP_1,mcse_adam_Gap_EP_1,mean_abs_adam_Gap_EP_1,mean_adam_IF_resid_1,mcse_adam_IF_resid_1,mean_abs_adam_IF_resid_1,mean_adam_R2_n,mcse_adam_R2_n,mean_abs_adam_R2_n,mean_prof_sn_xi_1,mcse_prof_sn_xi_1,mean_abs_prof_sn_xi_1,mean_prof_C_n_1,mcse_prof_C_n_1,mean_abs_prof_C_n_1,mean_prof_Gap_Taylor_1,mcse_prof_Gap_Taylor_1,mean_abs_prof_Gap_Taylor_1,mean_prof_Gap_EP_1,mcse_prof_Gap_EP_1,mean_abs_prof_Gap_EP_1,mean_prof_IF_resid_1,mcse_prof_IF_resid_1,mean_abs_prof_IF_resid_1,mean_prof_R2_n,mcse_prof_R2_n,mean_abs_prof_R2_n
500,1000,200,400,-3.026447435468435,0.3360856594721581,4.447329231351614,0.1623794320865484,0.015560686678690924,0.21768872025773875,0.08186369562813033,0.009667604515600992,0.1232938872851335,-0.1001089229362115,0.0140541602050461,0.17814407987993847,-0.18197261856434185,0.018960814535791706,0.262413290646782,36.29092027909452,0.5752945613871889,36.29092027909452,-2.905614303772179,0.34728642113397673,4.519442538141413,0.1623794320865484,0.015560686678690924,0.21768872025773875,0.07927985458170454,0.00995483254809652,0.12759111339247067,-0.10479264372952848,0.014022269037447842,0.18332090868086695,-0.184072498311233,0.019566067742772773,0.26869874255988746,36.29092027909452,0.5752945613871889,36.29092027909452
1000,1000,200,800,-1.3936648495228692,0.34562231765975676,4.078455042499229,0.04960540223588121,0.016558065596280976,0.1880984655790245,0.03130359397793613,0.009764419740001102,0.1098400478213982,-0.03837963831243846,0.014835218356549737,0.17388067164929777,-0.0696832322903746,0.02053110465969896,0.2392715852258087,47.60109542825125,0.8671901365921715,47.60109542825125,-0.31675666098036964,0.37949543400783387,4.226787969706922,0.04960540223588121,0.016558065596280976,0.1880984655790245,0.014821671468127734,0.010958713676053384,0.12094187328003855,-0.01245552663621289,0.016708704807179887,0.18712381331385422,-0.027277198104340636,0.024045445258053626,0.2693594784653527,47.60109542825125,0.8671901365921715,47.60109542825125
2000,1000,200,1600,-0.500554370880127,0.3432789517112608,3.8596585750579835,0.027100986660458123,0.015324536107874202,0.1788435264919993,0.009669277007771055,0.008819977075910035,0.09812486797916531,-0.04350497993895103,0.013214791724060706,0.1537434987810636,-0.053174256946722086,0.017245190404598227,0.19819665949053722,57.04966241597638,0.893895143175281,57.04966241597638,2.1645158413652634,0.4676407372940339,5.289075525910924,0.027100986660458123,0.015324536107874202,0.1788435264919993,-0.05019014717461131,0.012136843878702579,0.13164052553049324,0.05132961381882045,0.019529273448662742,0.2167404571328079,0.10151976099343177,0.028096050729059338,0.3146000833006976,57.04966241597638,0.893895143175281,57.04966241597638
4000,1000,200,3200,-0.8590252146552408,0.2907036696144272,3.3386486626129837,0.0020687375155458805,0.013265036813201337,0.14968598984381015,0.01580796171177458,0.007600494593155676,0.08733282313044344,-0.03871612418852413,0.01237100841202231,0.14439942530191935,-0.054524085900298704,0.014488060008163701,0.1645560013791698,81.5464015421718,3.024693892911671,81.5464015421718,6.8786566200764705,0.5952840492656423,8.689716786977167,0.0020687375155458805,0.013265036813201337,0.14968598984381015,-0.1608394510277465,0.015279920171570814,0.20167506132530325,0.32546786960129304,0.027254608329993817,0.40880007057875306,0.48630732062903953,0.04006669172427753,0.5957409167711221,81.5464015421718,3.024693892911671,81.5464015421718
