component,n,epochs,Q,true_theta,mean_theta_hat,bias,absolute_bias,MC_SD,RMSE
theta_1,500,200,200,1,0.76709643617272372,-0.23290356382727628,0.23290356382727628,0.18110892248023769,0.29475499934079002
theta_1,500,500,200,1,0.82785814300179483,-0.17214185699820517,0.17214185699820517,0.2020179426047507,0.26502832267396553
theta_1,500,1000,200,1,0.84867762822657822,-0.15132237177342178,0.15132237177342178,0.23764844887231584,0.28123453117335057
theta_1,1000,200,200,1,0.90749687343835828,-0.092503126561641724,0.092503126561641724,0.13055568509500876,0.15973850944513365
theta_1,1000,500,200,1,0.93382835075259207,-0.066171649247407927,0.066171649247407927,0.14875133025939755,0.16246541363254102
theta_1,1000,1000,200,1,0.95072650671005254,-0.049273493289947456,0.049273493289947456,0.17281115882987838,0.17928261286036448
theta_1,2000,200,200,1,0.98358506053686146,-0.016414939463138545,0.016414939463138545,0.10203313714994616,0.10309295567037997
theta_1,2000,500,200,1,0.98720824718475342,-0.012791752815246582,0.012791752815246582,0.11267780151418649,0.11312132628017771
theta_1,2000,1000,200,1,0.98748614072799679,-0.012513859272003214,0.012513859272003214,0.12136743729682097,0.12170867362557723
theta_1,4000,200,200,1,0.98719551771879199,-0.012804482281208007,0.012804482281208007,0.064161232905185078,0.065268945566506642
theta_1,4000,500,200,1,0.9854561102390289,-0.014543889760971096,0.014543889760971096,0.068961468347202348,0.070309532962454388
theta_1,4000,1000,200,1,0.98481443613767627,-0.015185563862323725,0.015185563862323725,0.072675917403606807,0.074067411021449314
