n,Q,theta1_mean,theta1_bias,theta1_sqrtn_bias,theta1_mc_sd,theta1_mean_oracle_se,T1_mean,T1_sd,coverage1,theta2_mean,theta2_bias,theta2_sqrtn_bias,theta2_mc_sd,theta2_mean_oracle_se,T2_mean,T2_sd,coverage2,IF_gap_norm_mean,IF_gap_norm_sd,IF_gap_norm_median,check_loss_mean,Cn1_mean,Cn2_mean,sandwich
1000,50,0.9789429369751896,-0.021057063024810398,-0.6658827999211552,0.09388473024978358,0.09275520059326699,-0.2217617422166655,1.018461519256963,0.96,-0.9959914657665537,0.004008534233446182,0.1267609825644704,0.05669186485444263,0.056902148895512025,0.06801196795380601,0.9978790152758594,0.96,0.20128736158220475,0.1484397796788429,0.1557689625591317,0.5518683204474213,0.0,0.0,linear_QR_raw_X
2000,50,1.0094367333558285,0.00943673335582864,0.42202354538345105,0.0628527482159227,0.0653756865228874,0.14599345543963127,0.9649448603314728,0.96,-1.0057233354460644,-0.005723335446064575,-0.25595534230868944,0.043551672017289315,0.039922145772793176,-0.1453255000670434,1.0925885742895265,0.94,0.11701357885737766,0.07839361516961574,0.10775143014893693,0.5514709808519345,0.0,0.0,linear_QR_raw_X
