n,replication,seed,experiment,theta1_hat,theta2_hat,theta1_error,theta2_error,sqrt_n_theta1_error,sqrt_n_theta2_error,oracle_se1,oracle_se2,T1,T2,coverage1,coverage2,empirical_check_loss,Cn1,Cn2,lhs1,lhs2,minus_Sn1,minus_Sn2,IF_gap1,IF_gap2,IF_gap_norm
1000,1,1020264930,experiment0_exact_m0,0.8421658060368575,-0.9839233306128196,-0.1578341939631424,0.0160766693871803,-4.991155455803283,0.5083889245299323,0.1073701227273288,0.1015604489547213,-1.4700010575937346,0.1582965569042313,1.0,1.0,0.5520889570494464,0.0,0.0,-0.2940159508028041,0.0054165504273028,-0.3476299525409758,0.0738034289827036,0.0536140017381717,-0.0683868785554007,0.0868977924974611
1000,2,1020265939,experiment0_exact_m0,0.965330129728451,-0.9551906329971064,-0.034669870271549,0.0448093670028935,-1.0963575624065522,1.4169966023953626,0.1054450730231957,0.0998411396281501,-0.3287955451832476,0.448806645935555,1.0,1.0,0.5606606229693348,0.0,0.0,-0.0564916671864434,0.089217244091792,0.2133808082375992,0.509712525629237,-0.2698724754240428,-0.420495281537445,0.4996473103967995
1000,3,1020266948,experiment0_exact_m0,0.8618980384205788,-0.9255541115619638,-0.1381019615794212,0.0744458884380362,-4.367167479280356,2.354185698989894,0.1036695336649455,0.0990106738782727,-1.3321364213497806,0.7518976037832312,1.0,1.0,0.5259492375778997,0.0,0.0,-0.2636146647457308,0.1362488690303494,-0.1210429477330318,0.2016919849100654,-0.142571717012699,-0.0654431158797159,0.1568741403418519
1000,4,1020267957,experiment0_exact_m0,0.9263514157773742,-0.95422690856221,-0.0736485842226257,0.04577309143779,-2.328972725902388,1.4474722449056805,0.1037269282606034,0.1008548648856356,-0.7100237658401597,0.453851100685073,1.0,1.0,0.5253858713155402,0.0,0.0,-0.1382034093602452,0.0803691989861984,-0.2549432784524638,0.013751627298866,0.1167398690922186,0.0666175716873323,0.1344101852285949
1000,5,1020268966,experiment0_exact_m0,1.0136632623310318,-1.0066032292923568,0.0136632623310317,-0.0066032292923567,0.4320702923444189,-0.2088124447618934,0.1026221801181596,0.0999493444817637,0.133141415581893,-0.0660657588761033,1.0,1.0,0.5502468762163998,0.0,0.0,0.0269107814059004,-0.0118318433792118,0.1507925018443726,0.2489329675249544,-0.1238817204384721,-0.2607648109041662,0.2886952844517578
1000,6,1020269975,experiment0_exact_m0,1.06343142920319,-1.0826478888479567,0.0634314292031898,-0.0826478888479567,2.0058779152179955,-2.613555725639728,0.1087066360060329,0.0971428360420806,0.5835101842326312,-0.8507872758847087,1.0,1.0,0.5568657271027885,0.0,0.0,0.1073145891442516,-0.1823800401168081,-0.0053288068893494,-0.32949993365683,0.112643396033601,0.1471198935400219,0.1852911162069301
1000,7,1020270984,experiment0_exact_m0,0.9767710719905942,-1.0812844372065018,-0.0232289280094057,-0.0812844372065018,-0.7345632011380347,-2.570439598974801,0.1037084425799225,0.0985336455016408,-0.2239829991806549,-0.8249409305083327,1.0,1.0,0.5445761637623062,0.0,0.0,-0.0599285759847303,-0.1849149677130472,0.1165468656523297,0.0143056141133097,-0.17647544163706,-0.199220581826357,0.2661436110903803
1000,8,1020271993,experiment0_exact_m0,1.0795830429032258,-1.0312679971598873,0.0795830429032258,-0.0312679971598872,2.5166367870109267,-0.988780888969198,0.0978944681086205,0.0990676573845033,0.8129472935582331,-0.3156226561260986,1.0,1.0,0.5626906786328306,0.0,0.0,0.1757936104126445,-0.0605152418979396,0.0812871250196708,-0.1195315212126983,0.0945064853929736,0.0590162793147587,0.1114199129666234
1000,9,1020273002,experiment0_exact_m0,0.8835141823633418,-0.8960410679042223,-0.1164858176366582,0.1039589320957776,-3.6836049883885207,3.2874700854143923,0.1000128732003966,0.0998669085125655,-1.164708241140664,1.0409747697626717,1.0,1.0,0.5506835053099207,0.0,0.0,-0.2333904900747624,0.2046494909669639,-0.1802947217836011,0.4293972646128524,-0.0530957682911613,-0.2247477736458885,0.2309344547035202
1000,10,1020274011,experiment0_exact_m0,0.911763148084528,-0.970380252838415,-0.088236851915472,0.0296197471615849,-2.790294256158827,0.93665864748916,0.1032753785114525,0.0955614589002156,-0.8543842025782282,0.3099549494374468,1.0,1.0,0.5617009932731087,0.0,0.0,-0.1728819523436722,0.0488533691636805,-0.1328857935666803,0.0279626027042529,-0.0399961587769919,0.0208907664594275,0.0451233513845846
