case,case_name,epoch,theta_component,theta_true,mean_theta,bias,sd,rmse,mae,bias_mcse,repetitions,mc_sd_available
2,additive,20,theta_1,1.0,0.29773227737750857,-0.7022677226224914,0.348979734596037,0.7763943095362232,0.7022677226224914,0.11035708185645378,10,True
2,additive,20,theta_2,-1.0,-0.03966335467994213,0.9603366453200579,0.34092728587419524,1.013338415916802,0.9603366453200579,0.10781067398618062,10,True
2,additive,30,theta_1,1.0,0.41735333316028117,-0.5826466668397188,0.2906422974324479,0.6445950581028097,0.5826466668397188,0.09190916442706434,10,True
2,additive,30,theta_2,-1.0,-0.1656237557530403,0.8343762442469597,0.30930671788921243,0.8844700662667557,0.8343762442469597,0.09781137241210597,10,True
2,additive,50,theta_1,1.0,0.6332679778337479,-0.3667320221662521,0.18989692547191037,0.4085916471924803,0.3667320221662521,0.06005068051544818,10,True
2,additive,50,theta_2,-1.0,-0.40532106459140776,0.5946789354085922,0.24489227908522027,0.6384497174709177,0.5946789354085922,0.07744173832989121,10,True
2,additive,75,theta_1,1.0,0.7946668684482574,-0.20533313155174254,0.13002059271320793,0.23953395164232924,0.20533313155174254,0.041116121569882896,10,True
2,additive,75,theta_2,-1.0,-0.6220109015703201,0.37798909842967987,0.19234236628090742,0.4197282285140792,0.37798909842967987,0.06082399679940373,10,True
2,additive,100,theta_1,1.0,0.8676479935646058,-0.1323520064353943,0.11441601014733489,0.17116943257400308,0.13586021661758424,0.036181519285451574,10,True
2,additive,100,theta_2,-1.0,-0.7365027397871018,0.26349726021289827,0.16855387944463823,0.30822098466515496,0.26349726021289827,0.05330141675024937,10,True
2,additive,150,theta_1,1.0,0.9115041613578796,-0.08849583864212036,0.11447469269723884,0.14009112462353474,0.11539925336837768,0.03620007633711187,10,True
2,additive,150,theta_2,-1.0,-0.8311235845088959,0.16887641549110413,0.15992597088025848,0.22701966490795017,0.1940557539463043,0.05057303249953801,10,True
2,additive,200,theta_1,1.0,0.9171584606170654,-0.08284153938293456,0.11400526719331572,0.13623583045723206,0.11545026302337646,0.03605163095869493,10,True
2,additive,200,theta_2,-1.0,-0.8609284341335297,0.13907156586647035,0.15594548630014451,0.203046781949879,0.17008164525032043,0.0493142927531041,10,True
2,additive,300,theta_1,1.0,0.9102965354919433,-0.08970346450805664,0.1002685915874146,0.13074831913940443,0.11895365715026855,0.03170771271934283,10,True
2,additive,300,theta_2,-1.0,-0.8833479940891266,0.11665200591087341,0.14698882242630362,0.18180438116138656,0.1526068389415741,0.046481946945315676,10,True
2,additive,500,theta_1,1.0,0.9111268877983093,-0.08887311220169067,0.08029581325368353,0.11705172333578723,0.1094544768333435,0.025391765645717546,10,True
2,additive,500,theta_2,-1.0,-0.8795974671840667,0.12040253281593323,0.14318870949837817,0.1815199046482829,0.14239080548286437,0.045280245723506106,10,True
2,additive,750,theta_1,1.0,0.9050221025943757,-0.09497789740562439,0.08602931673383314,0.12522675432795694,0.11567773222923279,0.027204858642695024,10,True
2,additive,750,theta_2,-1.0,-0.8718108594417572,0.1281891405582428,0.15900615673013302,0.19795736371082484,0.14790254235267639,0.050282161725693164,10,True
2,additive,1000,theta_1,1.0,0.9169966280460358,-0.08300337195396423,0.08910187464041262,0.11846851655068684,0.10447155833244323,0.028176486765450027,10,True
2,additive,1000,theta_2,-1.0,-0.8780810058116912,0.12191899418830872,0.1629410830412676,0.19687320293093213,0.14798679947853088,0.05152649468250412,10,True
3,deep,1,theta_1,1.0,0.169151359051466,-0.8308486409485341,0.3971159141582337,0.9122721131964863,0.8308486409485341,0.12557907838399263,10,True
3,deep,1,theta_2,-1.0,0.10687177814543247,1.1068717781454325,0.3520255945371983,1.1561552450009351,1.1068717781454325,0.11132026734124739,10,True
3,deep,2,theta_1,1.0,0.2024248942732811,-0.7975751057267189,0.39680619973932263,0.8819499381548783,0.7975751057267189,0.12548113808519717,10,True
3,deep,2,theta_2,-1.0,0.13811106681823732,1.1381110668182373,0.35082377202677045,1.1857767022215138,1.1381110668182373,0.11094021769362605,10,True
3,deep,5,theta_1,1.0,0.2562060860916972,-0.7437939139083027,0.39162958840009426,0.8314239276244196,0.7437939139083027,0.12384414984585555,10,True
3,deep,5,theta_2,-1.0,0.1423076611245051,1.142307661124505,0.3352594389762072,1.1857595856429388,1.142307661124505,0.1060183434235044,10,True
3,deep,10,theta_1,1.0,0.3175116039812565,-0.6824883960187436,0.3704288871119666,0.7676497997567291,0.6824883960187436,0.11713989943952063,10,True
3,deep,10,theta_2,-1.0,0.06077493727207184,1.0607749372720718,0.30851353718463564,1.100411745624394,1.0607749372720718,0.09756054664984998,10,True
3,deep,20,theta_1,1.0,0.46645957604050636,-0.5335404239594936,0.3283257669800641,0.6178053191221478,0.5335404239594936,0.10382572381787056,10,True
3,deep,20,theta_2,-1.0,-0.10661430433392524,0.8933856956660747,0.27165613485529344,0.9298146865181374,0.8933856956660747,0.08590521265005831,10,True
3,deep,30,theta_1,1.0,0.6035266608931125,-0.3964733391068876,0.2839645343659519,0.47933639515737775,0.3964733391068876,0.08979747033055657,10,True
3,deep,30,theta_2,-1.0,-0.2631795763969421,0.7368204236030579,0.2409401104719737,0.7714604719552466,0.7368204236030579,0.07619195287840237,10,True
3,deep,50,theta_1,1.0,0.788960999250412,-0.211039000749588,0.2052724604184213,0.28715947580219897,0.22074270844459534,0.06491285158289715,10,True
3,deep,50,theta_2,-1.0,-0.4958102643489838,0.5041897356510162,0.1854221165248378,0.5339948639291741,0.5041897356510162,0.05863562167876327,10,True
3,deep,75,theta_1,1.0,0.8856835901737213,-0.11431640982627869,0.15396735914410997,0.18548205969634884,0.14969097971916198,0.048688754021654054,10,True
3,deep,75,theta_2,-1.0,-0.6595146775245666,0.34048532247543334,0.14739673297447986,0.3680807955104354,0.34048532247543334,0.04661093958670016,10,True
3,deep,100,theta_1,1.0,0.927808141708374,-0.07219185829162597,0.14555187740706735,0.15581552720652705,0.13316328525543214,0.04602754503199357,10,True
3,deep,100,theta_2,-1.0,-0.7506785452365875,0.24932145476341247,0.13677407684538928,0.28106515453282704,0.24932145476341247,0.04325176076983277,10,True
3,deep,150,theta_1,1.0,0.9627762496471405,-0.0372237503528595,0.1544855111619622,0.15121112205591059,0.13532188534736633,0.04885260807671659,10,True
3,deep,150,theta_2,-1.0,-0.8228773891925811,0.1771226108074188,0.11223007909928008,0.20666023044699228,0.17902292609214782,0.03549026719345835,10,True
3,deep,200,theta_1,1.0,0.9773712515830993,-0.022628748416900636,0.17225036082949383,0.1649703863734856,0.155489981174469,0.054470346800705075,10,True
3,deep,200,theta_2,-1.0,-0.8577822685241699,0.14221773147583008,0.09597048511217737,0.1688643945819583,0.1459807872772217,0.030348532110576053,10,True
3,deep,300,theta_1,1.0,0.9998338997364045,-0.00016610026359558104,0.1717724434346672,0.16295773280351536,0.15669814944267274,0.05431921605059846,10,True
3,deep,300,theta_2,-1.0,-0.8933975696563721,0.10660243034362793,0.10368216588555956,0.14504851093898435,0.12717711925506592,0.0327871796937777,10,True
3,deep,500,theta_1,1.0,1.0233579337596894,0.02335793375968933,0.18495225871412763,0.1770090316131747,0.16911805272102357,0.05848703959293682,10,True
3,deep,500,theta_2,-1.0,-0.9117168605327606,0.08828313946723938,0.1202883740385349,0.1442784680752574,0.12255919575691224,0.03803852380000369,10,True
3,deep,750,theta_1,1.0,1.010990458726883,0.010990458726882934,0.16658582074629757,0.15841888236372945,0.1453443706035614,0.052679061944683095,10,True
3,deep,750,theta_2,-1.0,-0.9342039704322815,0.0657960295677185,0.11891649643071618,0.13059914746236656,0.10558232069015502,0.03760469800883466,10,True
3,deep,1000,theta_1,1.0,0.9939148902893067,-0.006085109710693359,0.16962540200967943,0.16103579684791205,0.1375516414642334,0.05364026193722898,10,True
3,deep,1000,theta_2,-1.0,-0.9509315252304077,0.04906847476959229,0.12883686689987442,0.13170709799222088,0.10563695430755615,0.04074179460035598,10,True
