case,case_name,epoch,metric,repetitions,mean,sd,mcse,mc_sd_available
1,linear,1,theta_error_l2,10,1.2971253737814776,0.4488224079583497,0.1419301074069668,True
1,linear,1,train_check_loss,10,1.8774813239285641,0.2024164439784595,0.06400969988438067,True
1,linear,1,validation_check_loss,10,1.797945340000235,0.19084962221286883,0.060351949677533,True
1,linear,1,test_check_loss,10,1.8405415740461315,0.1896974304682936,0.059987594656122925,True
1,linear,1,m_l2_error,10,4.527597988584381,0.16928215867406612,0.05353171886400781,True
1,linear,1,q_l2_error,10,3.9471969743429844,0.40611386603313276,0.12842448060411896,True
1,linear,1,linear_error_mse,10,0.8934318702098215,0.6959028196823451,0.2200637940329664,True
1,linear,1,nonlinear_error_mse,10,20.524934350554147,1.5428606437956294,0.4878953746627922,True
1,linear,1,cross_error_moment,10,-2.8447833207678084,1.9640348025063306,0.6210823379758984,True
1,linear,1,cancellation_fraction,10,0.25935442629495664,0.17221314328845272,0.054458577580845005,True
1,linear,1,q_mse,10,15.728799579228355,3.2864772590277456,1.0392753616874848,True
1,linear,1,decomposition_residual,10,1.7763568394002506e-16,2.7069616357433454e-15,8.560164307644035e-16,True
1,linear,2,theta_error_l2,10,1.3024363744420977,0.4537535723216893,0.1434894784974475,True
1,linear,2,train_check_loss,10,1.5388385269724068,0.18671483370418912,0.05904441474448112,True
1,linear,2,validation_check_loss,10,1.4697709976102904,0.1819974508308895,0.05755264729701149,True
1,linear,2,test_check_loss,10,1.5059131156078238,0.18740632680061892,0.05926308406158118,True
1,linear,2,m_l2_error,10,3.796690371904444,0.3136360210513055,0.09918041827946429,True
1,linear,2,q_l2_error,10,3.185823748388911,0.42259814299489024,0.13363726668213835,True
1,linear,2,linear_error_mse,10,0.9722434522307342,0.7475943372696061,0.236410087161606,True
1,linear,2,nonlinear_error_mse,10,14.50338857844271,2.4254805650994973,0.7670043006186716,True
1,linear,2,cross_error_moment,10,-2.582714401729107,1.6780044274842845,0.5306315914697184,True
1,linear,2,cancellation_fraction,10,0.32130792722222773,0.19147984592548414,0.060551243914264176,True
1,linear,2,q_mse,10,10.31020322721523,2.9064532696483205,0.9191012244932226,True
1,linear,2,decomposition_residual,10,-1.7763568394002506e-16,2.3236425370911444e-15,7.3480028852603e-16,True
1,linear,5,theta_error_l2,10,1.3098897692663825,0.4563583237646316,0.14431317322727827,True
1,linear,5,train_check_loss,10,0.7292135953824459,0.044894918181507294,0.014197019682046771,True
1,linear,5,validation_check_loss,10,0.6894173662157254,0.04542318583988449,0.014364072583514338,True
1,linear,5,test_check_loss,10,0.7220226580081369,0.03797739482809728,0.012009506725628618,True
1,linear,5,m_l2_error,10,1.4857253369572991,0.30366648638155896,0.09602777460262292,True
1,linear,5,q_l2_error,10,1.0711148028709534,0.14966785839860075,0.047329132505913946,True
1,linear,5,linear_error_mse,10,1.131236987051237,0.8330350015527145,0.263428797554848,True
1,linear,5,nonlinear_error_mse,10,2.2903717783330686,0.9248462344948596,0.2924620586433941,True
1,linear,5,cross_error_moment,10,-1.1270807117005814,0.9106880411213465,0.2879848447820536,True
1,linear,5,cancellation_fraction,10,0.5422239533281273,0.3288807136742676,0.10400121337123695,True
1,linear,5,q_mse,10,1.1674473419831428,0.3366983302300481,0.10647336079024766,True
1,linear,5,decomposition_residual,10,1.4432899320127036e-16,3.393805686290811e-16,1.0732155904709845e-16,True
1,linear,10,theta_error_l2,10,1.2747260833113168,0.44672008172568084,0.14126529347897132,True
1,linear,10,train_check_loss,10,0.6256942999222367,0.043893056325259465,0.013880203145388037,True
1,linear,10,validation_check_loss,10,0.6109113620460226,0.032421276292918494,0.010252507773524284,True
1,linear,10,test_check_loss,10,0.6363188164323444,0.02445018959399408,0.007731828833996885,True
1,linear,10,m_l2_error,10,0.9854462394505485,0.3606035391116271,0.11403285159103528,True
1,linear,10,q_l2_error,10,0.7105354773570922,0.11623210145842873,0.03675581778364136,True
1,linear,10,linear_error_mse,10,1.161746627676036,0.8339642427413178,0.26372264942001084,True
1,linear,10,nonlinear_error_mse,10,1.0881357120250754,0.7270062553179573,0.2298995639994645,True
1,linear,10,cross_error_moment,10,-0.8664313819247711,0.7092303973893276,0.22427834415766126,True
1,linear,10,cancellation_fraction,10,0.6479961435781569,0.2331929705926215,0.07374209214133488,True
1,linear,10,q_mse,10,0.5170195758515691,0.17101050524775374,0.0540782700399079,True
1,linear,10,decomposition_residual,10,1.1102230246251566e-17,3.3593293237259476e-16,1.0623132073567113e-16,True
1,linear,20,theta_error_l2,10,1.1369159152494546,0.4112830677669201,0.1300591257204849,True
1,linear,20,train_check_loss,10,0.5902592989762281,0.04204984350203693,0.013297328072006787,True
1,linear,20,validation_check_loss,10,0.590718834552776,0.02763426440835073,0.008738721699371366,True
1,linear,20,test_check_loss,10,0.6155295888114612,0.024796562316147554,0.00784136150613265,True
1,linear,20,m_l2_error,10,0.9045790535713515,0.3196279238070258,0.10107522430209585,True
1,linear,20,q_l2_error,10,0.5961420733515349,0.13439832284187772,0.04250048138869675,True
1,linear,20,linear_error_mse,10,0.9948098254508959,0.6992434444514016,0.22112019234078564,True
1,linear,20,nonlinear_error_mse,10,0.9102090728695129,0.6070465796723422,0.19196498375794718,True
1,linear,20,cross_error_moment,10,-0.766688454218052,0.5835092285617308,0.1845218197982846,True
1,linear,20,cancellation_fraction,10,0.7301869861170613,0.17277894938022803,0.054637501177245834,True
