case,case_name,start_epoch,end_epoch,metric,start_mean,end_mean,mean_change,change_sd,change_mcse,change_mc_interval_low,change_mc_interval_high,repetitions,mc_sd_available
1,linear,100,1000,theta_error_l2,0.31106430267287377,0.16692206097704457,-0.14414224169582918,0.21675948548208682,0.06854536785695953,-0.2784911626954698,-0.009793320696188518,10,True
1,linear,100,1000,abs_theta_error_1,0.08032116889953614,0.0771962583065033,-0.003124910593032837,0.07060019523052867,0.022325742018102696,-0.046883364948514125,0.040633543762448446,10,True
1,linear,100,1000,abs_theta_error_2,0.29543223679065705,0.1315061032772064,-0.16392613351345062,0.21844068761371507,0.06907701065126708,-0.29931707438993405,-0.02853519263696716,10,True
1,linear,100,1000,train_check_loss,0.4991359937456502,0.25226181622119875,-0.24687417752445145,0.03245434560676933,0.010262965208767044,-0.26698958933363487,-0.22675876571526804,10,True
1,linear,100,1000,test_check_loss,0.6049410612520634,0.7955072494050868,0.1905661881530234,0.026123859369327814,0.008261089688100574,0.17437445236434626,0.20675792394170053,10,True
1,linear,100,1000,m_l2_error,0.6444345299762102,1.400873453219169,0.7564389232429582,0.19741229031262733,0.0624272475498296,0.6340815180452922,0.8787963284406243,10,True
1,linear,100,1000,q_l2_error,0.5429872949251168,1.3939212569355053,0.8509339620103887,0.11590049022202152,0.03665095310316623,0.779098093928183,0.9227698300925945,10,True
2,additive,100,1000,theta_error_l2,0.33189899430216324,0.20052097178425282,-0.13137802251791042,0.07279617528734594,0.02302017188568755,-0.17649755941385803,-0.08625848562196282,10,True
2,additive,100,1000,abs_theta_error_1,0.13586021661758424,0.10447155833244323,-0.031388658285140994,0.09794483037069918,0.03097287490102434,-0.0920954930911487,0.029318176520866712,10,True
2,additive,100,1000,abs_theta_error_2,0.26349726021289827,0.14798679947853088,-0.11551046073436737,0.09873325708361791,0.031222197319118628,-0.17670596747983988,-0.05431495398889486,10,True
2,additive,100,1000,train_check_loss,0.4823817317382173,0.2536943209737888,-0.2286874107644285,0.027982464698890607,0.008848832299375206,-0.2460311220712039,-0.2113436994576531,10,True
2,additive,100,1000,test_check_loss,0.6160217204681149,0.7836059224359598,0.16758420196784493,0.03307441357898001,0.010459047918397817,0.14708446804778522,0.18808393588790465,10,True
2,additive,100,1000,m_l2_error,0.6776232797121491,1.372930004664455,0.6953067249523057,0.14283820984111648,0.045169407999900574,0.6067746852725006,0.7838387646321109,10,True
2,additive,100,1000,q_l2_error,0.6374317584326091,1.3626328901322278,0.7252011316996189,0.1338602346623897,0.042330322965777184,0.6422336986866956,0.8081685647125422,10,True
3,deep,100,1000,theta_error_l2,0.29430860871259357,0.18642714395533838,-0.10788146475725516,0.17407628966765623,0.05504775619810289,-0.21577506690553683,1.2137391026512123e-05,10,True
3,deep,100,1000,abs_theta_error_1,0.13316328525543214,0.1375516414642334,0.004388356208801269,0.11762024745381346,0.0371947880906671,-0.06851342844890625,0.07729014086650877,10,True
3,deep,100,1000,abs_theta_error_2,0.24932145476341247,0.10563695430755615,-0.14368450045585632,0.1603703155072729,0.05071354660828037,-0.24308305180808584,-0.04428594910362679,10,True
3,deep,100,1000,train_check_loss,0.44234424372982917,0.18218214551583872,-0.2601620982139904,0.014696151736106356,0.004647331232553387,-0.269270867429795,-0.2510533289981858,10,True
3,deep,100,1000,test_check_loss,0.632496738609688,0.8457524579615358,0.21325571935184806,0.02116010484956585,0.006691412685260267,0.20014055048873794,0.22637088821495818,10,True
3,deep,100,1000,m_l2_error,0.7359841629278019,1.5822144310382593,0.8462302681104571,0.07725878358858654,0.02443137253939706,0.7983447779332389,0.8941157582876753,10,True
3,deep,100,1000,q_l2_error,0.7253567375680087,1.5736500347183469,0.8482932971503379,0.07329225358289,0.02317704561685689,0.8028662877412983,0.8937203065593774,10,True
