n_total,epoch,Q_paired,mean_delta_theta1,mcse_delta_theta1,mean_delta_abs_error_theta1,mean_delta_theta2,mcse_delta_theta2,mean_delta_abs_error_theta2,mean_delta_train_check_loss,mean_delta_validation_check_loss
1000,500,50,0.027444236278533936,0.006200897266389941,-0.01440941572189331,-0.01876786708831787,0.0062802321889631465,-0.01440363883972168,-0.06563317487239838,0.05536472344398499
1000,1000,50,0.04759595990180969,0.009859919605412154,-0.008885375261306762,-0.024305284023284912,0.008716881919547321,-0.008126256465911865,-0.10082334228157996,0.09814809436798093
1000,2000,50,0.05181479930877685,0.013242995872773023,0.0010503578186035157,-0.026242936849594115,0.010348022177770103,-0.006019986867904663,-0.12893100161552432,0.1322733039140701
2000,500,50,-0.00012233853340148926,0.004561555388306393,0.008362199068069459,-0.011492412090301513,0.003808995697427572,-0.001077854633331299,-0.04502950984835625,0.03912481665611268
2000,1000,50,-7.756948471069335e-06,0.005970429036997314,0.006395567655563355,-0.017276910543441774,0.004950165989807981,-0.0025200974941253663,-0.07191207168102265,0.07078653181791306
2000,2000,50,-0.002872161865234375,0.006844219747914262,0.009077157974243164,-0.02092568516731262,0.005887282442542455,-0.0011066687107086181,-0.09349284732341764,0.09991681606769562
