case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss
3,deep,5,1000,800,200,10000,10000,0.5,1,51260909,51760909,1051760909,2051260909,3051260909,2.208581699530931,2.2088338096947706,1.982058273373319,1.2515501939078073,4.878946798850714,-1.1009709968554489,0.3591783824887086,3.9285549990476225,-4.440892098500626e-16,1.1537970201480618e-07,7,0.005,1,1,-0.6625091433525085,1.0,-1.6625091433525085,1.6625091433525085,0.4539245069026947,-1.0,1.4539245069026947,1.4539245069026947,0.9814626479430928,1.0107137178467107,0.979151281458236
3,deep,5,1000,800,200,10000,10000,0.5,2,51260909,51760909,1051760909,2051260909,3051260909,2.2044644361716017,1.7759161659295457,1.6500358460497655,1.3207539421546914,3.1538782284098974,-0.876006938657712,0.39154366449172573,2.7226182932491656,4.440892098500626e-16,1.7409217978325842e-07,14,0.005,1,1,-0.6279371380805969,1.0,-1.627937138080597,1.627937138080597,0.48643335700035095,-1.0,1.486433357000351,1.486433357000351,0.8673339305968304,0.888336742306165,0.8754656074778828
3,deep,5,1000,800,200,10000,10000,0.5,5,51260909,51760909,1051760909,2051260909,3051260909,2.1595296306172145,1.3236379123765114,1.2914886976298632,1.3462845095042222,1.7520173230804492,-0.7151793882394957,0.46165895182838096,1.66794305610568,-2.220446049250313e-16,2.412947850416458e-07,35,0.005,1,1,-0.5622247457504272,1.0,-1.5622247457504272,1.5622247457504272,0.49098023772239685,-1.0,1.4909802377223969,1.4909802377223969,0.7443746178035886,0.7354854862047856,0.7677651764114031
3,deep,5,1000,800,200,10000,10000,0.5,10,51260909,51760909,1051760909,2051260909,3051260909,2.042767548137391,0.8420169261162694,1.0088356861193892,1.229719536691292,0.7089925038662912,-0.4604812994848024,0.47503836552473844,1.0177494415879789,4.440892098500626e-16,2.9116580613219867e-07,70,0.005,1,1,-0.46716219186782837,1.0,-1.4671621918678284,1.4671621918678284,0.42138466238975525,-1.0,1.4213846623897552,1.4213846623897552,0.663328142058773,0.6457067990059144,0.7027748881284223
3,deep,5,1000,800,200,10000,10000,0.5,20,51260909,51760909,1051760909,2051260909,3051260909,1.761924709825793,0.7701660382955767,0.902077614185341,0.9499280698886008,0.5931557265439038,-0.3646698872090938,0.472650789350758,0.813744022014317,0.0,2.653262969332104e-07,140,0.005,1,1,-0.2486298680305481,1.0,-1.248629868030548,1.248629868030548,0.2431018203496933,-1.0,1.2431018203496933,1.2431018203496933,0.6189734294497515,0.6203165777644835,0.677465832400966
3,deep,5,1000,800,200,10000,10000,0.5,30,51260909,51760909,1051760909,2051260909,3051260909,1.4623375721718983,0.7457860473846321,0.8246473171377677,0.6942617570337266,0.5561968284735926,-0.28520769392240053,0.45616495776497856,0.6800431976625181,0.0,2.4442374169098e-07,210,0.005,1,1,-0.014010011218488216,1.0,-1.0140100112184882,1.0140100112184882,0.0536673441529274,-1.0,1.0536673441529274,1.0536673441529274,0.5759772364858807,0.5981838755151659,0.6614070964623977
3,deep,5,1000,800,200,10000,10000,0.5,50,51260909,51760909,1051760909,2051260909,3051260909,0.952915743915007,0.6566017263146138,0.7359811888276877,0.3334964448136874,0.431125826999331,-0.11147698075240094,0.2915870616430635,0.5416683103082165,-1.1102230246251565e-16,4.129014268272613e-07,350,0.005,1,1,0.370678186416626,1.0,-0.629321813583374,0.629321813583374,-0.2844565212726593,-1.0,0.7155434787273407,0.7155434787273407,0.5202808270729693,0.5769093797095666,0.6440744390803255
3,deep,5,1000,800,200,10000,10000,0.5,75,51260909,51760909,1051760909,2051260909,3051260909,0.6261751178918158,0.6492143149361259,0.7438503908667653,0.16907379785331195,0.4214792267179833,-0.01861981028932783,0.06305889400141385,0.5533134039926395,-1.1102230246251565e-16,4.454881086246587e-07,525,0.005,1,1,0.6154287457466125,1.0,-0.38457125425338745,0.38457125425338745,-0.5058338046073914,-1.0,0.49416619539260864,0.49416619539260864,0.4869922224129393,0.5807764065467884,0.6455533105306371
3,deep,5,1000,800,200,10000,10000,0.5,100,51260909,51760909,1051760909,2051260909,3051260909,0.4801648016352015,0.6825116947110882,0.7235525211891238,0.10306835374547388,0.4658222134174017,-0.022681158121869084,0.07973821128721714,0.5235282509191375,1.1102230246251565e-16,3.3145407485335454e-07,700,0.005,1,1,0.7103963494300842,1.0,-0.28960365056991577,0.28960365056991577,-0.6170013546943665,-1.0,0.38299864530563354,0.38299864530563354,0.44688763432129314,0.5854625789486145,0.6410808253291043
3,deep,5,1000,800,200,10000,10000,0.5,150,51260909,51760909,1051760909,2051260909,3051260909,0.35290251232148284,0.8092107188759691,0.8109688402119538,0.041208217619989274,0.6548219875437626,-0.019179872684515216,0.05511218490870767,0.6576704597947215,0.0,3.1679669998396776e-07,1050,0.005,1,1,0.7570435404777527,1.0,-0.24295645952224731,0.24295645952224731,-0.7440462112426758,-1.0,0.2559537887573242,0.2559537887573242,0.4017580024687868,0.6087038746688059,0.658874598908567
3,deep,5,1000,800,200,10000,10000,0.5,200,51260909,51760909,1051760909,2051260909,3051260909,0.2550969814393426,0.9347843781187517,0.9490597672323408,0.015682324127344525,0.8738218335748614,0.005605142038449464,-0.012602846181020304,0.9007144417791049,0.0,5.125750828227638e-07,1400,0.005,1,1,0.8039987683296204,1.0,-0.19600123167037964,0.19600123167037964,-0.8367272615432739,-1.0,0.16327273845672607,0.16327273845672607,0.34084936622084444,0.6166984140022823,0.6913456854670043
3,deep,5,1000,800,200,10000,10000,0.5,300,51260909,51760909,1051760909,2051260909,3051260909,0.20046672410897162,1.1610642348261517,1.1668912982249615,0.01054708736603866,1.3480701573924372,0.0015090285573299098,-0.002221418229676855,1.361635301873136,2.220446049250313e-16,4.453904534074127e-07,2100,0.005,1,1,0.8502232432365417,1.0,-0.14977675676345825,0.14977675676345825,-0.8667564988136292,-1.0,0.13324350118637085,0.13324350118637085,0.27636118064453,0.661693509641482,0.7470431140887509
3,deep,5,1000,800,200,10000,10000,0.5,500,51260909,51760909,1051760909,2051260909,3051260909,0.17775856044578128,1.4040160319872177,1.4033295036042606,0.0096785171505526,1.971261018077132,-0.005802919770751972,0.005858755068044011,1.9693336956861807,0.0,4.600515399744154e-07,3500,0.005,1,1,0.874072253704071,1.0,-0.12592774629592896,0.12592774629592896,-0.8745396137237549,-1.0,0.12546038627624512,0.12546038627624512,0.23738710946237887,0.7176196277550833,0.8128110603531602
3,deep,5,1000,800,200,10000,10000,0.5,750,51260909,51760909,1051760909,2051260909,3051260909,0.07292355099960547,1.5457171768013604,1.5470775716469327,0.0013130896182695108,2.3892415906587683,0.001447166207966205,-0.0012107367548676987,2.39344901269297,0.0,5.645028213763226e-07,5250,0.005,1,1,0.944412112236023,1.0,-0.05558788776397705,0.05558788776397705,-0.9528000950813293,-1.0,0.047199904918670654,0.047199904918670654,0.18509862789252313,0.774207917909024,0.8552505318733052
