case,case_name,repetitions,reference_epoch,training_down,validation_up,test_up,theta_up,q_up,train_down_val_up_test_up_theta_up,val_test_q_nonincreasing_theta_up,within_25_oracle_then_theta_test_q_up,selected_mean_training_check_loss,ceiling_mean_training_check_loss,mean_paired_change_training_check_loss,mcse_paired_change_training_check_loss,selected_mean_validation_check_loss,ceiling_mean_validation_check_loss,mean_paired_change_validation_check_loss,mcse_paired_change_validation_check_loss,selected_mean_test_check_loss,ceiling_mean_test_check_loss,mean_paired_change_test_check_loss,mcse_paired_change_test_check_loss,selected_mean_theta_error_l2,ceiling_mean_theta_error_l2,mean_paired_change_theta_error_l2,mcse_paired_change_theta_error_l2,selected_mean_m_l2_error,ceiling_mean_m_l2_error,mean_paired_change_m_l2_error,mcse_paired_change_m_l2_error,selected_mean_q_l2_error,ceiling_mean_q_l2_error,mean_paired_change_q_l2_error,mcse_paired_change_q_l2_error
1,linear,10,1000,10,10,10,0,10,0,0,0,0.5358174877512087,0.25226181622119875,-0.28355567153000993,0.01300446416451294,0.5602107077836991,0.7792553126811981,0.21904460489749908,0.014355167573159347,0.5940731534219563,0.7955072494050868,0.20143409598313045,0.008639935523489104,0.6408211136352582,0.16692206097704457,-0.47389905265821364,0.0687251991954662,0.6679446273980812,1.400873453219169,0.7329288258210873,0.07826629762317183,0.4779805168358119,1.3939212569355053,0.9159407400996935,0.036371534938637796
2,additive,10,1000,10,10,10,0,10,0,0,0,0.5170274978804693,0.2536943209737888,-0.2633331769066805,0.013824870241566822,0.6195825457572937,0.7952556848526001,0.1756731390953064,0.009673523863494059,0.6125368745788318,0.7836059224359598,0.1710690478571281,0.010545567069331237,0.5836285251731189,0.20052097178425282,-0.38310755338886604,0.054243620470436266,0.6630985284785619,1.372930004664455,0.7098314761858928,0.04674685878556779,0.617854214530348,1.3626328901322278,0.7447786756018799,0.04149207488372544
3,deep,10,1000,10,10,10,0,10,0,0,0,0.5361806708444401,0.18218214551583872,-0.35399852532860143,0.011651453634041457,0.6010652720928192,0.8232293665409088,0.2221640944480896,0.010363807646354624,0.6154978095680081,0.8457524579615358,0.23025464839352766,0.005967593105736486,0.6942891078406802,0.18642714395533838,-0.5078619638853418,0.09479534397065559,0.7484347384569495,1.5822144310382593,0.8337796925813098,0.04918010897798606,0.647987473347039,1.5736500347183469,0.9256625613713076,0.025348516801893727
