case,case_name,repetitions,mc_sd_available,mean_e_theta,median_e_theta,sd_e_theta,mcse_e_theta,q25_e_theta,q75_e_theta,mean_e_q,median_e_q,sd_e_q,mcse_e_q,q25_e_q,q75_e_q,mean_e_m,median_e_m,sd_e_m,mcse_e_m,q25_e_m,q75_e_m,mean_e_test,median_e_test,sd_e_test,mcse_e_test,q25_e_test,q75_e_test,mean_oracle_theta_error_l2,median_oracle_theta_error_l2,sd_oracle_theta_error_l2,mcse_oracle_theta_error_l2,q25_oracle_theta_error_l2,q75_oracle_theta_error_l2,mean_oracle_q_l2_error,median_oracle_q_l2_error,sd_oracle_q_l2_error,mcse_oracle_q_l2_error,q25_oracle_q_l2_error,q75_oracle_q_l2_error,mean_oracle_m_l2_error,median_oracle_m_l2_error,sd_oracle_m_l2_error,mcse_oracle_m_l2_error,q25_oracle_m_l2_error,q75_oracle_m_l2_error,mean_oracle_test_check_loss,median_oracle_test_check_loss,sd_oracle_test_check_loss,mcse_oracle_test_check_loss,q25_oracle_test_check_loss,q75_oracle_test_check_loss,mean_oracle_abs_theta_error_1,median_oracle_abs_theta_error_1,sd_oracle_abs_theta_error_1,mcse_oracle_abs_theta_error_1,q25_oracle_abs_theta_error_1,q75_oracle_abs_theta_error_1,mean_oracle_abs_theta_error_2,median_oracle_abs_theta_error_2,sd_oracle_abs_theta_error_2,mcse_oracle_abs_theta_error_2,q25_oracle_abs_theta_error_2,q75_oracle_abs_theta_error_2,mean_oracle_stopping_validation_check_loss,median_oracle_stopping_validation_check_loss,sd_oracle_stopping_validation_check_loss,mcse_oracle_stopping_validation_check_loss,q25_oracle_stopping_validation_check_loss,q75_oracle_stopping_validation_check_loss,mean_e_q_minus_e_theta,mean_abs_e_q_minus_e_theta,mean_e_m_minus_e_theta,mean_abs_e_m_minus_e_theta,mean_e_test_minus_e_theta,mean_abs_e_test_minus_e_theta
1,linear,10,True,353.3,292.0,242.53799244196318,76.69724752413073,189.0,404.0,64.3,68.0,15.114746294779662,4.779702454709451,59.25,68.75,71.3,72.5,19.67542178003364,6.221914674939075,58.25,80.75,69.5,68.5,19.28298040587433,6.097813815896098,63.5,70.75,0.07826371729123445,0.05655274723159584,0.08418485824230612,0.02662158965440865,0.010465157135054855,0.12644701177511705,0.44255688800929127,0.40753391781585036,0.09381643461982851,0.029667361535493104,0.3836172339325739,0.5023289676381358,0.4480227645925513,0.4127188531576945,0.11153705884621716,0.035271114947027844,0.37370276609346176,0.4890901006855054,0.588612011228439,0.5858329772340177,0.014367482583609845,0.004543396920700768,0.5770710694440018,0.5958123552132059,0.0011903762817382813,9.468197822570801e-05,0.0030421853797555844,0.0009620234864491941,1.6689300537109375e-05,0.000429302453994751,0.059846526384353636,0.021779805421829224,0.08311020963302092,0.026281755925441286,0.00020191073417663574,0.09192167222499847,0.5575977474451065,0.5587501525878906,0.03713218605775579,0.01174222824436569,0.5333247929811478,0.5740502923727036,-289.0,289.0,-282.0,282.0,-283.8,283.8
2,additive,10,True,583.4,603.5,260.1239875307329,82.25842746423547,364.25,717.25,78.6,79.5,12.240188814810914,3.8706875645319423,73.5,82.0,73.9,78.5,18.07668848729398,5.716350817319268,60.25,88.25,79.2,79.5,11.282237760696628,3.5677568427359065,73.5,82.0,0.15347041425742014,0.15039450314793962,0.10107974757407566,0.031964222764895835,0.07590184794783528,0.19651977352621997,0.5861101700667003,0.5872371789897524,0.05273291821184359,0.016675612921679926,0.5383380072069996,0.6317825586322717,0.5832954942219551,0.5823968622485032,0.08167905404799458,0.025829184791965887,0.5158785508233653,0.6469468826168596,0.6067883223910298,0.6032783620073132,0.012325922842384224,0.0038977990445430762,0.5980572702582025,0.6193870792396183,0.051342666149139404,0.019819557666778564,0.06228585676160078,0.019696517338165773,0.0002709925174713135,0.09390352666378021,0.10261777639389039,0.08663901686668396,0.11719048570096263,0.0370588854916436,0.0005972981452941895,0.13272368907928467,0.6194202184677124,0.6120194494724274,0.03371161857669022,0.010660549831318481,0.5983233153820038,0.6175528466701508,-504.8,504.8,-509.5,509.5,-504.2,504.2
3,deep,10,True,605.8,716.0,386.21490851021736,122.13187772058347,216.0,955.0,46.7,48.0,14.810281713878519,4.68342230045983,36.5,54.25,53.9,52.5,12.801475609388856,4.048182033676077,48.5,60.75,49.4,51.0,13.309979547525817,4.208985098043892,43.0,55.75,0.12988286396897636,0.11129736691162406,0.08832649318705278,0.027931289620643156,0.06248691997332316,0.19507378262714248,0.5946634037809588,0.5919720793214198,0.05692172197442293,0.018000228977803318,0.5691051924297811,0.6332631635715024,0.6116880418821479,0.5987789774021077,0.08192305148938478,0.025906343557770536,0.577758912879597,0.6572719090207475,0.6058038652640156,0.6048077065661167,0.009473857018347784,0.0029958966404750606,0.6005255547395681,0.6077456284716387,0.039984285831451416,0.0018552541732788086,0.05753797001482692,0.018195103718932522,8.095800876617432e-05,0.08462941646575928,0.0595954418182373,0.01723542809486389,0.0776286631263441,0.024548338719317477,0.0001246333122253418,0.11145292222499847,0.5998631596565247,0.589684247970581,0.044458859605792565,0.014059125852796018,0.5664534717798233,0.6276312321424484,-559.1,559.1,-551.9,551.9,-556.4,556.4
