case,analysis,rule_id,patience,max_epochs,case_name,repetitions,mc_sd_available,restore_best,min_delta,mean_selected_epoch,median_selected_epoch,sd_selected_epoch,mcse_selected_epoch,q25_selected_epoch,q75_selected_epoch,mean_stop_epoch,median_stop_epoch,sd_stop_epoch,mcse_stop_epoch,q25_stop_epoch,q75_stop_epoch,mean_theta_error_l2,median_theta_error_l2,sd_theta_error_l2,mcse_theta_error_l2,q25_theta_error_l2,q75_theta_error_l2,mean_training_check_loss,median_training_check_loss,sd_training_check_loss,mcse_training_check_loss,q25_training_check_loss,q75_training_check_loss,mean_validation_check_loss,median_validation_check_loss,sd_validation_check_loss,mcse_validation_check_loss,q25_validation_check_loss,q75_validation_check_loss,mean_test_check_loss,median_test_check_loss,sd_test_check_loss,mcse_test_check_loss,q25_test_check_loss,q75_test_check_loss,mean_m_l2_error,median_m_l2_error,sd_m_l2_error,mcse_m_l2_error,q25_m_l2_error,q75_m_l2_error,mean_q_l2_error,median_q_l2_error,sd_q_l2_error,mcse_q_l2_error,q25_q_l2_error,q75_q_l2_error,mean_theta_epoch_gap,median_theta_epoch_gap,sd_theta_epoch_gap,mcse_theta_epoch_gap,q25_theta_epoch_gap,q75_theta_epoch_gap,mean_abs_theta_epoch_gap,median_abs_theta_epoch_gap,sd_abs_theta_epoch_gap,mcse_abs_theta_epoch_gap,q25_abs_theta_epoch_gap,q75_abs_theta_epoch_gap,mean_theta_regret,median_theta_regret,sd_theta_regret,mcse_theta_regret,q25_theta_regret,q75_theta_regret,mean_theta_squared_regret,median_theta_squared_regret,sd_theta_squared_regret,mcse_theta_squared_regret,q25_theta_squared_regret,q75_theta_squared_regret,mean_q_regret,median_q_regret,sd_q_regret,mcse_q_regret,q25_q_regret,q75_q_regret,mean_best_validation_loss,median_best_validation_loss,sd_best_validation_loss,mcse_best_validation_loss,q25_best_validation_loss,q75_best_validation_loss,mean_empirical_validation_check_loss,median_empirical_validation_check_loss,sd_empirical_validation_check_loss,mcse_empirical_validation_check_loss,q25_empirical_validation_check_loss,q75_empirical_validation_check_loss,theta_1_true,theta_1_mean,theta_1_bias,theta_1_sd,theta_1_bias_mcse,theta_1_rmse,theta_2_true,theta_2_mean,theta_2_bias,theta_2_sd,theta_2_bias_mcse,theta_2_rmse,theta_vector_rmse,proportion_early_stopping,proportion_max_epochs,proportion_before_theta_oracle,proportion_equal_theta_oracle,proportion_after_theta_oracle,proportion_within_10_epochs,proportion_within_25_epochs
1,max_epochs,max_epochs_100,15,100,linear,10,True,True,0.0,54.5,58.0,18.709771659631645,5.916549294610461,41.5,69.0,69.5,73.0,18.709771659631645,5.916549294610461,56.5,84.0,0.6408211136352582,0.658164703010437,0.2021904369051511,0.06393823017248434,0.527005923709384,0.7522541737117839,0.5358174877512087,0.5327526531068141,0.024893679018579803,0.007872072503985722,0.5283780271351655,0.5488698615678314,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5940731534219563,0.5912014739415015,0.01454175525306458,0.00459850677764023,0.5833278726889195,0.6032814975258328,0.6679446273980812,0.6498549558346445,0.21796933250052875,0.06892795507682355,0.5070018389749,0.7446382517988894,0.4779805168358119,0.45911686184174144,0.08293710855162868,0.02622701655717752,0.4090736480409861,0.5267794022503888,-298.8,-235.5,237.8845658437442,75.22570482665262,-331.25,-145.25,298.8,235.5,237.8845658437442,75.22570482665262,145.25,331.25,0.5625573963440237,0.5873606700435354,0.20584509183509445,0.06509393353654276,0.5030869558080397,0.6578048244557225,0.434940984413247,0.4308072149281914,0.2523677615537771,0.07980569345082097,0.259135676007193,0.5608455721650034,0.03542362882652057,0.030264042147437664,0.029365449184971196,0.009286170393844415,0.014784106978122755,0.04420030242753342,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5640454565601795,0.5605889677822516,0.02985234606772638,0.009440140707358649,0.5420326292445665,0.5905612011512473,1.0,0.778410866856575,-0.221589133143425,0.1547109333044831,0.048923892817256696,0.26578876861674255,-1.0,-0.41668234672397375,0.5833176532760262,0.2014983347953913,0.06371936826845948,0.6138411078253349,0.6689129802739955,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,max_epochs,max_epochs_1000,15,1000,linear,10,True,True,0.0,54.5,58.0,18.709771659631645,5.916549294610461,41.5,69.0,69.5,73.0,18.709771659631645,5.916549294610461,56.5,84.0,0.6408211136352582,0.658164703010437,0.2021904369051511,0.06393823017248434,0.527005923709384,0.7522541737117839,0.5358174877512087,0.5327526531068141,0.024893679018579803,0.007872072503985722,0.5283780271351655,0.5488698615678314,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5940731534219563,0.5912014739415015,0.01454175525306458,0.00459850677764023,0.5833278726889195,0.6032814975258328,0.6679446273980812,0.6498549558346445,0.21796933250052875,0.06892795507682355,0.5070018389749,0.7446382517988894,0.4779805168358119,0.45911686184174144,0.08293710855162868,0.02622701655717752,0.4090736480409861,0.5267794022503888,-298.8,-235.5,237.8845658437442,75.22570482665262,-331.25,-145.25,298.8,235.5,237.8845658437442,75.22570482665262,145.25,331.25,0.5625573963440237,0.5873606700435354,0.20584509183509445,0.06509393353654276,0.5030869558080397,0.6578048244557225,0.434940984413247,0.4308072149281914,0.2523677615537771,0.07980569345082097,0.259135676007193,0.5608455721650034,0.03542362882652057,0.030264042147437664,0.029365449184971196,0.009286170393844415,0.014784106978122755,0.04420030242753342,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5640454565601795,0.5605889677822516,0.02985234606772638,0.009440140707358649,0.5420326292445665,0.5905612011512473,1.0,0.778410866856575,-0.221589133143425,0.1547109333044831,0.048923892817256696,0.26578876861674255,-1.0,-0.41668234672397375,0.5833176532760262,0.2014983347953913,0.06371936826845948,0.6138411078253349,0.6689129802739955,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,max_epochs,max_epochs_200,15,200,linear,10,True,True,0.0,54.5,58.0,18.709771659631645,5.916549294610461,41.5,69.0,69.5,73.0,18.709771659631645,5.916549294610461,56.5,84.0,0.6408211136352582,0.658164703010437,0.2021904369051511,0.06393823017248434,0.527005923709384,0.7522541737117839,0.5358174877512087,0.5327526531068141,0.024893679018579803,0.007872072503985722,0.5283780271351655,0.5488698615678314,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5940731534219563,0.5912014739415015,0.01454175525306458,0.00459850677764023,0.5833278726889195,0.6032814975258328,0.6679446273980812,0.6498549558346445,0.21796933250052875,0.06892795507682355,0.5070018389749,0.7446382517988894,0.4779805168358119,0.45911686184174144,0.08293710855162868,0.02622701655717752,0.4090736480409861,0.5267794022503888,-298.8,-235.5,237.8845658437442,75.22570482665262,-331.25,-145.25,298.8,235.5,237.8845658437442,75.22570482665262,145.25,331.25,0.5625573963440237,0.5873606700435354,0.20584509183509445,0.06509393353654276,0.5030869558080397,0.6578048244557225,0.434940984413247,0.4308072149281914,0.2523677615537771,0.07980569345082097,0.259135676007193,0.5608455721650034,0.03542362882652057,0.030264042147437664,0.029365449184971196,0.009286170393844415,0.014784106978122755,0.04420030242753342,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5640454565601795,0.5605889677822516,0.02985234606772638,0.009440140707358649,0.5420326292445665,0.5905612011512473,1.0,0.778410866856575,-0.221589133143425,0.1547109333044831,0.048923892817256696,0.26578876861674255,-1.0,-0.41668234672397375,0.5833176532760262,0.2014983347953913,0.06371936826845948,0.6138411078253349,0.6689129802739955,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,max_epochs,max_epochs_25,15,25,linear,10,True,True,0.0,23.7,25.0,2.5407785333546005,0.8034647195462632,24.25,25.0,25.0,25.0,0.0,0.0,25.0,25.0,1.0745344253258793,1.105844326174942,0.3779109607810485,0.11950593888106782,0.7748908697800309,1.3364195880416132,0.5826075196032277,0.5803654698304088,0.0388251751360047,0.012277598398471246,0.547772131619873,0.6136661995838888,0.5810323297977448,0.5680277347564697,0.03467810522779086,0.010966179745881132,0.5594374239444733,0.6153264790773392,0.6107333187084028,0.605762135922463,0.02220566716992881,0.007022048522060027,0.592957027686209,0.63194259222688,0.8623529815618957,0.9513760418098769,0.2978976685067896,0.09420351421352662,0.5949990547544637,1.084455273143434,0.5709631918700367,0.5663924952245865,0.12460725326452174,0.03940427332933404,0.4731549212933432,0.6698267172856788,-329.6,-267.0,242.0271793736306,76.53571424867971,-382.75,-164.0,329.6,267.0,242.0271793736306,76.53571424867971,164.0,382.75,0.9962707080346453,1.0977020964734248,0.3815910931745631,0.12066969892651513,0.7482958034704937,1.258639600160774,1.2706556652952363,1.2245384835127129,0.822866997168888,0.26021339224370116,0.6000634708709229,1.781045275281247,0.12840630386074559,0.10701146662195626,0.07050942539268772,0.02229703807506054,0.07921639000673175,0.16118146600772554,0.5810323297977448,0.5680277347564697,0.03467810522779086,0.010966179745881132,0.5594374239444733,0.6153264790773392,0.5835615027386242,0.572922705623029,0.026964082856129012,0.008526791684286595,0.560815543456664,0.6040957860554088,1.0,0.5351643484085798,-0.46483565159142015,0.23377851818091694,0.07392725854707809,0.5150333377530031,-1.0,-0.049897728860378264,0.9501022711396218,0.35777955882135287,0.11313983061256627,1.008910262146257,1.1327661965564775,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1,max_epochs,max_epochs_50,15,50,linear,10,True,True,0.0,40.7,40.5,9.05599862583421,2.8637582144991063,39.25,46.0,48.3,50.0,5.375872022286244,1.6999999999999997,50.0,50.0,0.8048139213857649,0.832666211169212,0.253897550624561,0.08028945523115193,0.6757556981072407,0.957500292626781,0.5514246334672137,0.5534589239778184,0.029156833923346868,0.009220200455703936,0.5292403832821732,0.5764183226457666,0.5650682091712952,0.563706248998642,0.03799216217862945,0.012014176571897392,0.5354157984256744,0.5892989039421082,0.5966849240872574,0.5965641265625192,0.01624775876332135,0.005137992456505612,0.5837062845779191,0.6088051190863627,0.740984188160951,0.7785246118284697,0.24898141559446807,0.07873483683314852,0.5208031225359834,0.8639203990076154,0.49311057658781127,0.4826542873337547,0.09713166863502505,0.030715730581941735,0.41729490385473583,0.5750044418991953,-312.6,-248.5,237.20417834056425,75.01054740649624,-359.25,-149.25,312.6,248.5,237.20417834056425,75.01054740649624,149.25,359.25,0.7265502040945302,0.8265463934780561,0.264371756259184,0.08360168987978975,0.6205404521445248,0.8940102025095842,0.6932394268823765,0.6937608751768811,0.38518773075577356,0.12180705559399352,0.4551987172070666,0.9129714767143076,0.05055368857851998,0.054222004485008496,0.031659707377549084,0.010011678536749148,0.025962375432188933,0.06337055600885934,0.5650682091712952,0.563706248998642,0.03799216217862945,0.012014176571897392,0.5354157984256744,0.5892989039421082,0.5687084634484767,0.5605889677822516,0.02931872737800149,0.009271395661202116,0.5471461035117875,0.5968105085073074,1.0,0.6978132843971252,-0.30218671560287474,0.17998211996510416,0.05691534371953941,0.34708935195893365,-1.0,-0.27123635532334445,0.7287636446766556,0.24534680579514628,0.07758547229596609,0.7650307179485643,0.8400851252392035,0.1,0.9,1.0,0.0,0.0,0.0,0.0
1,max_epochs,max_epochs_500,15,500,linear,10,True,True,0.0,54.5,58.0,18.709771659631645,5.916549294610461,41.5,69.0,69.5,73.0,18.709771659631645,5.916549294610461,56.5,84.0,0.6408211136352582,0.658164703010437,0.2021904369051511,0.06393823017248434,0.527005923709384,0.7522541737117839,0.5358174877512087,0.5327526531068141,0.024893679018579803,0.007872072503985722,0.5283780271351655,0.5488698615678314,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5940731534219563,0.5912014739415015,0.01454175525306458,0.00459850677764023,0.5833278726889195,0.6032814975258328,0.6679446273980812,0.6498549558346445,0.21796933250052875,0.06892795507682355,0.5070018389749,0.7446382517988894,0.4779805168358119,0.45911686184174144,0.08293710855162868,0.02622701655717752,0.4090736480409861,0.5267794022503888,-298.8,-235.5,237.8845658437442,75.22570482665262,-331.25,-145.25,298.8,235.5,237.8845658437442,75.22570482665262,145.25,331.25,0.5625573963440237,0.5873606700435354,0.20584509183509445,0.06509393353654276,0.5030869558080397,0.6578048244557225,0.434940984413247,0.4308072149281914,0.2523677615537771,0.07980569345082097,0.259135676007193,0.5608455721650034,0.03542362882652057,0.030264042147437664,0.029365449184971196,0.009286170393844415,0.014784106978122755,0.04420030242753342,0.5602107077836991,0.562998503446579,0.037375056707780456,0.011819030687454046,0.5340332090854645,0.5788764506578445,0.5640454565601795,0.5605889677822516,0.02985234606772638,0.009440140707358649,0.5420326292445665,0.5905612011512473,1.0,0.778410866856575,-0.221589133143425,0.1547109333044831,0.048923892817256696,0.26578876861674255,-1.0,-0.41668234672397375,0.5833176532760262,0.2014983347953913,0.06371936826845948,0.6138411078253349,0.6689129802739955,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,max_epochs,max_epochs_100,15,100,additive,10,True,True,0.0,64.1,61.0,15.538125155028625,4.913586605864736,56.0,76.0,78.6,76.0,14.668181739927943,4.638486343146388,71.0,91.0,0.5919217269173738,0.6338773050661214,0.14952917172551256,0.04728527592910696,0.5171803018223251,0.7173331624287811,0.5194001403549143,0.5291519665818805,0.034904678750643646,0.011037828584851432,0.5002328981850803,0.5386170579860393,0.6201047897338867,0.6120194494724274,0.034116064356213616,0.010788446816652104,0.5983233153820038,0.6214696764945984,0.6130354005378975,0.6146432931168335,0.011423757275618677,0.0036125092427874927,0.6044593683684185,0.6219830128634081,0.6779992814553144,0.6299702800031864,0.1547944952689982,0.04895031743061928,0.5555979258187351,0.7290036299922544,0.6194740510677355,0.6472727333022309,0.05091574495733862,0.016100972282942272,0.5693027387310039,0.6558535954650823,-519.3,-537.0,261.4914700117174,82.69086339426435,-674.0,-287.25,519.3,537.0,261.4914700117174,82.69086339426435,287.25,674.0,0.43845131265995363,0.4545328558889118,0.15515818359715366,0.04906532577815829,0.3109385825803568,0.5654896576654851,0.33774583478905296,0.3682496493795995,0.15928291627508134,0.05036968077831601,0.2292165059752913,0.47144404827711495,0.033363881001035246,0.026887160832083923,0.0265557088453116,0.00839765248314647,0.018038651050108434,0.038247910737220864,0.6201047897338867,0.6120194494724274,0.034116064356213616,0.010788446816652104,0.5983233153820038,0.6214696764945984,0.6238882817418188,0.6130068705479645,0.042986198894287626,0.013593429645896044,0.5967613261285136,0.6282851218545553,1.0,0.7103452503681182,-0.2896547496318817,0.20310955909506595,0.06422888212929763,0.3478908128716839,-1.0,-0.5344130754470825,0.4655869245529175,0.19059906924952597,0.060272717873666184,0.4994661039485574,0.6086825171417954,0.9,0.1,1.0,0.0,0.0,0.0,0.0
2,max_epochs,max_epochs_1000,15,1000,additive,10,True,True,0.0,65.9,61.0,19.42764353526524,6.14356031412839,56.0,76.0,80.9,76.0,19.42764353526524,6.14356031412839,71.0,91.0,0.5836285251731189,0.623199788241666,0.15153045516010086,0.047918137318793325,0.5017860558739156,0.7173331624287811,0.5170274978804693,0.5291519665818805,0.03683810302713796,0.011649231024569951,0.4964677597673446,0.5386170579860393,0.6195825457572937,0.6120194494724274,0.034102850062226936,0.010784268089985206,0.5983233153820038,0.6175528466701508,0.6125368745788318,0.6146432931168335,0.011831847755454799,0.003741558783558809,0.6022222850168755,0.6219830128634081,0.6630985284785619,0.6299702800031864,0.12669344782421338,0.04006398597442181,0.5555979258187351,0.7290036299922544,0.617854214530348,0.639173550615293,0.050280414855780865,0.01590006326424341,0.5693027387310039,0.6558535954650823,-517.5,-537.0,263.3465186572416,83.27748128329102,-674.0,-273.75,517.5,537.0,263.3465186572416,83.27748128329102,273.75,674.0,0.4301581109156987,0.4545328558889118,0.1674261463369356,0.05294479622893733,0.3109385825803568,0.5654896576654851,0.3285390144676553,0.3682496493795995,0.16778266656927948,0.05305753782555125,0.1695544697923761,0.47144404827711495,0.03174404446364767,0.024461017734836166,0.026631318192738045,0.008421562258173126,0.018015800391772224,0.03285812902616769,0.6195825457572937,0.6120194494724274,0.034102850062226936,0.010784268089985206,0.5983233153820038,0.6175528466701508,0.6235245504463113,0.6130068705479645,0.04292616729340995,0.013574445986860082,0.5967613261285136,0.6255571371382502,1.0,0.7145720779895782,-0.2854279220104218,0.2097784588188844,0.06633777339075105,0.3479589060064006,-1.0,-0.5427557110786438,0.4572442889213562,0.18601029341979564,0.0588216195442785,0.4901144622264306,0.6010720309186532,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,max_epochs,max_epochs_200,15,200,additive,10,True,True,0.0,65.9,61.0,19.42764353526524,6.14356031412839,56.0,76.0,80.9,76.0,19.42764353526524,6.14356031412839,71.0,91.0,0.5836285251731189,0.623199788241666,0.15153045516010086,0.047918137318793325,0.5017860558739156,0.7173331624287811,0.5170274978804693,0.5291519665818805,0.03683810302713796,0.011649231024569951,0.4964677597673446,0.5386170579860393,0.6195825457572937,0.6120194494724274,0.034102850062226936,0.010784268089985206,0.5983233153820038,0.6175528466701508,0.6125368745788318,0.6146432931168335,0.011831847755454799,0.003741558783558809,0.6022222850168755,0.6219830128634081,0.6630985284785619,0.6299702800031864,0.12669344782421338,0.04006398597442181,0.5555979258187351,0.7290036299922544,0.617854214530348,0.639173550615293,0.050280414855780865,0.01590006326424341,0.5693027387310039,0.6558535954650823,-517.5,-537.0,263.3465186572416,83.27748128329102,-674.0,-273.75,517.5,537.0,263.3465186572416,83.27748128329102,273.75,674.0,0.4301581109156987,0.4545328558889118,0.1674261463369356,0.05294479622893733,0.3109385825803568,0.5654896576654851,0.3285390144676553,0.3682496493795995,0.16778266656927948,0.05305753782555125,0.1695544697923761,0.47144404827711495,0.03174404446364767,0.024461017734836166,0.026631318192738045,0.008421562258173126,0.018015800391772224,0.03285812902616769,0.6195825457572937,0.6120194494724274,0.034102850062226936,0.010784268089985206,0.5983233153820038,0.6175528466701508,0.6235245504463113,0.6130068705479645,0.04292616729340995,0.013574445986860082,0.5967613261285136,0.6255571371382502,1.0,0.7145720779895782,-0.2854279220104218,0.2097784588188844,0.06633777339075105,0.3479589060064006,-1.0,-0.5427557110786438,0.4572442889213562,0.18601029341979564,0.0588216195442785,0.4901144622264306,0.6010720309186532,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,max_epochs,max_epochs_25,15,25,additive,10,True,True,0.0,24.2,24.0,0.7888106377466155,0.24944382578492943,24.0,25.0,25.0,25.0,0.0,0.0,25.0,25.0,1.1859924469903527,1.2314157556827303,0.20743582898596433,0.06559696879208234,1.011668338958676,1.301167501277067,0.5985755107622165,0.6013214037350163,0.021607354596195845,0.006832845473488667,0.582610406912905,0.60898489499618,0.6745019495487213,0.6745711266994476,0.03724598408491381,0.011778214340270992,0.6547805368900299,0.6917302012443542,0.6511539910767291,0.652675772575694,0.014800318333578076,0.004680271602965445,0.6410416576187933,0.658667341895485,0.9215157783506246,0.8156605454093148,0.3434766437148926,0.10861685172092186,0.6370580054209927,1.1413404109367515,0.8067146909809784,0.8036266862077119,0.06421452281780474,0.020306415096511654,0.7613505870311016,0.8422062285941967,-559.2,-579.0,260.17421513713117,82.27431082799916,-692.25,-339.5,559.2,579.0,260.17421513713117,82.27431082799916,339.5,692.25,1.0325220327329325,1.0506449095503396,0.17328360134406096,0.054797086140384726,0.8972675769595093,1.1484809464704815,1.4125561732655303,1.5117968490793676,0.47319902815961584,0.1496386715562541,1.0055221647784176,1.6414238120163502,0.22060452091427812,0.22518285802056415,0.04915448865391194,0.01554401413672658,0.17954372238608804,0.25457581329489953,0.6745019495487213,0.6745711266994476,0.03724598408491381,0.011778214340270992,0.6547805368900299,0.6917302012443542,0.6764421864828247,0.6831057485777461,0.050096717704910476,0.01584197312460001,0.6411031057819816,0.6918565823577052,1.0,0.34605037346482276,-0.6539496265351772,0.32665920362989376,0.10329871021272065,0.7236613336568443,-1.0,-0.09166341833770275,0.9083365816622972,0.32752213451002044,0.10357159291717005,0.9600099058450111,1.202208278606727,0.0,1.0,1.0,0.0,0.0,0.0,0.0
