case,n,rep,tau,epoch,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss
1,1000,2,0.5,0,0.5936980843544006,-0.6821340322494507,-0.40630191564559937,0.3178659677505493,,1.069528803787231,2.316495905893359,2.270888791581666,2.3216290357881557
1,1000,2,0.5,1,0.628696858882904,-0.6470720171928406,-0.37130314111709595,0.3529279828071594,2.1563782691955566,0.9839060603825004,2.181521087325414,2.135420881377511,2.1859324972706555
1,1000,2,0.5,2,0.6636662483215332,-0.6121470928192139,-0.3363337516784668,0.38785290718078613,1.902618169784546,0.8066442796089156,1.9354198099284414,1.8822645662413786,1.9371301531844165
1,1000,2,0.5,3,0.6984043717384338,-0.5778915286064148,-0.30159562826156616,0.4221084713935852,1.3754312992095947,0.4428747957299384,1.455910321250048,1.3639048900049389,1.4651580169243916
1,1000,2,0.5,4,0.7315900921821594,-0.5461120009422302,-0.2684099078178406,0.4538879990577698,0.7670224905014038,0.09301578744117267,0.804215202360291,0.7604047853668727,0.8177058731283953
1,1000,2,0.5,5,0.7509921193122864,-0.5296078324317932,-0.24900788068771362,0.4703921675682068,0.7646178007125854,0.060047283067767535,0.7453926700986354,0.755466890583422,0.7998098506764006
1,1000,2,0.5,6,0.7596186399459839,-0.5245834589004517,-0.2403813600540161,0.47541654109954834,0.6985665559768677,0.0678328881423715,0.7063573797395761,0.6754780118834467,0.7175381359656713
1,1000,2,0.5,7,0.7747864127159119,-0.513131320476532,-0.22521358728408813,0.486868679523468,0.6656759977340698,0.02595887695351242,0.6189451609206202,0.6480994784027908,0.6630639505209752
1,1000,2,0.5,8,0.7838606238365173,-0.5083520412445068,-0.21613937616348267,0.49164795875549316,0.6521526575088501,0.017347412455727903,0.5914981559444389,0.6361780419795027,0.6378249911845554
1,1000,2,0.5,9,0.7917856574058533,-0.5072567462921143,-0.20821434259414673,0.49274325370788574,0.630408763885498,0.021343749978219487,0.5817528625145763,0.6113566027101185,0.6143376106064095
1,1000,2,0.5,10,0.8017109036445618,-0.5049982070922852,-0.19828909635543823,0.49500179290771484,0.6531130075454712,0.011381165946278707,0.5737830146878885,0.6376963067028106,0.6282973823215605
1,1000,2,0.5,11,0.8066726922988892,-0.508060097694397,-0.19332730770111084,0.491939902305603,0.631269097328186,0.01668592914254161,0.5625019819038435,0.6097444867834497,0.6008673076570968
1,1000,2,0.5,12,0.8144575357437134,-0.509789228439331,-0.18554246425628662,0.49021077156066895,0.6446833610534668,0.011178224839344057,0.5578156975489118,0.6243831543421688,0.6098449299583992
1,1000,2,0.5,13,0.8202373385429382,-0.5134655237197876,-0.17976266145706177,0.4865344762802124,0.6314729452133179,0.013364783403599081,0.5520397601527993,0.6092562329795514,0.5973483136072818
1,1000,2,0.5,14,0.82778400182724,-0.5162591338157654,-0.17221599817276,0.4837408661842346,0.6331062316894531,0.011805795796451586,0.5486975387833739,0.6111196385937129,0.5967476924176794
1,1000,2,0.5,15,0.8336447477340698,-0.5196481943130493,-0.16635525226593018,0.4803518056869507,0.6338263750076294,0.01148515500638583,0.5450488166555527,0.6120102028270735,0.5954029451040665
1,1000,2,0.5,16,0.8386627435684204,-0.5231512784957886,-0.1613372564315796,0.4768487215042114,0.6345553398132324,0.01054085985487898,0.5413884200175392,0.6140781989502027,0.5946510584652408
1,1000,2,0.5,17,0.8439984321594238,-0.5272898077964783,-0.15600156784057617,0.47271019220352173,0.6327955722808838,0.013324690513370908,0.5405319159262089,0.6109396033826765,0.5887468874014332
1,1000,2,0.5,18,0.8504015803337097,-0.5296292304992676,-0.14959841966629028,0.4703707695007324,0.6586694717407227,0.007386896465310028,0.545451499723431,0.6402207993862788,0.6103643303441233
1,1000,2,0.5,19,0.8523292541503906,-0.5371106266975403,-0.14767074584960938,0.4628893733024597,0.6311919689178467,0.01629619390302148,0.5412287508958987,0.6084867696375907,0.5855661656098573
1,1000,2,0.5,20,0.8583685159683228,-0.5398046374320984,-0.14163148403167725,0.4601953625679016,0.6536389589309692,0.00674807042808248,0.5416699411858239,0.635443084346183,0.6087652534748079
1,1000,2,0.5,21,0.8592487573623657,-0.5468095541000366,-0.14075124263763428,0.4531904458999634,0.6310890913009644,0.015496301286071091,0.5363365012050026,0.6084460418682148,0.5819147622901534
1,1000,2,0.5,22,0.8651007413864136,-0.5490784049034119,-0.13489925861358643,0.45092159509658813,0.64065021276474,0.006681151970317493,0.5318555591480698,0.6206561215282536,0.593849053844759
1,1000,2,0.5,23,0.8666803240776062,-0.5545307397842407,-0.1333196759223938,0.4454692602157593,0.6326205730438232,0.010532652332816918,0.5266818245818778,0.6110232160913364,0.5824852913366352
1,1000,2,0.5,24,0.8681105971336365,-0.5592123866081238,-0.13188940286636353,0.4407876133918762,0.6352001428604126,0.011374944028983622,0.5259898922080924,0.61413187269028,0.5837614430254343
1,1000,2,0.5,25,0.8740705251693726,-0.5621817708015442,-0.12592947483062744,0.4378182291984558,0.6403330564498901,0.007430008036307065,0.5277671622324892,0.6217571262646843,0.5901610313613672
1,1000,2,0.5,26,0.879382848739624,-0.5672270059585571,-0.12061715126037598,0.43277299404144287,0.6271302700042725,0.01094092644949068,0.525144158542237,0.6062773982247986,0.5781651350841187
1,1000,2,0.5,27,0.884475588798523,-0.5710780620574951,-0.11552441120147705,0.4289219379425049,0.6266850233078003,0.010910898746263801,0.5239844033051341,0.6054497799557796,0.5767479384621071
1,1000,2,0.5,28,0.8897084593772888,-0.5738627910614014,-0.11029154062271118,0.42613720893859863,0.6302440762519836,0.00732216622066621,0.5225924104943851,0.6101622240506219,0.582142667519454
1,1000,2,0.5,29,0.8916047811508179,-0.5802333354949951,-0.10839521884918213,0.4197666645050049,0.6249430775642395,0.01229773732491956,0.524812765144628,0.6033704035435778,0.5748881151547292
1,1000,2,0.5,30,0.8964314460754395,-0.5837480425834656,-0.10356855392456055,0.4162519574165344,0.6432907581329346,0.005427082302388262,0.5299448690906061,0.6255188468261078,0.599810780353575
1,1000,2,0.5,31,0.8999212384223938,-0.5920607447624207,-0.1000787615776062,0.40793925523757935,0.6245619654655457,0.015149837805110023,0.5286243949701374,0.602254499407565,0.5766427208886699
1,1000,2,0.5,32,0.9101736545562744,-0.5945514440536499,-0.08982634544372559,0.4054485559463501,0.6416835784912109,0.006262186722217547,0.5272282470757754,0.6253730494567722,0.5961171420393406
1,1000,2,0.5,33,0.915175199508667,-0.6027806401252747,-0.08482480049133301,0.39721935987472534,0.6212079524993896,0.013833781356616035,0.5268798589528285,0.599975478051641,0.5757445859576201
1,1000,2,0.5,34,0.9226817488670349,-0.6053276062011719,-0.07731825113296509,0.3946723937988281,0.6250799298286438,0.006415648776223033,0.5172598931687507,0.606687410468104,0.5812175515759788
1,1000,2,0.5,35,0.9274728894233704,-0.6097405552864075,-0.07252711057662964,0.39025944471359253,0.6295672655105591,0.006177029097070499,0.5176744569727879,0.6107687943650556,0.5815242084153808
1,1000,2,0.5,36,0.9304715991020203,-0.6172459125518799,-0.06952840089797974,0.3827540874481201,0.623600959777832,0.010334265783861702,0.5172725020707806,0.6035079139740904,0.5724981474777555
1,1000,2,0.5,37,0.9344543218612671,-0.6198164224624634,-0.06554567813873291,0.3801835775375366,0.622021496295929,0.00707513452009387,0.5143355157760127,0.6031940922300486,0.5762068087140564
1,1000,2,0.5,38,0.9383152723312378,-0.6235981583595276,-0.06168472766876221,0.3764018416404724,0.6227798461914062,0.007203493585950171,0.5133211671032473,0.6044901784700621,0.5769376917038408
1,1000,2,0.5,39,0.9406358599662781,-0.6299445629119873,-0.059364140033721924,0.3700554370880127,0.6250744462013245,0.01020712096353867,0.5145058318888558,0.6056321491304356,0.5750626417385285
1,1000,2,0.5,40,0.9432266354560852,-0.6336954236030579,-0.056773364543914795,0.36630457639694214,0.6259036064147949,0.006439617103165569,0.51304605244171,0.607944258016549,0.5815066384529585
1,1000,2,0.5,41,0.9437469840049744,-0.6404966115951538,-0.056253015995025635,0.3595033884048462,0.6194140911102295,0.008961653647844466,0.5121313030737198,0.6002301081369786,0.573982944275878
1,1000,2,0.5,42,0.9447476863861084,-0.6453875303268433,-0.0552523136138916,0.35461246967315674,0.6208704113960266,0.0066756172042526495,0.5105903641974195,0.6024430640168608,0.5772813901932068
1,1000,2,0.5,43,0.9475306272506714,-0.6499850153923035,-0.05246937274932861,0.35001498460769653,0.6377214789390564,0.0048523043484277675,0.5190350951469266,0.6218697722690278,0.5929898533065738
1,1000,2,0.5,44,0.9464753270149231,-0.6580594778060913,-0.053524672985076904,0.3419405221939087,0.6217266321182251,0.00940040734734904,0.5121264918606394,0.6017831192109527,0.5740758056506372
1,1000,2,0.5,45,0.9532536268234253,-0.6625386476516724,-0.04674637317657471,0.33746135234832764,0.6265745162963867,0.0064144545446779225,0.5105864756212654,0.6091450424164055,0.5805174873500973
