n_total,epoch,Q_paired,mean_delta_theta1,mcse_delta_theta1,mean_delta_abs_error_theta1,mean_delta_theta2,mcse_delta_theta2,mean_delta_abs_error_theta2,mean_delta_train_check_loss,mean_delta_validation_check_loss
1000,500,70,0.014574527740478516,0.005679158271760267,-0.0021075316837855748,-0.021274448292596,0.005290608615763573,-0.011668373005730766,-0.06946070704715594,0.053551945737430016
1000,1000,70,0.0229513338633946,0.008327762366146012,0.004443502426147461,-0.02614537136895316,0.006736546655539849,-0.014333593845367431,-0.10930485059959548,0.09957720722470964
1000,2000,70,0.022615958111626762,0.01035769402227477,0.011928540468215943,-0.033159725155149186,0.008013287473894473,-0.016113328082220896,-0.14195004702040126,0.13870752898284364
2000,500,70,0.00756541405405317,0.003557281112212975,0.005765127284186227,-0.0020120765481676374,0.0035954043872273404,0.0019252121448516846,-0.04715317143712725,0.041888972665582384
2000,1000,70,0.01139451265335083,0.005102492217520537,0.007817161083221436,-0.010673996380397252,0.0054856489065774105,0.006588043485369001,-0.07554421593887466,0.07610066134589058
2000,2000,70,0.010317938668387277,0.0060467762391096126,0.009087647710527693,-0.014778751134872436,0.0062626459494502865,0.010674748250416347,-0.09915426021814346,0.10630157787459235
