n_total,n_fit,epoch,Q_available,Q_requested,complete,mean_theta1,mean_theta2,bias_theta1,bias_theta2,abs_bias_theta1,abs_bias_theta2,mc_sd_theta1,mc_sd_theta2,rmse_theta1,rmse_theta2,mcse_mean_theta1,mcse_mean_theta2,mean_train_check_loss,mean_validation_check_loss
1000,800,200,70,70,True,0.9351780278342111,-0.9034287061010088,-0.06482197216578893,0.09657129389899118,0.06482197216578893,0.09657129389899118,0.08076498215884872,0.07809156563632286,0.10311006234377373,0.12384340500328224,0.009653261730863788,0.00933372733962477,0.24989677600349702,0.4476296625988825
1000,800,500,70,70,True,0.9497525555746896,-0.9247031543936048,-0.05024744442531041,0.07529684560639517,0.05024744442531041,0.07529684560639517,0.08893986826350689,0.08699703075298022,0.10159774382292391,0.11458611227916546,0.010630347505897551,0.010398134008310602,0.18043606895634107,0.5011816083363125
1000,800,1000,70,70,True,0.9581293616976057,-0.929574077469962,-0.04187063830239432,0.07042592253003802,0.04187063830239432,0.07042592253003802,0.09904997566178826,0.09077361663102355,0.10688261013526901,0.1143763432931285,0.011838736466484472,0.010849522357015166,0.14059192540390147,0.547206869823592
1000,800,2000,70,70,True,0.9577939859458379,-0.936588431256158,-0.04220601405416216,0.06341156874384199,0.04220601405416216,0.06341156874384199,0.11109086658415224,0.09858839135208113,0.11809413905951989,0.11662695022327974,0.013277898197712894,0.011783566589226288,0.10794672898309572,0.5863371915817263
2000,1600,200,70,70,True,0.965759904044015,-0.971366651569094,-0.034240095955984935,0.028633348430906022,0.034240095955984935,0.028633348430906022,0.05831224099982339,0.05519923438349902,0.06726162098789391,0.06183280831008089,0.006969645871739092,0.006597570414851277,0.2779549828597477,0.4312750732217516
2000,1600,500,70,70,True,0.9733253180980682,-0.9733787281172616,-0.026674681901931764,0.026621271882738384,0.026674681901931764,0.026621271882738384,0.06930009527259903,0.0595644081043657,0.07379318851168225,0.0648531130820855,0.008282945649940953,0.00711930846644073,0.23080181142262046,0.473164045887334
2000,1600,1000,70,70,True,0.9771544166973659,-0.9820406479494912,-0.022845583302634104,0.017959352050508772,0.022845583302634104,0.017959352050508772,0.07502189975467011,0.06911385728732256,0.0779089342853763,0.07092971635915603,0.008966832091339864,0.00826068595312623,0.20241076692087312,0.5073757345676422
2000,1600,2000,70,70,True,0.9760778427124024,-0.9861454027039664,-0.023922157287597657,0.013854597296033586,0.023922157287597657,0.013854597296033586,0.07873441252969304,0.07632666208310103,0.08174850851254505,0.07703560266192998,0.009410562239462548,0.009122781017672103,0.1788007226416043,0.537576651096344
