design,n_total,coef,epoch_first,epoch_last,abs_bias_first,abs_bias_last,abs_bias_delta,rmse_first,rmse_last,mean_hetero_ratio
case6_c10_t3,400,1,10,200,0.9753853150410577,0.909905044361949,-0.06548027067910878,1.0482105122457221,1.123929083139184,4.583988587774712
case6_c10_t3,400,2,10,200,0.9949755962006748,0.9219795037992299,-0.07299609240144489,1.0658744297208973,1.013530138026104,4.583988587774712
case6_c1_t3,400,1,10,200,0.8966109313070774,0.42439905982464554,-0.4722118714824318,0.9843515678993298,0.5222711991304966,4.8175266875421645
case6_c1_t3,400,2,10,200,1.0380431860685349,0.4893443082924932,-0.5486988777760416,1.0956138843664542,0.5444592642567369,4.8175266875421645
case6_c20_t3,400,1,10,200,0.9541420673951506,1.2069664347916842,0.2528243673965336,1.0590767638785468,1.3865071072786554,4.615618973339023
case6_c20_t3,400,2,10,200,1.0325771792093292,0.8287996612489223,-0.20377751796040688,1.1231391707174316,1.0443798663415431,4.615618973339023
