design,sigma,scale,error_law,n_total,epoch,coef,Q,mean_theta,bias_vs_theta0,rmse_vs_theta0,mean_train_check,mean_val_check,mean_hetero_ratio,theta_tau,bias_vs_theta_tau,rmse_vs_theta_tau
case6_c10_t3,paper_case6,10.0,t3,400,10,1,20,0.024614684958942236,-0.9753853150410577,1.0482105122457221,11.241180591583253,11.076486539840698,4.583988587774712,1.0,-0.9753853150410577,1.0482105122457221
case6_c10_t3,paper_case6,10.0,t3,400,10,2,20,-0.005024403799325228,0.9949755962006748,1.0658744297208973,11.241180591583253,11.076486539840698,4.583988587774712,-1.0,0.9949755962006748,1.0658744297208973
case6_c10_t3,paper_case6,10.0,t3,400,20,1,20,0.04470532899722457,-0.9552946710027754,1.0267450664802023,11.01800238609314,11.169832563400268,4.583988587774712,1.0,-0.9552946710027754,1.0267450664802023
case6_c10_t3,paper_case6,10.0,t3,400,20,2,20,0.001859581982716918,1.001859581982717,1.069982877737386,11.01800238609314,11.169832563400268,4.583988587774712,-1.0,1.001859581982717,1.069982877737386
case6_c10_t3,paper_case6,10.0,t3,400,40,1,20,0.03719472614466213,-0.9628052738553379,1.0378001864658264,10.391078739166257,11.50698618888855,4.583988587774712,1.0,-0.9628052738553379,1.0378001864658264
case6_c10_t3,paper_case6,10.0,t3,400,40,2,20,-0.04796141218394041,0.9520385878160595,1.0116014769507395,10.391078739166257,11.50698618888855,4.583988587774712,-1.0,0.9520385878160595,1.0116014769507395
case6_c10_t3,paper_case6,10.0,t3,400,60,1,20,0.05883048931136727,-0.9411695106886327,1.028517682012187,9.654033412933348,11.866692972183227,4.583988587774712,1.0,-0.9411695106886327,1.028517682012187
case6_c10_t3,paper_case6,10.0,t3,400,60,2,20,-0.07155801472254097,0.928441985277459,0.9885997343816041,9.654033412933348,11.866692972183227,4.583988587774712,-1.0,0.928441985277459,0.9885997343816041
case6_c10_t3,paper_case6,10.0,t3,400,80,1,20,0.08140185326337815,-0.9185981467366219,1.021939882836301,8.994203219413755,12.256821823120116,4.583988587774712,1.0,-0.9185981467366219,1.021939882836301
case6_c10_t3,paper_case6,10.0,t3,400,80,2,20,-0.07991061341017484,0.9200893865898252,0.985519510816252,8.994203219413755,12.256821823120116,4.583988587774712,-1.0,0.9200893865898252,0.985519510816252
