n,stage,completed_reps,inadequate_integrations,max_scaled_se,max_scaled_refinement_gap,max_decomposition_error
32,baseline,2,1,0.001056379585514013,0.0009110673073527368,0.0
32,polished,2,1,0.0010545451563589725,0.0009094125207725833,0.0
48,baseline,2,2,0.00201355784335451,0.003514445823898623,5.551115123125783e-17
48,polished,2,2,0.0020150331207053835,0.0035089644805397246,0.0
