n,metric,pairs,mean_change,mc_se,ci_low,ci_high,fraction_improved
32,S,2,0.0,0.0,0.0,0.0,0.0
32,E,2,5.1610136683949426e-05,1.778220716405765e-05,-0.00017433422820363947,0.0002775545015715383,0.0
32,T,2,-0.0001142351769493899,1.7782206630817532e-05,-0.00034017953506152067,0.00011170918116274088,1.0
32,R_theta,2,-0.0006279107865170275,5.346834086594754e-12,-0.0006279108544549961,-0.0006279107185790589,1.0
32,root_n_G,2,0.0,0.0,0.0,0.0,0.0
32,root_n_a,2,0.0061525197671260246,0.001552669652143207,-0.013576018720650708,0.025881058254902757,0.0
32,final_training_loss,2,-0.00018515656761225463,2.6003940398033887e-05,-0.0005155679582569573,0.000145254823032448,1.0
48,S,2,0.0,0.0,0.0,0.0,0.0
48,E,2,5.692804164098009e-06,0.00010247181307013185,-0.0012963350323920192,0.0013077206407202152,0.5
48,T,2,-0.0001791715111947867,5.6928042240222965e-06,-0.0002515054471881741,-0.00010683757520139928,1.0
48,R_theta,2,-0.0007690305278991172,5.997424779025096e-13,-0.0007690305355195679,-0.0007690305202786665,1.0
48,root_n_G,2,0.0,0.0,0.0,0.0,0.0
48,root_n_a,2,0.005191482653667201,0.0007821089423254434,-0.004746153693512929,0.01512911900084733,0.0
48,final_training_loss,2,-0.00023466234690056043,4.749247934016098e-05,-0.0008381115128251927,0.00036878681902407183,1.0
