n,stage,metric,completed_reps,planned_reps,signed_mean,signed_mc_se,mean_abs,mean_abs_mc_se,mean_abs_ci_low,mean_abs_ci_high,median_abs,q90_abs,rms
32,baseline,S,2,2,-0.17441208300162997,0.1857178316938116,0.18571783169381162,0.17441208300162997,0.0,2.401833466775216,0.18571783169381162,0.3252474980951156,0.25477575965153826
32,baseline,E,2,2,0.11201356319822829,0.0156913671247174,0.11201356319822829,0.0156913671247174,0.0,0.3113912864753684,0.11201356319822829,0.12456665689800221,0.11310728244726838
32,baseline,T,2,2,0.1757365387157455,0.024050761095070677,0.1757365387157455,0.024050761095070677,0.0,0.4813304332505386,0.1757365387157455,0.19497714759180204,0.17737466039162098
32,baseline,R_score,2,2,-0.4621621849156038,0.14597570347402353,0.4621621849156038,0.14597570347402353,0.0,2.316959359763674,0.4621621849156038,0.5789427476948227,0.48466771211903603
32,baseline,R_theta,2,2,-4.633875200698773,1.4636273029485527,4.633875200698773,1.4636273029485527,0.0,23.231023369418267,4.633875200698773,5.804777043057616,4.859527163993175
32,baseline,W,2,2,0.1008990195282716,0.14597570348363254,0.14597570348363256,0.10089901952827159,0.0,1.42801930328914,0.14597570348363256,0.22669491910624984,0.17745286176702801
32,baseline,root_n_G,2,2,-1.0336319806062686,0.15711841988269165,1.0336319806062686,0.15711841988269165,0.0,3.0300107914600094,1.0336319806062686,1.159326716512422,1.045505269809039
32,baseline,root_n_phi_score,2,2,0.8592198976046386,0.02859941181112002,0.8592198976046386,0.02859941181112002,0.4958299157983749,1.2226098794109022,0.8592198976046386,0.8820994270535346,0.8596957361739488
32,baseline,root_n_a,2,2,5.9246709120839185,6.097817448511628,6.097817448511629,5.9246709120839185,0.0,81.37789905190877,6.097817448511629,10.837554178178763,8.502064634655877
32,baseline,sqrt_n_prediction_error_squared,2,2,5.853363015806313,1.2668815318273499,5.853363015806313,1.2668815318273499,0.0,21.950619135683237,5.853363015806313,6.866868241268192,5.988893671663773
32,baseline,n_quarter_h_l2,2,2,2.0862922466189433,0.3036203422201251,2.0862922466189433,0.3036203422201251,0.0,5.944154476935278,2.0862922466189433,2.3291885203950433,2.1082695867730443
32,baseline,n_quarter_m_l2,2,2,1.313499686771189,0.047571428900395334,1.313499686771189,0.047571428900395334,0.7090473715703881,1.9179520019719898,1.313499686771189,1.3515568298915053,1.3143608591234133
32,baseline,n_frozen_h_loss_gain,2,2,1.0696678886979196,1.067710337470151,1.0696678886979196,1.067710337470151,0.0,14.636214035523835,1.0696678886979196,1.9238361586740407,1.5113552715533465
32,polished,S,2,2,-0.17441208300162997,0.1857178316938116,0.18571783169381162,0.17441208300162997,0.0,2.401833466775216,0.18571783169381162,0.3252474980951156,0.25477575965153826
32,polished,E,2,2,0.11206517333491224,0.01570914933188146,0.11206517333491224,0.01570914933188146,0.0,0.31166884097694,0.11206517333491224,0.12463249280041741,0.11316086093396108
32,polished,T,2,2,0.1756223035387961,0.024032978888439856,0.1756223035387961,0.024032978888439856,0.0,0.48099025371547705,0.1756223035387961,0.194848686649548,0.17725906908963848
32,polished,R_score,2,2,-0.46209955987533835,0.14597570347349031,0.46209955987533835,0.14597570347349031,0.0,2.316896734716634,0.46209955987533835,0.5788801226541306,0.48460799543709737
32,polished,R_theta,2,2,-4.633247289912256,1.4636273029432059,4.633247289912256,1.4636273029432059,0.0,23.230395458563812,4.633247289912256,5.804149132266821,4.858928413899516
32,polished,W,2,2,0.1008990195282716,0.14597570348363254,0.14597570348363256,0.10089901952827159,0.0,1.42801930328914,0.14597570348363256,0.22669491910624984,0.17745286176702801
32,polished,root_n_G,2,2,-1.0336319806062686,0.15711841988269165,1.0336319806062686,0.15711841988269165,0.0,3.0300107914600094,1.0336319806062686,1.159326716512422,1.045505269809039
32,polished,root_n_phi_score,2,2,0.8592198976046386,0.02859941181112002,0.8592198976046386,0.02859941181112002,0.4958299157983749,1.2226098794109022,0.8592198976046386,0.8820994270535346,0.8596957361739488
32,polished,root_n_a,2,2,5.926223581736062,6.103969968278754,6.103969968278754,5.926223581736061,0.0,81.40378011016367,6.103969968278754,10.844948833667605,8.507559891906347
32,polished,sqrt_n_prediction_error_squared,2,2,5.848337277678976,1.2656588984341588,5.848337277678976,1.2656588984341588,0.0,21.93005836734473,5.848337277678976,6.860864396426304,5.983723035090704
