n,stage,completed_reps,planned_reps,root_n_bias,mc_se,ci_low,ci_high,root_n_sd,root_n_mae,root_n_rmse,oracle_wald_coverage,coverage_ci_low,coverage_ci_high
32,baseline,2,2,-5.645540541627216,9.634470998878472e-11,-5.645540542851392,-5.645540540403041,1.3625199552904196e-10,5.645540541627216,5.645540541627216,0.0,0.0,0.6576197724933469
32,polished,2,2,-5.6449126308407,1.0169154407532566e-10,-5.644912632132814,-5.644912629548586,1.4381356080998692e-10,5.6449126308407,5.6449126308407,0.0,0.0,0.6576197724933469
48,baseline,2,2,-6.914346824359774,3.202771381438651e-12,-6.91434682440047,-6.914346824319079,4.529402724810954e-12,6.914346824359774,6.914346824359774,0.0,0.0,0.6576197724933469
48,polished,2,2,-6.913577793831874,3.803179993155936e-12,-6.913577793880198,-6.91357779378355,5.37850872646714e-12,6.913577793831874,6.913577793831874,0.0,0.0,0.6576197724933469
