design,n_total,coef,epoch_first,epoch_last,abs_bias_first,abs_bias_last,abs_bias_delta,rmse_first,rmse_last,mean_hetero_ratio
interact_s1_t3,400,1,10,100,0.4201019008954366,0.29854607582092285,-0.12155582507451373,0.42025722592575865,0.4138870910892111,54.85007449712035
interact_s1_t3,400,2,10,100,0.7799013455708822,0.729868970811367,-0.050032374759515164,0.7817429195028937,0.7580345179565904,54.85007449712035
mild_s1_t3,400,1,10,100,0.23205941915512085,0.0741013487180074,-0.15795807043711346,0.23226741334047285,0.15014535451137456,2.9608114402583863
mild_s1_t3,400,2,10,100,1.0785422349969547,0.5512734353542328,-0.5272687996427219,1.0785855381855844,0.5513271845318626,2.9608114402583863
mild_x10_s1_t3,400,1,10,100,1.160348504781723,1.0783812757581472,-0.08196722902357578,1.2558796398863423,1.0913480351299998,9.294814024819791
mild_x10_s1_t3,400,2,10,100,1.1834590236345928,0.9840804984172186,-0.1993785252173742,1.2905417943321429,1.1396000733710647,9.294814024819791
paper4_s10_t3,400,1,10,100,1.0874069755276043,0.9590330521265665,-0.12837392340103781,1.1325174088292485,1.092317846132374,4.030315638315687
paper4_s10_t3,400,2,10,100,1.227549930413564,1.053093895316124,-0.17445603509744,1.2652022471087938,1.064659477310211,4.030315638315687
paper6_s10_t3,400,1,10,100,1.015717049439748,1.124717556561033,0.10900050712128495,1.0995310967050884,1.128026764227772,4.576941983490415
paper6_s10_t3,400,2,10,100,1.1388686895370483,1.257695496082306,0.11882680654525757,1.2427438162256381,1.5505803946821877,4.576941983490415
paper6_s1_t3,400,1,10,100,1.2909329781929653,0.8087498595317205,-0.48218311866124475,1.2974634926375217,0.8415740664517067,4.491301079855678
paper6_s1_t3,400,2,10,100,1.1360864713788033,0.6496163010597229,-0.48647017031908035,1.1733195539950438,0.6692069401206654,4.491301079855678
steep_s1_t3,400,1,10,100,0.6189477145671844,0.5621993144353231,-0.05674840013186133,0.7926274316522874,0.870718734678709,36.72808267460787
steep_s1_t3,400,2,10,100,1.2355120182037354,0.9312159633263946,-0.3042960548773408,1.352628265129408,1.0961855925484982,36.72808267460787
z_spike_t3,400,1,10,100,1.2928481474518776,1.5013471841812134,0.20849903672933578,1.3287085057036898,1.5069028458306568,23.88678866038191
z_spike_t3,400,2,10,100,1.1408135890960693,1.0092089741180341,-0.13160461497803522,1.1716915914913852,1.0609166009639277,23.88678866038191
