case,n,rep,tau,epoch,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss
3,1000,3,0.5,0,0.48200875520706177,-0.48074954748153687,-0.5179912447929382,0.5192504525184631,,0.8824281618971255,1.0423945254220321,0.9957185199688123,0.9887742204029589
3,1000,3,0.5,1,0.5165501236915588,-0.4468129575252533,-0.48344987630844116,0.5531870424747467,0.9419424533843994,0.75101607988689,0.9679748855843784,0.9287756568239746,0.917667234153972
3,1000,3,0.5,2,0.5504143834114075,-0.41367843747138977,-0.44958561658859253,0.5863215625286102,0.8135155439376831,0.47067859614947244,0.8293392096667449,0.8072485240893608,0.7914784676835217
3,1000,3,0.5,3,0.5805142521858215,-0.3860541582107544,-0.41948574781417847,0.6139458417892456,0.7308571338653564,0.19742943067041752,0.7427625010636604,0.7485212558613048,0.724114882948792
3,1000,3,0.5,4,0.5955454707145691,-0.37838560342788696,-0.4044545292854309,0.621614396572113,0.6838943958282471,0.1994395566892326,0.6899949212365462,0.6981697330014665,0.6862094279884163
3,1000,3,0.5,5,0.6076675653457642,-0.3757206201553345,-0.39233243465423584,0.6242793798446655,0.6704731583595276,0.2139491074394908,0.6738506348723269,0.6794361832106773,0.6718193254523499
3,1000,3,0.5,6,0.6235763430595398,-0.37124574184417725,-0.3764236569404602,0.6287542581558228,0.6432881951332092,0.10333659290953517,0.6373151460907696,0.6573169898029826,0.6576676348390224
3,1000,3,0.5,7,0.6311171650886536,-0.3792839050292969,-0.36888283491134644,0.6207160949707031,0.6256725788116455,0.13521301861772156,0.6065161910926298,0.6297243771090937,0.6297506182159764
3,1000,3,0.5,8,0.6406887769699097,-0.3848617374897003,-0.35931122303009033,0.6151382625102997,0.5951982736587524,0.07728744405963685,0.5860957075008366,0.6043716967466151,0.6303100916936994
3,1000,3,0.5,9,0.646470844745636,-0.3957320749759674,-0.353529155254364,0.6042679250240326,0.5888774394989014,0.09429455095051283,0.5766789151882675,0.5954303276182494,0.6236162431564278
3,1000,3,0.5,10,0.6551019549369812,-0.40492671728134155,-0.3448980450630188,0.5950732827186584,0.5853734612464905,0.08539736218518468,0.5709940067014972,0.5902196204559363,0.6233139050909453
3,1000,3,0.5,11,0.6637585759162903,-0.4153366684913635,-0.3362414240837097,0.5846633315086365,0.5762466192245483,0.0700565443217214,0.5666136570533838,0.583537665385129,0.6206830214570652
3,1000,3,0.5,12,0.672396183013916,-0.4269099831581116,-0.327603816986084,0.5730900168418884,0.5807107090950012,0.08399272586208432,0.563990812128895,0.5865271520487022,0.615300736690142
3,1000,3,0.5,13,0.6852556467056274,-0.43662771582603455,-0.31474435329437256,0.5633722841739655,0.5719980597496033,0.07295193977690288,0.5597940684219302,0.579092444070992,0.6145577969893258
3,1000,3,0.5,14,0.696486234664917,-0.44827088713645935,-0.303513765335083,0.5517291128635406,0.5679816007614136,0.07502798142880521,0.5585947242619372,0.5764834022717341,0.6174323050767198
