case,n,rep,tau,epoch,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss
2,1000,6,0.5,0,0.6076298356056213,0.055657386779785156,-0.39237016439437866,1.0556573867797852,,1.0406486808598086,2.304050021553432,2.353893428802952,2.2751454696724323
2,1000,6,0.5,1,0.6426120400428772,0.09070702642202377,-0.3573879599571228,1.0907070264220238,2.132735013961792,0.8966314728890945,2.084019789212949,2.12918046160383,2.054823891772319
2,1000,6,0.5,2,0.6774709820747375,0.12561647593975067,-0.32252901792526245,1.1256164759397507,1.7409192323684692,0.64432246444819,1.6762210960587298,1.7318792834631125,1.6629806914652956
2,1000,6,0.5,3,0.7112060189247131,0.15910658240318298,-0.28879398107528687,1.159106582403183,1.014636754989624,0.2234727827934494,0.9642986648975554,1.0002185314937604,1.0035537301591273
2,1000,6,0.5,4,0.7349551320075989,0.18103182315826416,-0.2650448679924011,1.1810318231582642,1.0602774620056152,0.11608157610277181,1.0680049105215044,1.0576640943577842,1.1215241466227366
2,1000,6,0.5,5,0.7406240701675415,0.1828220635652542,-0.2593759298324585,1.1828220635652542,0.9086199998855591,0.15557154503995554,0.867026561059846,0.8986654104708434,0.9129262137500127
2,1000,6,0.5,6,0.7483420372009277,0.18562355637550354,-0.25165796279907227,1.1856235563755035,0.8894835710525513,0.1503363268048064,0.8443723537058971,0.8810180058506356,0.8894015244236809
2,1000,6,0.5,7,0.7573883533477783,0.1896122545003891,-0.24261164665222168,1.189612254500389,0.8164247274398804,0.07322544658705842,0.7877712221339714,0.8094472924981904,0.8461886085649961
2,1000,6,0.5,8,0.7593344449996948,0.18583457171916962,-0.24066555500030518,1.1858345717191696,0.7826238870620728,0.07583083586423686,0.7496886199977589,0.7768927649212779,0.7998551666888571
2,1000,6,0.5,9,0.7601836919784546,0.17952381074428558,-0.2398163080215454,1.1795238107442856,0.7666015625,0.08074731633309082,0.7269592368748738,0.7613253177961693,0.7768672726816488
2,1000,6,0.5,10,0.7609591484069824,0.17299650609493256,-0.23904085159301758,1.1729965060949326,0.7483541369438171,0.053849458431775535,0.705517998178033,0.7412243905759536,0.753820327051838
2,1000,6,0.5,11,0.7587805986404419,0.1621112823486328,-0.2412194013595581,1.1621112823486328,0.7327972650527954,0.06228237209522671,0.6915555424237713,0.7271010437038123,0.7318464202754805
2,1000,6,0.5,12,0.7580870389938354,0.1520892083644867,-0.24191296100616455,1.1520892083644867,0.7305111885070801,0.04598804066785779,0.6853301606607894,0.7268900321491151,0.7238051384359228
2,1000,6,0.5,13,0.7574900984764099,0.14091730117797852,-0.2425099015235901,1.1409173011779785,0.721073567867279,0.048479251745762376,0.6736639351641855,0.7178470780574585,0.7139356293405711
2,1000,6,0.5,14,0.755752444267273,0.12914536893367767,-0.24424755573272705,1.1291453689336777,0.7157858610153198,0.05591514244136755,0.6689878300756295,0.7129171182139922,0.7058454767226767
2,1000,6,0.5,15,0.7564077377319336,0.11973892152309418,-0.2435922622680664,1.1197389215230942,0.720939040184021,0.03874795552320034,0.6659710312539664,0.7171262995753803,0.7087491508417652
2,1000,6,0.5,16,0.754492998123169,0.10740754753351212,-0.24550700187683105,1.1074075475335121,0.7091987133026123,0.055954701666643285,0.6618756890425063,0.704487723783795,0.6940071230947794
