case,n,rep,tau,epoch,theta1,theta2,error_theta1,error_theta2,selection_val_loss,relative_mse,train_check_loss,validation_check_loss,test_check_loss
3,1000,4,0.5,0,0.16030526161193848,0.28602665662765503,-0.8396947383880615,1.286026656627655,,0.9993085590262398,0.9136659392379901,0.9681224870380666,0.9684956540381242
3,1000,4,0.5,1,0.19474735856056213,0.32009443640708923,-0.8052526414394379,1.3200944364070892,0.9033770561218262,0.8309802216502649,0.8579912551356356,0.9117953083470869,0.9122175985425348
3,1000,4,0.5,2,0.22824539244174957,0.3511078357696533,-0.7717546075582504,1.3511078357696533,0.8190844058990479,0.5570017017638521,0.7905948175562417,0.8270947355595877,0.8368083715478895
3,1000,4,0.5,3,0.25530022382736206,0.3670618236064911,-0.7446997761726379,1.367061823606491,0.7835864424705505,0.2798863643089293,0.764592032614317,0.7933994508827249,0.8213273496656108
3,1000,4,0.5,4,0.2707088887691498,0.35660824179649353,-0.7292911112308502,1.3566082417964935,0.7397921085357666,0.3406658816517946,0.7260321269604114,0.7509319225006831,0.7824434421490873
3,1000,4,0.5,5,0.2830248773097992,0.33889856934547424,-0.7169751226902008,1.3388985693454742,0.7111825942993164,0.3613901645955789,0.702606728641969,0.7229711359093087,0.7585116512143657
3,1000,4,0.5,6,0.2961176037788391,0.32087892293930054,-0.7038823962211609,1.3208789229393005,0.6899073123931885,0.2130623509363109,0.6680866125567891,0.7067524431627911,0.7333378484144348
3,1000,4,0.5,7,0.3064742386341095,0.2957702875137329,-0.6935257613658905,1.295770287513733,0.671939492225647,0.24692648019557187,0.6435288937687176,0.6904627197666018,0.7087672726501384
3,1000,4,0.5,8,0.31997355818748474,0.27170509099960327,-0.6800264418125153,1.2717050909996033,0.6814128160476685,0.1892991252687244,0.6251741786015574,0.7016623021073718,0.7051577538295571
3,1000,4,0.5,9,0.33353862166404724,0.2477709800004959,-0.6664613783359528,1.247770980000496,0.6662602424621582,0.22146970087621407,0.6170421384680962,0.6859965896353276,0.7014519635672928
3,1000,4,0.5,10,0.3490690588951111,0.22823601961135864,-0.6509309411048889,1.2282360196113586,0.6799643039703369,0.1845926818158821,0.6105628466356936,0.6990420960132279,0.7010039051211502
3,1000,4,0.5,11,0.36272767186164856,0.20730438828468323,-0.6372723281383514,1.2073043882846832,0.669872522354126,0.24090914150423212,0.6112739889270471,0.6878636821681512,0.6937798427843813
3,1000,4,0.5,12,0.3809252679347992,0.18995565176010132,-0.6190747320652008,1.1899556517601013,0.6732056140899658,0.18456584500249082,0.6040351621395899,0.6929434343003836,0.6905171179087816
3,1000,4,0.5,13,0.3997560441493988,0.1717829704284668,-0.6002439558506012,1.1717829704284668,0.6620765924453735,0.17350661267434264,0.5991546899884418,0.6814045627676129,0.6889131425421193
