case,n,n_train,n_val,tau,requested_repetitions,completed_repetitions,q_theta1,q_se_theta1,q_studentized,q_coverage,bias_theta1,sqrt_n_bias_theta1,sqrt_n_train_bias_theta1,sd_theta1,sqrt_n_sd_theta1,sqrt_n_train_sd_theta1,mcse_bias_theta1,mcse_sqrt_n_bias_theta1,mcse_sqrt_n_train_bias_theta1,mean_se_theta1,sqrt_n_mean_se_theta1,sqrt_n_train_mean_se_theta1,mean_se_to_empirical_sd_theta1,rmse_theta1,coverage_95_theta1,mcse_coverage_95_theta1,coverage_95_wilson_lower,coverage_95_wilson_upper,t_mean,t_sd,mcse_t_mean,t_skewness,t_excess_kurtosis,root_n_error_mean,root_n_error_sd,root_n_error_skewness,root_n_error_excess_kurtosis,t_q025,normal_q025,t_q025_minus_normal,root_n_error_q025,t_q500,normal_q500,t_q500_minus_normal,root_n_error_q500,t_q975,normal_q975,t_q975_minus_normal,root_n_error_q975,mean_fit_seconds,mean_inference_seconds,mean_total_seconds,mean_epochs_run,mean_best_epoch,mean_density_zero
1,500,400.0,100.0,0.5,20,20,20,20,20,20,-0.7095849240198732,-15.866801259174599,-14.191698480397463,0.3320014962907284,7.42377914337713,6.640029925814568,0.0742377914337713,1.660007481453642,1.4847558286754259,0.16814226138084026,3.759775263380965,3.3628452276168055,0.5064503119998013,0.7798874971805918,0.05,0.04873397172404482,0.008881448800795402,0.23613119344674205,-4.115094244338005,1.2549410260084766,0.2806133441908285,0.052739980760288796,0.09344141589332455,-15.866801259174602,7.423779143377131,-0.8621116011568445,0.01844535157571947,-6.428454345033942,-1.9599639845400545,-4.468490360493888,-30.730591792586058,-4.019571579544952,0.0,-4.019571579544952,-13.976252861606609,-1.8179097977293952,1.959963984540054,-3.7778737822694493,-6.195562060370033,0.7368027950004035,0.7566507499985164,1.49345354499892,69.9,56.3,0.3753857141436471
1,1000,800.0,200.0,0.5,20,20,20,20,20,20,-0.3005787402391434,-9.505134353797974,-8.501650620144323,0.1793037455837866,5.67008229044123,5.071475775777719,0.04009353637456745,1.2678689439444297,1.1340164580882461,0.10425519764378362,3.2968388246537597,2.948782289114527,0.581444616811233,0.3476922786101338,0.3,0.10246950765959598,0.1454772448676043,0.5189728183535235,-2.912732760459165,1.7856621479846932,0.3992861947742063,-0.9732069829883571,1.3015561292774986,-9.505134353797974,5.670082290441231,-0.7249479410894012,0.37848667623362653,-6.795115412367165,-1.9599639845400545,-4.83515142782711,-20.742466717353786,-2.638560263266994,0.0,-2.638560263266994,-8.369744930071736,-0.518793342039152,1.959963984540054,-2.478757326579206,-1.631461504391102,1.2606787700002315,1.0054423800000223,2.2661211500002536,65.3,51.15,0.41401290263095963
1,2000,1600.0,400.0,0.5,20,20,20,20,20,20,-0.08785718381404879,-3.929092706398147,-3.5142873525619516,0.13413890209652882,5.99887407030055,5.3655560838611525,0.029994370351502746,1.3413890209652881,1.1997748140601099,0.07301279704788395,3.26523154852929,2.920511881915358,0.5443074000661091,0.1575197370192529,0.8,0.08944271909999157,0.5839825677481064,0.919342337420202,-1.1812021859501125,1.7652858169904433,0.3947299086506884,-1.9312324646641783,6.1312552136376155,-3.9290927063981465,5.99887407030055,-2.238821771477342,7.605367814856685,-5.127975092670328,-1.9599639845400545,-3.168011108130273,-17.22156179853214,-0.963316597530479,0.0,-0.963316597530479,-3.0216543716101145,1.1234649495649318,1.959963984540054,-0.8364990349751222,3.4074087833252227,2.1305764249995263,1.5221452949994272,3.6527217199989535,60.05,45.05,0.41311111459549055
1,4000,3200.0,800.0,0.5,20,20,20,20,20,20,-0.033080196380615226,-2.092175320168048,-1.871298494697257,0.056741471317401655,3.588645743042082,3.209782331442936,0.012687778700906463,0.8024455828607338,0.7177291486084164,0.054655482712899314,3.456716239774411,3.0917809964252183,0.9632369666124149,0.06444310848710207,0.9,0.06708203932499368,0.6989663547715128,0.9721335187862319,-0.610692351744564,1.0304713720285703,0.23042040367233585,0.27063293798264276,-0.34437406838145046,-2.092175320168048,3.588645743042082,0.30449473989621145,-0.2204277059632762,-2.2796591542038653,-1.9599639845400545,-0.31969516966381084,-7.885316504785575,-0.6540249186932493,0.0,-0.6540249186932493,-2.247434990764087,1.2634504312567283,1.959963984540054,-0.6965135532833258,4.569788627921913,3.1755209400005695,2.6308979350007577,5.806418875001327,46.45,31.45,0.38939880022565765
2,500,400.0,100.0,0.5,20,20,20,20,20,20,-0.6076782854273916,-13.588099546661674,-12.15356570854783,0.28796290486269127,6.439046302712825,5.759258097253825,0.06439046302712824,1.4398145243134564,1.2878092605425648,0.17525135977271905,3.918739536010719,3.505027195454381,0.6085900538344818,0.6693649239600816,0.2,0.0894427190999916,0.08065766257979806,0.41601743225189364,-3.576992572251691,1.8092449936852897,0.4045594793831485,-0.39863701830359066,-0.23381200252467904,-13.588099546661676,6.439046302712825,-0.1955865994424869,-0.7402200524905922,-7.019889309791292,-1.9599639845400545,-5.059925325251237,-24.13968702340617,-3.3538792981514467,0.0,-3.3538792981514467,-12.942440261188713,-0.8979154015811872,1.959963984540054,-2.8578793861212413,-3.8558956763273717,0.8001227899996592,0.7545314100010728,1.5546542000007322,73.1,59.65,0.355323904021536
2,1000,800.0,200.0,0.5,20,20,20,20,20,20,-0.24884627461433412,-7.869210150290344,-7.038435530112219,0.13058675255521499,4.129515703192924,3.693551130596889,0.029200085567440505,0.9233877826492222,0.8259031406385847,0.10079452672943356,3.1874028014373232,2.850899734274848,0.7718587433806917,0.2795080022740023,0.4,0.10954451150103323,0.21880653237281705,0.6134184992377469,-2.470376516750485,1.2914249973872343,0.2887714082000344,0.17360364810117992,-0.7886296946783005,-7.869210150290344,4.129515703192924,0.13709135200512357,-0.6573782897994422,-4.551120026246344,-1.9599639845400545,-2.5911560417062893,-14.460489328569041,-2.6343251553078604,0.0,-2.6343251553078604,-8.623906638229343,-0.2732786727894608,1.959963984540054,-2.233242657329515,-0.871360544855029,1.6252640250004333,1.0057144100017468,2.63097843500218,85.9,70.9,0.42964717189024776
2,2000,1600.0,400.0,0.5,20,20,20,20,20,20,-0.11143896579742432,-4.983702057306297,-4.457558631896973,0.07044317039380606,3.15031435102302,2.817726815752242,0.015751571755115098,0.7044317039380606,0.6300628702046039,0.0754689985631308,3.3750762196198885,3.0187599425252323,1.0713458542712986,0.13089221268041032,0.6,0.10954451150103323,0.3865815007622531,0.781193467627183,-1.4886705311264452,0.9456078523940081,0.21144434380105892,0.017482637308636015,-0.09371245958808094,-4.983702057306298,3.1503143510230194,0.10468145665586695,-0.2877936202937694,-3.0535204469754897,-1.9599639845400545,-1.0935564624354353,-10.159877082116433,-1.4008515969230138,0.0,-1.4008515969230138,-4.889672724295263,0.20037883357010783,1.959963984540054,-1.7595851509699463,0.7010679245747438,2.4910861399999704,1.4704082549989834,3.9614943949989536,74.4,59.4,0.39816634657543426
2,4000,3200.0,800.0,0.5,20,20,20,20,20,20,-0.027115589380264295,-1.7149404507901744,-1.5338893701323855,0.06898282000722401,4.362856612885216,3.9022575849983316,0.015425027481578542,0.9755643962495828,0.8725713225770433,0.05530034411126254,3.4975008556533904,3.1282598658418643,0.8016538625917494,0.07249795287303439,0.85,0.07984359711335656,0.6395811352592431,0.9476312541037835,-0.4904386651767477,1.2397092142748265,0.27720740754513645,0.4637245400787822,0.4336688688801953,-1.7149404507901747,4.362856612885216,0.4613770729096139,0.625140311577538,-2.4916971471121574,-1.9599639845400545,-0.5317331625721029,-8.872287844348827,-0.5406423352289852,0.0,-0.5406423352289852,-2.004082037314194,1.958976566670454,1.959963984540054,-0.0009874178696001046,6.873119836923629,3.369732245000705,2.486655805002738,5.856388050003443,53.85,38.85,0.38372217772599126
3,500,400.0,100.0,0.5,20,20,20,20,20,20,-0.7089722817763686,-15.853102162150957,-14.179445635527372,0.3235495850777515,7.2347886632570395,6.47099170155503,0.07234788663257039,1.6177479253887574,1.4469577326514078,0.1712937508897285,3.8302447111034805,3.4258750177945703,0.5294204004266155,0.7759457543095242,0.2,0.0894427190999916,0.08065766257979806,0.41601743225189364,-4.235299864207259,1.9302501603199063,0.43161705720551774,-0.10977134913531847,-0.4011986971913717,-15.853102162150952,7.2347886632570395,0.030422797910728733,-0.5535934212051767,-7.476470567634148,-1.9599639845400545,-5.516506583094094,-28.430537002046382,-4.24478473446582,0.0,-4.24478473446582,-16.421950212796443,-1.1723472537237067,1.959963984540054,-3.132311238263761,-4.468999809077363,0.5357067499997357,0.7572812350023014,1.292987985002037,53.5,39.5,0.3767984415555135
3,1000,800.0,200.0,0.5,20,20,20,20,20,20,-0.24285813570022582,-7.679848571149648,-6.869065384798098,0.18249159627751863,5.770890980768641,5.161641809495645,0.04080636145989792,1.290410452373911,1.154178196153728,0.09651019997947059,3.0519204937346265,2.7297206743661384,0.5288473658409213,0.30102840007565784,0.3,0.10246950765959598,0.1454772448676043,0.5189728183535235,-2.433879401090702,1.9068127939331667,0.4263763027600859,0.3691084602775759,2.406128308011043,-7.67984857114965,5.77089098076864,-0.2718834685028784,2.326356249383826,-5.619597252030858,-1.9599639845400545,-3.6596332674908036,-18.934867535924468,-2.3978166711572078,0.0,-2.3978166711572078,-8.110545921895577,1.1520256223963727,1.959963984540054,-0.8079383621436813,2.3050809285928113,1.1097370699993916,0.9334131499996147,2.0431502199990064,65.5,51.5,0.4526841485300042
