case,rep,n,tau,theta1_at_100,theta1_at_final,theta1_change,absolute_error_change_theta1,theta2_at_100,theta2_at_final,theta2_change,absolute_error_change_theta2,relative_mse_change,test_check_loss_change
1,1,1000,0.5,0.8191632628440857,0.8570505380630493,0.03788727521896362,-0.03788727521896362,-0.5648370981216431,-0.8208590745925903,-0.25602197647094727,-0.25602197647094727,0.07267897079155267,0.2169335533052913
1,2,1000,0.5,0.9846138954162598,0.972419798374176,-0.01219409704208374,0.01219409704208374,-0.8043750524520874,-1.1117959022521973,-0.30742084980010986,-0.08382904529571533,0.040013291238561524,0.13677882046515955
1,3,1000,0.5,0.8326082229614258,0.9968835711479187,0.16427534818649292,-0.16427534818649292,-0.7383798956871033,-1.1161795854568481,-0.3777996897697449,-0.14544051885604858,0.05390726485919005,0.11595831490923003
1,4,1000,0.5,1.0908273458480835,1.1252834796905518,0.03445613384246826,0.03445613384246826,-0.7310335040092468,-0.9933919906616211,-0.26235848665237427,-0.26235848665237427,0.05172734614460421,0.18199376113044685
1,5,1000,0.5,0.9623178243637085,1.0443706512451172,0.08205282688140869,0.006688475608825684,-0.6865646839141846,-0.9095834493637085,-0.22301876544952393,-0.22301876544952393,0.10383530836581834,0.2966573903004479
1,6,1000,0.5,1.0348724126815796,1.151100993156433,0.11622858047485352,0.11622858047485352,-0.5375463962554932,-0.8116759657859802,-0.27412956953048706,-0.27412956953048706,0.05486100126685929,0.21321092392952212
1,7,1000,0.5,0.9645477533340454,0.9943202137947083,0.029772460460662842,-0.029772460460662842,-0.8656395673751831,-1.131849765777588,-0.2662101984024048,-0.002510666847229004,0.06668775641961774,0.17748866155470722
1,8,1000,0.5,0.8722997307777405,0.8798714876174927,0.007571756839752197,-0.007571756839752197,-0.5419257879257202,-0.8628724813461304,-0.32094669342041016,-0.32094669342041016,0.049588977578277425,0.18104828241326187
1,9,1000,0.5,0.9828027486801147,1.0631390810012817,0.08033633232116699,0.045941829681396484,-1.0207382440567017,-1.1840392351150513,-0.1633009910583496,0.1633009910583496,0.09920043511411598,0.24193929504071998
1,10,1000,0.5,0.9788122773170471,1.0310980081558228,0.052285730838775635,0.009910285472869873,-0.6902315020561218,-0.9209744334220886,-0.2307429313659668,-0.2307429313659668,0.035440691592968886,0.14622281248120927
2,1,1000,0.5,0.8294801712036133,0.9642332196235657,0.1347530484199524,-0.1347530484199524,-0.6793244481086731,-0.8501042127609253,-0.1707797646522522,-0.1707797646522522,0.04595668249901762,0.1772834450903099
2,2,1000,0.5,0.8390470743179321,1.020078420639038,0.18103134632110596,-0.14087450504302979,-0.7330589294433594,-0.9440369009971619,-0.2109779715538025,-0.2109779715538025,0.03921476384715777,0.12070327734185549
2,3,1000,0.5,1.0346814393997192,0.9586312770843506,-0.07605016231536865,0.006687283515930176,-0.8853010535240173,-1.0745779275894165,-0.18927687406539917,-0.04012101888656616,0.03353300717105988,0.14259673236309378
2,4,1000,0.5,0.9595683813095093,1.0144742727279663,0.05490589141845703,-0.025957345962524414,-0.4776957035064697,-0.6133868098258972,-0.1356911063194275,-0.1356911063194275,0.03862774356419811,0.20786100736077973
2,5,1000,0.5,0.7551579475402832,0.8585702180862427,0.10341227054595947,-0.10341227054595947,-0.9621784687042236,-1.1805250644683838,-0.21834659576416016,0.14270353317260742,0.059943399187726454,0.18270637430098557
2,6,1000,0.5,0.8118375539779663,0.9100170731544495,0.09817951917648315,-0.09817951917648315,-0.6710893511772156,-0.8363825082778931,-0.1652931571006775,-0.1652931571006775,0.04766159839287615,0.17411710112329148
2,7,1000,0.5,0.8638494610786438,0.8886959552764893,0.02484649419784546,-0.02484649419784546,-0.7502788305282593,-1.1630369424819946,-0.41275811195373535,-0.0866842269897461,0.06732756362926431,0.19588521771312517
2,8,1000,0.5,0.9650022983551025,1.0679353475570679,0.10293304920196533,0.03293764591217041,-0.5325085520744324,-0.5519638657569885,-0.019455313682556152,-0.019455313682556152,0.048655192672400135,0.22202549727227372
2,9,1000,0.5,0.7531431913375854,0.9346345663070679,0.18149137496948242,-0.18149137496948242,-0.9881280064582825,-1.0482131242752075,-0.06008511781692505,0.03634113073348999,0.021071098767092795,0.09422672481009486
2,10,1000,0.5,1.0435758829116821,1.0256551504135132,-0.017920732498168945,-0.017920732498168945,-0.6516550779342651,-1.1172254085540771,-0.465570330619812,-0.23111951351165771,0.02902887494547838,0.15737212781631615
3,1,1000,0.5,0.9263400435447693,0.9593799114227295,0.033039867877960205,-0.033039867877960205,-0.7236353158950806,-1.0736221075057983,-0.3499867916107178,-0.2027425765991211,0.251329582887076,0.16884070682020424
3,2,1000,0.5,1.1793900728225708,1.3796334266662598,0.20024335384368896,0.20024335384368896,-0.7938838005065918,-0.9001262784004211,-0.10624247789382935,-0.10624247789382935,0.22510945193397142,0.15350957732311044
3,3,1000,0.5,1.0531365871429443,0.9366318583488464,-0.1165047287940979,0.010231554508209229,-0.9920603632926941,-1.156855583190918,-0.16479521989822388,0.14891594648361206,0.267536744385886,0.15525484225889485
3,4,1000,0.5,0.9883264899253845,1.308314323425293,0.31998783349990845,0.2966408133506775,-0.619633674621582,-0.7982770204544067,-0.1786433458328247,-0.1786433458328247,0.25563868170409254,0.1511142803360489
3,5,1000,0.5,0.6935209035873413,1.034177541732788,0.3406566381454468,-0.2723015546798706,-0.6455301642417908,-1.1000806093215942,-0.45455044507980347,-0.254389226436615,0.25592677927327356,0.19512441854495732
3,6,1000,0.5,0.7597150802612305,0.8526365160942078,0.0929214358329773,-0.0929214358329773,-0.6791305541992188,-0.9645869135856628,-0.2854563593864441,-0.2854563593864441,0.279206601006047,0.19674835602328122
3,7,1000,0.5,0.7305920124053955,0.6392339468002319,-0.09135806560516357,0.09135806560516357,-0.8072894811630249,-1.1093451976776123,-0.3020557165145874,-0.08336532115936279,0.39654689270106913,0.22108336665453843
3,8,1000,0.5,0.9467220306396484,1.0921305418014526,0.1454085111618042,0.038852572441101074,-0.6912001967430115,-0.8557676672935486,-0.1645674705505371,-0.1645674705505371,0.22515708168260123,0.18090250627640236
3,9,1000,0.5,0.8820173144340515,0.8412202000617981,-0.04079711437225342,0.04079711437225342,-0.7589914798736572,-0.8365620970726013,-0.07757061719894409,-0.07757061719894409,0.2746684605747951,0.203449443527827
3,10,1000,0.5,0.9962889552116394,1.1271735429763794,0.13088458776474,0.1234624981880188,-0.9731804132461548,-1.137797236442566,-0.16461682319641113,0.1109776496887207,0.40965843916031464,0.2636953424765115
