case,n,tau,epoch_budget,rule,repetitions,mean_selected_epoch,mean_relative_mse,mean_train_check_loss,mean_validation_check_loss,mean_test_check_loss,mean_theta1,bias_theta1,sd_theta1,mae_theta1,mse_theta1,mean_theta2,bias_theta2,sd_theta2,mae_theta2,mse_theta2,mcse_bias_theta1,mcse_bias_theta2
1,1000,0.5,10,patience15,10,9.6,0.04944551643071571,0.6275309507373465,0.6085407003636697,0.643688392237492,0.38894998133182523,-0.6110500186681748,0.27457030651159364,0.6110500186681748,0.4412320932104601,0.1000402070581913,1.1000402070581914,0.4267785807526823,1.1000402070581914,1.374014418434975,0.0868267546427197,0.1349592371752574
1,1000,0.5,10,terminal,10,10.0,0.04522482468312222,0.6250700353060993,0.6115153917169469,0.6444416816865395,0.3926874727010727,-0.6073125272989273,0.27869057070372455,0.6073125272989273,0.4387300965934612,0.09883858412504196,1.0988385841250419,0.42554148481560516,1.0988385841250419,1.3704232337310898,0.08812969658359643,0.13456803309072699
1,1000,0.5,10,validation_best,10,9.6,0.04944551643071571,0.6275309507373465,0.6085407003636697,0.643688392237492,0.38894998133182523,-0.6110500186681748,0.27457030651159364,0.6110500186681748,0.4412320932104601,0.1000402070581913,1.1000402070581914,0.4267785807526823,1.1000402070581914,1.374014418434975,0.0868267546427197,0.1349592371752574
1,1000,0.5,25,patience15,10,21.1,0.039737236380509224,0.5905528367179071,0.5816630551627753,0.6180619237296674,0.514018765091896,-0.48598123490810397,0.21115120955573102,0.48598123490810397,0.2763041106499691,-0.026219267398118973,0.973780732601881,0.3486800973593136,0.973780732601881,1.0576689444517064,0.06677187528956202,0.11026232824246929
1,1000,0.5,25,terminal,10,25.0,0.03645993677211865,0.5829185583941185,0.5858461342241157,0.6171487377423892,0.5475484877824783,-0.45245151221752167,0.22732260889280914,0.45245151221752167,0.25122038257037194,-0.05557061769068241,0.9444293823093176,0.3652498607784924,0.9444293823093176,1.0120135728879962,0.07188572077529241,0.11550214751194372
1,1000,0.5,25,validation_best,10,21.1,0.039737236380509224,0.5905528367179071,0.5816630551627753,0.6180619237296674,0.514018765091896,-0.48598123490810397,0.21115120955573102,0.48598123490810397,0.2763041106499691,-0.026219267398118973,0.973780732601881,0.3486800973593136,0.973780732601881,1.0576689444517064,0.06677187528956202,0.11026232824246929
1,1000,0.5,50,patience15,10,36.5,0.02676000086865472,0.5600187360979181,0.5681570318921925,0.6034080534931194,0.6691509574651718,-0.33084904253482816,0.17267914854120006,0.33084904253482816,0.136297368453035,-0.24510337614919991,0.7548966238508001,0.2199248927198724,0.7548966238508001,0.6133991752953991,0.054605941380873414,0.069546357516298
1,1000,0.5,50,terminal,10,50.0,0.025233083453158767,0.546989840091023,0.5768112520363579,0.6054118722429039,0.7795318394899369,-0.22046816051006318,0.15650377071230198,0.22046816051006318,0.0706502970211429,-0.36568111553788185,0.6343188844621181,0.2526703813342442,0.6343188844621181,0.4598185366284991,0.04949083778556268,0.07990139022795058
1,1000,0.5,50,validation_best,10,43.6,0.02609777552953354,0.550870009835631,0.5655267352146423,0.5985159929907857,0.7215430080890656,-0.2784569919109344,0.17318029168073037,0.2784569919109344,0.10453056842804678,-0.2884753634920344,0.7115246365079656,0.2870917704506567,0.7115246365079656,0.580446824552236,0.05476441675634175,0.09078638921143001
1,1000,0.5,100,patience15,10,39.9,0.026454103396936705,0.5556643075293997,0.5664936714376683,0.6010189965352677,0.6951381236314773,-0.30486187636852263,0.168535363790597,0.30486187636852263,0.11850451562616238,-0.29139574533328416,0.7086042546667158,0.2218543922240897,0.7086042546667158,0.5464174239459801,0.05329556158633556,0.07015651883404722
