case,rep,split,verified_against_first_pass,max_abs_difference,array_sha256
2,7,test,False,,02c5dbeb7ec5088b44bcf2f6c220e9f0858c0175b01c65a33bb5eb6a8596f29e
2,7,all_train_validation_test_arrays,False,,2259ffdaac5899cbfe93de7f47b3790cecb36ece0f6aefcecfd54294e097f96a
2,8,train,False,,56ceefcf933eccf32f5ef5aa17f24c0d7311be01be1bbcda5b1341af82b65f67
2,8,test,False,,b37532bc4bb544dd774330a5e18b6acd81356137a9ffa8960a4c3d495bac734a
2,8,all_train_validation_test_arrays,False,,631cd76e59ce43957daf2ebef824753ca499bba56fba2210b42300d1a9a97669
2,9,train,False,,771452a0a1d7ea3a49c77a6bce1225741d8df8481b0fead16cf5fb9dcbf2069e
2,9,test,False,,51e9213fa6d9cb13fee0341f71142915e8a28113274ab89c442375147f1d7c2e
2,9,all_train_validation_test_arrays,False,,d36aab3f4adcb976543d7ed2fa7d7eafd0c76808bde1a5c380b7ee131811717e
2,10,train,False,,87b1f3037f22919e58a4b7e7feaeb133c90557cb97e79c2696d3fce32ab7f6ca
2,10,test,False,,eb6a0b99cda79e91d6c9f3d5ce9570e330372f2636944778b8cc1ff517816b62
2,10,all_train_validation_test_arrays,False,,2eb842e0941989099dbffcca156d71bb420ecc23d2ebf1388ab68b98d165e25e
3,1,train,True,0.0,f562d677dbd746d44ff2b4cbf266c1fd8ad3f9f1057966a568ca93e800fb54fc
3,1,test,True,0.0,76147beacc076b9a1028c921a299222d2369a19ab23b7127f0bbb3c7ebf213af
3,1,all_train_validation_test_arrays,False,,4b95248f84759d86f6a8808d9f62576b048e5cb3422e0d3d9880761f290c15f8
3,2,train,True,0.0,1defc746c9af5661737cbc0d80331ed3e15be0e2d6f47eb7c242d4758597f2ea
3,2,test,True,0.0,ed5b7c375b5eb95adcf47626a5cccfb29bcdab6dcbc091a1a235a0bb5738d41c
3,2,all_train_validation_test_arrays,False,,1a6bca6b7b2c2d634be3291c502c20903c2eb7a1d4b9c0fb465430fb3557b909
3,3,train,False,,e98dadbdee57331d358f930668714c731b3eb022d99d7e22f76c3d72ddbc32a1
3,3,test,False,,717173aa7ed0b73f29bd2eededebdb88535a36be194f1e2c145d8ab5bbe1d620
3,3,all_train_validation_test_arrays,False,,6fc98c63c26beecf3deb8fc9e22cca47f2b2f8e80f292918874e1a88262187f9
3,4,train,False,,e149c3123c96fa2c4d6f54db96995a2d0354f6c16136b564efd84ac2f3f346f4
3,4,test,False,,48d48f8c7ad65d45deb8187a7011d280ae5ea4ae17f0c441e49ad468a84c08a7
3,4,all_train_validation_test_arrays,False,,04272d3b2fcf7170bf0d05612da3ea510ab884c229ff013aca350b4c401098ad
3,5,train,False,,2c4949fb0070d64398c3b0f8f02db43205df22415719d8c4ff5b9c2753445d08
3,5,test,False,,6cf6151a93def4625271d4946886a3ed9fad9d508a7bd68180bd64da464cd3a0
3,5,all_train_validation_test_arrays,False,,ff03b6c206f7a1c388ab265ed61603d17f6bfdc4972da2142ee8c71934fb0539
3,6,train,False,,593e5731c354636e9a5aa9dabcf9072d7b4124f8b5b8f41f1ab239c26a8303fa
3,6,test,False,,b14d0ab63b6af570e233dd2e4d2d24037bfb1bd39fbe9de8ef9c190d14998b4f
3,6,all_train_validation_test_arrays,False,,e1b16916e710bee6badea1529dc82e205792c02a5eafcaecf4dae64b8ce13d94
3,7,train,False,,e67a90655a9715450b8822193c32376be4e983c4a3958c4fddef63c887d6c2a9
3,7,test,False,,a6954efbf83a65f96eb919375a722f0b74ce94b75c08d768885e04e1350eaf28
