case,repetitions,mean_absolute_error_change_theta1,mcse_absolute_error_change_theta1,farther_from_truth_theta1,mean_absolute_error_change_theta2,mcse_absolute_error_change_theta2,farther_from_truth_theta2,test_loss_worse,nuisance_mse_worse
1,10,-0.0014087438583374023,0.02271669141991521,6,-0.16356976628303527,0.04747113568043978,1,10,10
2,10,-0.06878103613853455,0.022781578522000023,2,-0.08810774087905884,0.0374737186232066,2,10,10
3,10,0.040332311391830446,0.04972907471864884,7,-0.10930837988853455,0.0454071557776734,2,10,10
