epoch_cap,ACL_mean,ACL_sd,CI_area_mean,CI_area_sd,ACL_change_vs_500_pct,main_epochs_mean,main_epochs_max,projection_epochs_mean,projection_epochs_max,main_stopped_before_cap_pct,projection_stopped_before_cap_pct
50,0.07616936105238968,0.0004986172755677651,0.3844215284031535,0.025081357390934127,14.01569001621011,49.523809523809526,50,45.36054421768707,50,4.081632653061225,55.78231292517007
100,0.06807558118363415,0.0005940118198452261,0.37868963259406446,0.0534871250302157,1.896192885631831,88.53061224489795,100,51.6530612244898,100,46.25850340136054,97.95918367346938
250,0.06680826816859754,0.0004504746779363794,0.3708507561723769,0.055797559266150897,0.0,102.74829931972789,220,51.77551020408163,113,100.0,100.0
500,0.06680826816859754,0.0004504746779363794,0.3708507561723769,0.055797559266150897,0.0,102.74829931972789,220,51.77551020408163,113,100.0,100.0
1000,0.06680826816859754,0.0004504746779363794,0.3708507561723769,0.055797559266150897,0.0,102.74829931972789,220,51.77551020408163,113,100.0,100.0
