seed,epoch_cap,ACL,CI_area,main_epochs_mean,main_epochs_max,projection_epochs_mean,projection_epochs_max,main_stopped_before_cap_pct,projection_stopped_before_cap_pct,ACL_change_vs_500_pct
11,50,0.07591381272320609,0.35906140787460855,49.46938775510204,50,45.97959183673469,50,2.0408163265306123,51.02040816326531,14.37873831763321
11,100,0.06741688631877159,0.3846648671931447,88.85714285714286,100,52.93877551020408,100,44.89795918367347,95.91836734693877,1.576486831983459
11,250,0.06637056313070279,0.3776056780922638,102.0204081632653,165,53.224489795918366,113,100.0,100.0,0.0
11,500,0.06637056313070279,0.3776056780922638,102.0204081632653,165,53.224489795918366,113,100.0,100.0,0.0
11,1000,0.06637056313070279,0.3776056780922638,102.0204081632653,165,53.224489795918366,113,100.0,100.0,0.0
22,50,0.07674394667171738,0.3849886739209654,49.42857142857143,50,44.57142857142857,50,4.081632653061225,59.183673469387756,14.914133466697699
22,100,0.06823927582143581,0.32246579667775566,90.38775510204081,100,49.95918367346939,100,42.857142857142854,97.95918367346938,2.179488930365059
22,250,0.06678373178000589,0.3119832430188033,105.10204081632654,163,50.04081632653061,104,100.0,100.0,0.0
22,500,0.06678373178000589,0.3119832430188033,105.10204081632654,163,50.04081632653061,104,100.0,100.0,0.0
22,1000,0.06678373178000589,0.3119832430188033,105.10204081632654,163,50.04081632653061,104,100.0,100.0,0.0
33,50,0.07585032376224554,0.4092145034138865,49.673469387755105,50,45.53061224489796,50,6.122448979591836,57.14285714285714,12.754198264299422
33,100,0.06857058141069505,0.4289382339112931,86.34693877551021,100,52.06122448979592,94,51.02040816326531,100.0,1.9326028945469753
33,250,0.06727050959508396,0.42296334740606356,101.12244897959184,220,52.06122448979592,94,100.0,100.0,0.0
33,500,0.06727050959508396,0.42296334740606356,101.12244897959184,220,52.06122448979592,94,100.0,100.0,0.0
33,1000,0.06727050959508396,0.42296334740606356,101.12244897959184,220,52.06122448979592,94,100.0,100.0,0.0
