seed,tau,epoch_cap,estCoef,se,lowerCI,upperCI,CL,residual_density_zero,projection_residual_variance,CI_width,main_epochs_run,main_best_epoch,main_best_val_loss,main_early_stop_triggered,main_stopped_before_cap,projection_epochs_run,projection_best_epoch,projection_best_val_loss,projection_early_stop_triggered,projection_stopped_before_cap
11,0.02,50,-1.3184709548950195,0.7376676877600613,-2.7642996229047396,0.12735771311470057,0.03213598904100436,0.05451394260381607,0.01470930501818657,2.89165733601944,24,14,0.028727417811751366,True,True,50,43,0.015984440222382545,False,False
11,0.02,100,-1.3184709548950195,0.7376676877600613,-2.7642996229047396,0.12735771311470057,0.03213598904100436,0.05451394260381607,0.01470930501818657,2.89165733601944,24,14,0.028727417811751366,True,True,53,43,0.015984440222382545,True,True
11,0.02,250,-1.3184709548950195,0.7376676877600613,-2.7642996229047396,0.12735771311470057,0.03213598904100436,0.05451394260381607,0.01470930501818657,2.89165733601944,24,14,0.028727417811751366,True,True,53,43,0.015984440222382545,True,True
11,0.02,500,-1.3184709548950195,0.7376676877600613,-2.7642996229047396,0.12735771311470057,0.03213598904100436,0.05451394260381607,0.01470930501818657,2.89165733601944,24,14,0.028727417811751366,True,True,53,43,0.015984440222382545,True,True
11,0.02,1000,-1.3184709548950195,0.7376676877600613,-2.7642996229047396,0.12735771311470057,0.03213598904100436,0.05451394260381607,0.01470930501818657,2.89165733601944,24,14,0.028727417811751366,True,True,53,43,0.015984440222382545,True,True
11,0.04,50,-1.4195750951766968,0.13030268452950963,-1.6749683568545357,-1.1641818334988578,0.03430760365088009,0.504244292847904,0.010794817470014095,0.5107865233556779,50,50,0.039931077510118484,False,False,50,47,0.01594279520213604,False,False
11,0.04,100,-1.4010882377624512,1.0794150380141592,-3.516741712270203,0.7145652367453006,0.029943257419808394,0.07705068005921369,0.006737117655575275,4.2313069490155035,89,79,0.03424051031470299,True,True,73,63,0.014503484591841698,True,True
11,0.04,250,-1.4010882377624512,1.0794150380141592,-3.516741712270203,0.7145652367453006,0.029943257419808394,0.07705068005921369,0.006737117655575275,4.2313069490155035,89,79,0.03424051031470299,True,True,73,63,0.014503484591841698,True,True
11,0.04,500,-1.4010882377624512,1.0794150380141592,-3.516741712270203,0.7145652367453006,0.029943257419808394,0.07705068005921369,0.006737117655575275,4.2313069490155035,89,79,0.03424051031470299,True,True,73,63,0.014503484591841698,True,True
11,0.04,1000,-1.4010882377624512,1.0794150380141592,-3.516741712270203,0.7145652367453006,0.029943257419808394,0.07705068005921369,0.006737117655575275,4.2313069490155035,89,79,0.03424051031470299,True,True,73,63,0.014503484591841698,True,True
11,0.06,50,-1.481981873512268,0.2756562709672994,-2.0222681646081746,-0.9416955824163613,0.041437644692300594,0.2719400824251541,0.012180628255009651,1.0805725821918133,50,48,0.04515506699681282,False,False,50,45,0.017240503802895546,False,False
11,0.06,100,-1.479094386100769,0.2670855276116151,-2.002582020219535,-0.9556067519820035,0.03989699288479332,0.28066660787725156,0.012180628255009651,1.0469752682375313,63,53,0.04405079409480095,True,True,55,45,0.017240503802895546,True,True
11,0.06,250,-1.479094386100769,0.2670855276116151,-2.002582020219535,-0.9556067519820035,0.03989699288479332,0.28066660787725156,0.012180628255009651,1.0469752682375313,63,53,0.04405079409480095,True,True,55,45,0.017240503802895546,True,True
11,0.06,500,-1.479094386100769,0.2670855276116151,-2.002582020219535,-0.9556067519820035,0.03989699288479332,0.28066660787725156,0.012180628255009651,1.0469752682375313,63,53,0.04405079409480095,True,True,55,45,0.017240503802895546,True,True
11,0.06,1000,-1.479094386100769,0.2670855276116151,-2.002582020219535,-0.9556067519820035,0.03989699288479332,0.28066660787725156,0.012180628255009651,1.0469752682375313,63,53,0.04405079409480095,True,True,55,45,0.017240503802895546,True,True
11,0.08,50,-1.4176247119903564,0.08481557071461374,-1.5838632305909994,-1.2513861933897135,0.043512205753511606,0.857856187506526,0.01687215082347393,0.33247703720128596,50,47,0.05034235119819641,False,False,43,33,0.01772231049835682,True,True
11,0.08,100,-1.4176247119903564,0.08481557071461374,-1.5838632305909994,-1.2513861933897135,0.043512205753511606,0.857856187506526,0.01687215082347393,0.33247703720128596,57,47,0.05034235119819641,True,True,43,33,0.01772231049835682,True,True
11,0.08,250,-1.4176247119903564,0.08481557071461374,-1.5838632305909994,-1.2513861933897135,0.043512205753511606,0.857856187506526,0.01687215082347393,0.33247703720128596,57,47,0.05034235119819641,True,True,43,33,0.01772231049835682,True,True
11,0.08,500,-1.4176247119903564,0.08481557071461374,-1.5838632305909994,-1.2513861933897135,0.043512205753511606,0.857856187506526,0.01687215082347393,0.33247703720128596,57,47,0.05034235119819641,True,True,43,33,0.01772231049835682,True,True
11,0.08,1000,-1.4176247119903564,0.08481557071461374,-1.5838632305909994,-1.2513861933897135,0.043512205753511606,0.857856187506526,0.01687215082347393,0.33247703720128596,57,47,0.05034235119819641,True,True,43,33,0.01772231049835682,True,True
11,0.1,50,-1.3707118034362793,0.12394183891591398,-1.6136378077114708,-1.1277857991610878,0.047700731094601094,0.7066203144426919,0.014239908196032047,0.485852008550383,50,49,0.05827208235859871,False,False,50,43,0.016595840454101562,False,False
11,0.1,100,-1.3639276027679443,0.08130437931710248,-1.5232841862294653,-1.2045710193064234,0.04543023774924788,1.0771845492576815,0.014239908196032047,0.31871316692304186,83,73,0.053308747708797455,True,True,53,43,0.016595840454101562,True,True
11,0.1,250,-1.3639276027679443,0.08130437931710248,-1.5232841862294653,-1.2045710193064234,0.04543023774924788,1.0771845492576815,0.014239908196032047,0.31871316692304186,83,73,0.053308747708797455,True,True,53,43,0.016595840454101562,True,True
11,0.1,500,-1.3639276027679443,0.08130437931710248,-1.5232841862294653,-1.2045710193064234,0.04543023774924788,1.0771845492576815,0.014239908196032047,0.31871316692304186,83,73,0.053308747708797455,True,True,53,43,0.016595840454101562,True,True
11,0.1,1000,-1.3639276027679443,0.08130437931710248,-1.5232841862294653,-1.2045710193064234,0.04543023774924788,1.0771845492576815,0.014239908196032047,0.31871316692304186,83,73,0.053308747708797455,True,True,53,43,0.016595840454101562,True,True
11,0.12,50,-1.3368823528289795,0.09546071917926963,-1.5239853624203479,-1.149779343237611,0.05584427433106505,0.9460780868730123,0.015712067484855652,0.37420601918273677,50,50,0.06050632521510124,False,False,43,33,0.017137598246335983,True,True
11,0.12,100,-1.3342088460922241,0.06251643736005992,-1.4567410633179416,-1.2116766288665066,0.056854391005432714,1.444632777976309,0.015712067484855652,0.245064434451435,72,62,0.05482276901602745,True,True,43,33,0.017137598246335983,True,True
11,0.12,250,-1.3342088460922241,0.06251643736005992,-1.4567410633179416,-1.2116766288665066,0.056854391005432714,1.444632777976309,0.015712067484855652,0.245064434451435,72,62,0.05482276901602745,True,True,43,33,0.017137598246335983,True,True
11,0.12,500,-1.3342088460922241,0.06251643736005992,-1.4567410633179416,-1.2116766288665066,0.056854391005432714,1.444632777976309,0.015712067484855652,0.245064434451435,72,62,0.05482276901602745,True,True,43,33,0.017137598246335983,True,True
11,0.12,1000,-1.3342088460922241,0.06251643736005992,-1.4567410633179416,-1.2116766288665066,0.056854391005432714,1.444632777976309,0.015712067484855652,0.245064434451435,72,62,0.05482276901602745,True,True,43,33,0.017137598246335983,True,True
11,0.14,50,-1.2869645357131958,0.10677260353234098,-1.4962388386365841,-1.0776902327898075,0.06424813867772668,1.0924985934563707,0.010738356970250607,0.41854860584677667,50,44,0.0709787979722023,False,False,50,49,0.014386228285729885,False,False
11,0.14,100,-1.28317391872406,0.13323212525419073,-1.5443088842222739,-1.0220389532258463,0.06004966853891761,1.3061522928253044,0.004824960138648748,0.5222699309964276,96,86,0.06089385971426964,True,True,87,77,0.01153457909822464,True,True
11,0.14,250,-1.28317391872406,0.13323212525419073,-1.5443088842222739,-1.0220389532258463,0.06004966853891761,1.3061522928253044,0.004824960138648748,0.5222699309964276,96,86,0.06089385971426964,True,True,87,77,0.01153457909822464,True,True
11,0.14,500,-1.28317391872406,0.13323212525419073,-1.5443088842222739,-1.0220389532258463,0.06004966853891761,1.3061522928253044,0.004824960138648748,0.5222699309964276,96,86,0.06089385971426964,True,True,87,77,0.01153457909822464,True,True
11,0.14,1000,-1.28317391872406,0.13323212525419073,-1.5443088842222739,-1.0220389532258463,0.06004966853891761,1.3061522928253044,0.004824960138648748,0.5222699309964276,96,86,0.06089385971426964,True,True,87,77,0.01153457909822464,True,True
11,0.16,50,-1.289473056793213,0.06461066237387515,-1.4161099550460081,-1.1628361585404177,0.06837436294092716,1.4797259760585986,0.017844364047050476,0.25327379650559045,50,50,0.07659897208213806,False,False,41,31,0.01652229204773903,True,True
11,0.16,100,-1.2887732982635498,0.05699558749711382,-1.4004846497578929,-1.1770619467692067,0.061513821476871525,1.6774294229323687,0.017844364047050476,0.22342270298868616,100,97,0.05970661714673042,False,False,41,31,0.01652229204773903,True,True
11,0.16,250,-1.2887732982635498,0.05699558749711382,-1.4004846497578929,-1.1770619467692067,0.061513821476871525,1.6774294229323687,0.017844364047050476,0.22342270298868616,107,97,0.05970661714673042,True,True,41,31,0.01652229204773903,True,True
11,0.16,500,-1.2887732982635498,0.05699558749711382,-1.4004846497578929,-1.1770619467692067,0.061513821476871525,1.6774294229323687,0.017844364047050476,0.22342270298868616,107,97,0.05970661714673042,True,True,41,31,0.01652229204773903,True,True
11,0.16,1000,-1.2887732982635498,0.05699558749711382,-1.4004846497578929,-1.1770619467692067,0.061513821476871525,1.6774294229323687,0.017844364047050476,0.22342270298868616,107,97,0.05970661714673042,True,True,41,31,0.01652229204773903,True,True
11,0.18,50,-1.3047270774841309,0.08046753223171105,-1.4624434406582845,-1.1470107143099773,0.06998018337684928,1.3016310267774631,0.016328338533639908,0.3154327263483072,50,50,0.07974005490541458,False,False,45,35,0.01606590859591961,True,True
