seed,tau,stage,epoch,train_loss,val_loss
11,0.02,main,1,0.08848176275690396,0.0857006311416626
11,0.02,main,2,0.08687248453497887,0.0838823989033699
11,0.02,main,3,0.08469836041331291,0.0807071253657341
11,0.02,main,4,0.07962897792458534,0.07181823253631592
11,0.02,main,5,0.06407345210512479,0.046201009303331375
11,0.02,main,6,0.04692216031253338,0.04186487942934036
11,0.02,main,7,0.04153623121480147,0.034451331943273544
11,0.02,main,8,0.04028762442370256,0.03456207737326622
11,0.02,main,9,0.03702820464968681,0.03247123956680298
11,0.02,main,10,0.03430181586494049,0.030382702127099037
11,0.02,main,11,0.03190586374451717,0.030203374102711678
11,0.02,main,12,0.031591529957950115,0.02902832254767418
11,0.02,main,13,0.03240698762238026,0.029168521985411644
11,0.02,main,14,0.0313043479497234,0.028727417811751366
11,0.02,main,15,0.030505311364928882,0.030573828145861626
11,0.02,main,16,0.031162948658068974,0.02891129069030285
11,0.02,main,17,0.033071797961990036,0.029611840844154358
11,0.02,main,18,0.030054622950653236,0.03664528205990791
11,0.02,main,19,0.03049197110037009,0.030054552480578423
11,0.02,main,20,0.028580333416660626,0.03611915186047554
11,0.02,main,21,0.027151777409017086,0.02899046614766121
11,0.02,main,22,0.027129899399975937,0.031872015446424484
11,0.02,main,23,0.028116783127188683,0.029148712754249573
11,0.02,main,24,0.028155337398250897,0.029559016227722168
11,0.02,projection,1,0.5145404835542043,0.3629456162452698
11,0.02,projection,2,0.24093265583117804,0.13881829380989075
11,0.02,projection,3,0.12415407722194989,0.08126354962587357
11,0.02,projection,4,0.0923126054306825,0.06541260331869125
11,0.02,projection,5,0.06781688270469506,0.06143631413578987
11,0.02,projection,6,0.05480722896754742,0.043312784284353256
11,0.02,projection,7,0.04511940727631251,0.03677044436335564
11,0.02,projection,8,0.04017045131574074,0.027397554367780685
11,0.02,projection,9,0.036928548167149224,0.025288747623562813
11,0.02,projection,10,0.03393785593410333,0.023458655923604965
11,0.02,projection,11,0.03223740992446741,0.022914158180356026
11,0.02,projection,12,0.030552885805567104,0.02137162536382675
11,0.02,projection,13,0.028902315224210422,0.022272948175668716
11,0.02,projection,14,0.028721117104093235,0.02378806285560131
11,0.02,projection,15,0.028985677907864254,0.021473823115229607
11,0.02,projection,16,0.026616247681279976,0.022106792777776718
11,0.02,projection,17,0.025457101874053478,0.020009692758321762
11,0.02,projection,18,0.025185937372346718,0.019312899559736252
11,0.02,projection,19,0.02484667704751094,0.021142221987247467
11,0.02,projection,20,0.024512482496599357,0.01920497976243496
11,0.02,projection,21,0.023766433199246723,0.021479392424225807
11,0.02,projection,22,0.022949233030279476,0.018616216257214546
11,0.02,projection,23,0.022775082538525265,0.02110707014799118
11,0.02,projection,24,0.02224052418023348,0.02077883668243885
11,0.02,projection,25,0.021576775548358757,0.01984214223921299
11,0.02,projection,26,0.021039275142053764,0.018309468403458595
11,0.02,projection,27,0.021072951455911,0.018726525828242302
11,0.02,projection,28,0.021087420483430225,0.017626751214265823
11,0.02,projection,29,0.01985187518099944,0.0188395157456398
11,0.02,projection,30,0.01896948708842198,0.020257974043488503
11,0.02,projection,31,0.019638465562214453,0.021207161247730255
11,0.02,projection,32,0.019232861697673798,0.017080890014767647
11,0.02,projection,33,0.019012001032630604,0.018296947702765465
11,0.02,projection,34,0.01817964545140664,0.016465144231915474
11,0.02,projection,35,0.017149999892959993,0.020438402891159058
11,0.02,projection,36,0.016891294314215582,0.018120720982551575
11,0.02,projection,37,0.01647516976421078,0.01870918832719326
11,0.02,projection,38,0.01629741753761967,0.016606904566287994
11,0.02,projection,39,0.016511737524221342,0.017898185178637505
11,0.02,projection,40,0.015859620956083138,0.016928579658269882
11,0.02,projection,41,0.016444070575137932,0.016919080168008804
11,0.02,projection,42,0.01550208047653238,0.017731057479977608
11,0.02,projection,43,0.015534696324417988,0.015984440222382545
11,0.02,projection,44,0.01555459558342894,0.017295008525252342
11,0.02,projection,45,0.015397602537026009,0.01882414147257805
11,0.02,projection,46,0.014477637984479466,0.018578864634037018
11,0.02,projection,47,0.013428312493488193,0.02105136401951313
11,0.02,projection,48,0.01322061475366354,0.016844406723976135
11,0.02,projection,49,0.013000817193339268,0.02139660157263279
11,0.02,projection,50,0.013178267360975346,0.024055790156126022
11,0.02,projection,51,0.013337077262500921,0.02451285719871521
11,0.02,projection,52,0.014688796208550533,0.02572164684534073
11,0.02,projection,53,0.012167484033852816,0.017790863290429115
11,0.04,main,1,0.18352807313203812,0.17764411866664886
11,0.04,main,2,0.18013366808493933,0.1734982281923294
11,0.04,main,3,0.17449553310871124,0.16497312486171722
11,0.04,main,4,0.1605197712779045,0.1396360546350479
11,0.04,main,5,0.11918817833065987,0.08872948586940765
11,0.04,main,6,0.08390059694647789,0.07628292590379715
11,0.04,main,7,0.07640650992592175,0.058137446641922
11,0.04,main,8,0.06723257154226303,0.060335926711559296
11,0.04,main,9,0.06442857471605141,0.07139520347118378
11,0.04,main,10,0.06076339880625407,0.05772707611322403
11,0.04,main,11,0.058027406533559166,0.057089485228061676
11,0.04,main,12,0.05542995842794577,0.05738915875554085
11,0.04,main,13,0.054480246578653656,0.057146620005369186
11,0.04,main,14,0.052459576477607094,0.05951511487364769
11,0.04,main,15,0.05251537884275118,0.06066519394516945
11,0.04,main,16,0.05067314952611923,0.056754276156425476
11,0.04,main,17,0.05090528726577759,0.053262948989868164
11,0.04,main,18,0.05113166508575281,0.06054604426026344
11,0.04,main,19,0.049254801124334335,0.051033634692430496
11,0.04,main,20,0.04652617064615091,0.05287721008062363
11,0.04,main,21,0.045348734284440674,0.053524959832429886
11,0.04,main,22,0.045240322748819985,0.05001859366893768
11,0.04,main,23,0.045292897149920464,0.056275658309459686
11,0.04,main,24,0.043066433941324554,0.052481576800346375
11,0.04,main,25,0.042454938093821205,0.04787055775523186
11,0.04,main,26,0.042342727382977806,0.04877018555998802
11,0.04,main,27,0.03997103000680605,0.05382445454597473
11,0.04,main,28,0.03946518152952194,0.048811569809913635
11,0.04,main,29,0.037700572361548744,0.05102509260177612
11,0.04,main,30,0.03713788650929928,0.05221546068787575
11,0.04,main,31,0.03659924119710922,0.046354830265045166
11,0.04,main,32,0.03885638962189356,0.07444440573453903
11,0.04,main,33,0.04273715987801552,0.04751822352409363
11,0.04,main,34,0.037795581544438996,0.06976033747196198
11,0.04,main,35,0.03573259028295676,0.044055450707674026
11,0.04,main,36,0.03486470195154349,0.05582207068800926
11,0.04,main,37,0.035001601402958236,0.044478368014097214
11,0.04,main,38,0.031392873264849186,0.046270113438367844
11,0.04,main,39,0.03073178728421529,0.04757361114025116
11,0.04,main,40,0.02950306423008442,0.04648316651582718
11,0.04,main,41,0.029724324122071266,0.048186514526605606
11,0.04,main,42,0.028566945654650528,0.04445776715874672
11,0.04,main,43,0.027619405649602413,0.04412829875946045
11,0.04,main,44,0.026688990804056328,0.04109260067343712
11,0.04,main,45,0.025660444361468155,0.04383736476302147
11,0.04,main,46,0.02521722111850977,0.04352293536067009
11,0.04,main,47,0.024849039192001026,0.041377753019332886
11,0.04,main,48,0.0237973565235734,0.04227632284164429
11,0.04,main,49,0.02456115558743477,0.044586505740880966
11,0.04,main,50,0.024079113577802975,0.039931077510118484
11,0.04,main,51,0.023649992421269417,0.03754633292555809
11,0.04,main,52,0.023619432623187702,0.03734305500984192
11,0.04,main,53,0.026640829319755237,0.04027872532606125
11,0.04,main,54,0.022777740843594074,0.0563795268535614
11,0.04,main,55,0.031269631969432034,0.037237297743558884
11,0.04,main,56,0.02424666192382574,0.041934095323085785
11,0.04,main,57,0.02142933818201224,0.039301548153162
11,0.04,main,58,0.021769138673941296,0.03666093945503235
11,0.04,main,59,0.02135692009081443,0.041830115020275116
11,0.04,main,60,0.02233001807083686,0.042394667863845825
11,0.04,main,61,0.021392067273457844,0.04210708662867546
11,0.04,main,62,0.020932754191259544,0.04243005812168121
11,0.04,main,63,0.020346459622184437,0.037182651460170746
11,0.04,main,64,0.019568845629692078,0.03798853978514671
11,0.04,main,65,0.020547160878777504,0.04380584880709648
11,0.04,main,66,0.021550559128324192,0.04075799137353897
11,0.04,main,67,0.021280585788190365,0.03679684177041054
11,0.04,main,68,0.021906213214000065,0.03494217246770859
11,0.04,main,69,0.023335157272716362,0.039660077542066574
11,0.04,main,70,0.019149437236289184,0.04814569279551506
11,0.04,main,71,0.0230310404052337,0.03523695096373558
11,0.04,main,72,0.019888812055190403,0.03581788018345833
11,0.04,main,73,0.02168549442042907,0.03455277904868126
11,0.04,main,74,0.023217720600465935,0.052934564650058746
11,0.04,main,75,0.02456870737175147,0.03909687325358391
11,0.04,main,76,0.02322582621127367,0.03901753947138786
11,0.04,main,77,0.022157554825146992,0.04829245060682297
11,0.04,main,78,0.026378486305475235,0.03426634892821312
11,0.04,main,79,0.02174988699456056,0.03424051031470299
11,0.04,main,80,0.026499997824430466,0.0372341051697731
11,0.04,main,81,0.020358542601267498,0.03527229651808739
11,0.04,main,82,0.019879149893919628,0.03894150257110596
11,0.04,main,83,0.018390551209449768,0.03958376869559288
11,0.04,main,84,0.01793039310723543,0.039417676627635956
11,0.04,main,85,0.018226830909649532,0.0405251681804657
11,0.04,main,86,0.017880139561990898,0.04280581325292587
11,0.04,main,87,0.017565887421369553,0.0406368225812912
11,0.04,main,88,0.018241586318860453,0.043350424617528915
11,0.04,main,89,0.017628608581920464,0.038602229207754135
11,0.04,projection,1,0.4384133517742157,0.25862568616867065
11,0.04,projection,2,0.17599966625372568,0.15291546285152435
11,0.04,projection,3,0.12115448837478955,0.0949074774980545
11,0.04,projection,4,0.0921335369348526,0.0668218657374382
11,0.04,projection,5,0.06911833335955937,0.0552719347178936
11,0.04,projection,6,0.05551999993622303,0.04231831431388855
11,0.04,projection,7,0.04518749720106522,0.0339416079223156
11,0.04,projection,8,0.03871469013392925,0.025408253073692322
11,0.04,projection,9,0.03392531846960386,0.022758029401302338
11,0.04,projection,10,0.031028786363701027,0.021879523992538452
11,0.04,projection,11,0.02874652606745561,0.02427123300731182
11,0.04,projection,12,0.027353194542229176,0.022444605827331543
11,0.04,projection,13,0.026292954261104267,0.021471597254276276
11,0.04,projection,14,0.02491856086999178,0.021532151848077774
11,0.04,projection,15,0.024418361174563568,0.021791458129882812
11,0.04,projection,16,0.023458906759818394,0.019480464980006218
11,0.04,projection,17,0.022252928465604782,0.02022782526910305
11,0.04,projection,18,0.022449609202643234,0.02002149634063244
11,0.04,projection,19,0.022206622486313183,0.02238338068127632
11,0.04,projection,20,0.021515977879365284,0.02221575379371643
11,0.04,projection,21,0.020781425293534994,0.01941404491662979
11,0.04,projection,22,0.01926003380989035,0.019857658073306084
11,0.04,projection,23,0.018907343192646902,0.020350906997919083
11,0.04,projection,24,0.0193156151411434,0.01893298514187336
11,0.04,projection,25,0.019445824902504683,0.023479469120502472
11,0.04,projection,26,0.018421901079515617,0.019539134576916695
11,0.04,projection,27,0.017891135377188522,0.02639840915799141
11,0.04,projection,28,0.018637250798443954,0.02445901371538639
11,0.04,projection,29,0.01808474042142431,0.01886359043419361
11,0.04,projection,30,0.017126735610266525,0.021257309243083
11,0.04,projection,31,0.016814963581661384,0.017021022737026215
11,0.04,projection,32,0.017451528770228226,0.016804944723844528
11,0.04,projection,33,0.0152709671917061,0.019576139748096466
11,0.04,projection,34,0.015022687458743652,0.018093455582857132
11,0.04,projection,35,0.014591527016212543,0.01929243840277195
11,0.04,projection,36,0.01415378771101435,0.017714424058794975
11,0.04,projection,37,0.014048086013644934,0.017660757526755333
11,0.04,projection,38,0.014281365710000197,0.017198843881487846
11,0.04,projection,39,0.014604738137374321,0.016956597566604614
11,0.04,projection,40,0.014159411502381166,0.018167845904827118
11,0.04,projection,41,0.013792662105212608,0.017338281497359276
11,0.04,projection,42,0.014311728610967597,0.01670016534626484
11,0.04,projection,43,0.012544686595598856,0.01703546941280365
11,0.04,projection,44,0.011581710229317347,0.020240863785147667
11,0.04,projection,45,0.010694041382521391,0.017042361199855804
11,0.04,projection,46,0.011217096044371525,0.018372079357504845
11,0.04,projection,47,0.01240841532126069,0.01594279520213604
11,0.04,projection,48,0.011016714153811336,0.018117805942893028
11,0.04,projection,49,0.010631957867493233,0.016275295987725258
11,0.04,projection,50,0.009496477432549,0.01914815418422222
11,0.04,projection,51,0.008768913491318623,0.01576128602027893
11,0.04,projection,52,0.009538613492622972,0.016794022172689438
11,0.04,projection,53,0.008578900480642915,0.015012373216450214
11,0.04,projection,54,0.0080666015855968,0.01779649592936039
11,0.04,projection,55,0.008143919442469874,0.0209361482411623
11,0.04,projection,56,0.007831061026081443,0.018448641523718834
11,0.04,projection,57,0.007264091710870464,0.016972506418824196
11,0.04,projection,58,0.007031979504972696,0.016890622675418854
11,0.04,projection,59,0.007816296226034561,0.01888282224535942
11,0.04,projection,60,0.006659241082767646,0.019843926653265953
11,0.04,projection,61,0.0066522834822535515,0.017026275396347046
11,0.04,projection,62,0.006099313575153549,0.018217658624053
11,0.04,projection,63,0.006404630762214462,0.014503484591841698
11,0.04,projection,64,0.00576362533805271,0.01524183340370655
11,0.04,projection,65,0.005761360827212532,0.015867536887526512
11,0.04,projection,66,0.005621176329441369,0.01667981967329979
11,0.04,projection,67,0.005387344242384036,0.022871319204568863
11,0.04,projection,68,0.005760315534037848,0.016749365255236626
11,0.04,projection,69,0.005789215366045634,0.015620242804288864
11,0.04,projection,70,0.005300725305763383,0.01606268621981144
11,0.04,projection,71,0.004982915318881472,0.018205273896455765
11,0.04,projection,72,0.004874041536822915,0.015780054032802582
11,0.04,projection,73,0.004728277291481693,0.014714060351252556
11,0.06,main,1,0.27393963436285657,0.26400071382522583
11,0.06,main,2,0.2663603872060776,0.25411197543144226
11,0.06,main,3,0.25301263978083927,0.23301339149475098
11,0.06,main,4,0.21830093363920847,0.1675906777381897
11,0.06,main,5,0.13943762332201004,0.10026096552610397
11,0.06,main,6,0.10845222075780232,0.10225698351860046
11,0.06,main,7,0.09725248689452808,0.07907228916883469
11,0.06,main,8,0.08844942599534988,0.07609917223453522
11,0.06,main,9,0.08188854406277339,0.07548509538173676
11,0.06,main,10,0.07780159637331963,0.07255527377128601
11,0.06,main,11,0.07552154113849004,0.07115085422992706
11,0.06,main,12,0.07286584501465161,0.06942296773195267
11,0.06,main,13,0.07198555891712506,0.07161568105220795
11,0.06,main,14,0.0692594088613987,0.06813027709722519
11,0.06,main,15,0.0681190975010395,0.07292309403419495
11,0.06,main,16,0.06645855245490868,0.066856749355793
11,0.06,main,17,0.06727290153503418,0.0692874863743782
11,0.06,main,18,0.06406161437431972,0.06563076376914978
11,0.06,main,19,0.06154457045098146,0.06414099782705307
11,0.06,main,20,0.05893262413640817,0.06863752007484436
11,0.06,main,21,0.056898605078458786,0.06130152940750122
11,0.06,main,22,0.055165537943442665,0.06047157943248749
11,0.06,main,23,0.05269995207587878,0.06794904917478561
11,0.06,main,24,0.053555708999435105,0.06031376123428345
11,0.06,main,25,0.05056739101807276,0.05895039439201355
11,0.06,main,26,0.05061693613727888,0.06942669302225113
11,0.06,main,27,0.04589898760120074,0.05839484930038452
11,0.06,main,28,0.04434718005359173,0.05827237293124199
11,0.06,main,29,0.042300332337617874,0.06699449568986893
11,0.06,main,30,0.04849559130767981,0.057075221091508865
11,0.06,main,31,0.044107518469293915,0.05543043464422226
11,0.06,main,32,0.04425907631715139,0.06719287484884262
11,0.06,main,33,0.041449559231599174,0.05309956893324852
11,0.06,main,34,0.03906294765571753,0.05254301801323891
11,0.06,main,35,0.039908147106568016,0.07188846170902252
11,0.06,main,36,0.03997135100265344,0.052216995507478714
11,0.06,main,37,0.03617802759011587,0.05227355659008026
11,0.06,main,38,0.03468323530008396,0.05499878153204918
11,0.06,main,39,0.03622369281947613,0.04937824234366417
11,0.06,main,40,0.03340217967828115,0.048299457877874374
11,0.06,main,41,0.033027930185198784,0.04760617017745972
11,0.06,main,42,0.03277226506421963,0.049113679677248
11,0.06,main,43,0.03341298612455527,0.06474000215530396
11,0.06,main,44,0.03560504255195459,0.04953616484999657
11,0.06,main,45,0.03619580219189326,0.04905381426215172
11,0.06,main,46,0.03451663255691528,0.06534267961978912
11,0.06,main,47,0.03861475953211387,0.046570248901844025
11,0.06,main,48,0.03116691019386053,0.04515506699681282
11,0.06,main,49,0.03287124695877234,0.05197611823678017
11,0.06,main,50,0.03406398743391037,0.04698507860302925
11,0.06,main,51,0.032904114574193954,0.048791296780109406
11,0.06,main,52,0.03539268051584562,0.06336859613656998
11,0.06,main,53,0.030647530530889828,0.04405079409480095
11,0.06,main,54,0.029581837356090546,0.04414059594273567
11,0.06,main,55,0.029841159159938496,0.06667319685220718
11,0.06,main,56,0.03296920843422413,0.04611858353018761
11,0.06,main,57,0.029174565027157467,0.04470792040228844
11,0.06,main,58,0.029657709722717602,0.050491880625486374
11,0.06,main,59,0.027011432064076264,0.048872675746679306
11,0.06,main,60,0.02672760809461276,0.05247470363974571
11,0.06,main,61,0.028888774725298088,0.04412965849041939
11,0.06,main,62,0.026671522296965122,0.049557603895664215
11,0.06,main,63,0.0271604061126709,0.04493052139878273
11,0.06,projection,1,0.5117487659056982,0.38246795535087585
11,0.06,projection,2,0.2860300640265147,0.11178459972143173
11,0.06,projection,3,0.1408073455095291,0.08860426396131516
11,0.06,projection,4,0.0943830410639445,0.0782221257686615
11,0.06,projection,5,0.07237499455610912,0.060409609228372574
11,0.06,projection,6,0.057060180231928825,0.04223201051354408
11,0.06,projection,7,0.04653205722570419,0.03560023754835129
11,0.06,projection,8,0.038949298982818924,0.029507014900445938
11,0.06,projection,9,0.03423176178087791,0.025763489305973053
