case,case_name,replicate,n,n_train,n_validation,n_test,n_eval,tau,epoch,data_seed,init_seed,training_seed,test_seed,eval_seed,theta_error_l2,m_l2_error,q_l2_error,linear_error_mse,nonlinear_error_mse,cross_error_moment,cancellation_fraction,q_mse,decomposition_residual,max_float32_prediction_gap,optimizer_steps,learning_rate,model_instance,fit_calls,theta_hat_1,theta_true_1,theta_error_1,abs_theta_error_1,theta_hat_2,theta_true_2,theta_error_2,abs_theta_error_2,train_check_loss,validation_check_loss,test_check_loss
3,deep,3,1000,800,200,10000,10000,0.5,1,51260907,51760907,1051760907,2051260907,3051260907,0.7350859942499874,2.131502703608448,1.913379368615431,0.19612913514980268,4.5433037754901235,-0.53920615119837,0.22754036669149327,3.6610206082431853,-8.881784197001252e-16,6.827073706361375e-08,7,0.005,1,1,0.5168184041976929,1.0,-0.48318159580230713,0.48318159580230713,-0.4460262060165405,-1.0,0.5539737939834595,0.5539737939834595,0.9671341061502134,0.9277842352078571,0.9770070546381064
3,deep,3,1000,800,200,10000,10000,0.5,2,51260907,51760907,1051760907,2051260907,3051260907,0.7394204364338797,1.6968917230702654,1.4950263936257548,0.23588250823042325,2.879441519824374,-0.44011005520858343,0.2825452834088577,2.2351039176376304,0.0,1.224289682966173e-07,14,0.005,1,1,0.5508266091346741,1.0,-0.4491733908653259,0.4491733908653259,-0.41264504194259644,-1.0,0.5873549580574036,0.5873549580574036,0.833723022748443,0.809566116060538,0.8484571497848463
3,deep,3,1000,800,200,10000,10000,0.5,5,51260907,51760907,1051760907,2051260907,3051260907,0.7387699228907868,1.1177010425961718,0.9664359085956093,0.2923212645939481,1.2492556206205692,-0.303789259895748,0.39412793848874345,0.9339983654230211,-2.220446049250313e-16,1.69951120732037e-07,35,0.005,1,1,0.6034397482872009,1.0,-0.3965602517127991,0.3965602517127991,-0.3766855001449585,-1.0,0.6233144998550415,0.6233144998550415,0.6748526756172092,0.679489203646543,0.7002973505789458
3,deep,3,1000,800,200,10000,10000,0.5,10,51260907,51760907,1051760907,2051260907,3051260907,0.6857127967860265,0.7492911062815742,0.6248528226954471,0.26522957236952127,0.5614371619526654,-0.21811284214585944,0.527692316843251,0.3904410500304678,5.551115123125783e-17,2.8481543878911e-07,70,0.005,1,1,0.6447119116783142,1.0,-0.3552880883216858,0.3552880883216858,-0.4135083854198456,-1.0,0.5864916145801544,0.5864916145801544,0.5743356763975682,0.5915781383809287,0.6222736499650006
3,deep,3,1000,800,200,10000,10000,0.5,20,51260907,51760907,1051760907,2051260907,3051260907,0.5440832699630317,0.6575883697243121,0.5386976901962542,0.17966309659185833,0.43242246399667855,-0.1609451795828787,0.5258911170135284,0.2901952014227795,0.0,2.9021424374775506e-07,140,0.005,1,1,0.7331737875938416,1.0,-0.26682621240615845,0.26682621240615845,-0.5258371829986572,-1.0,0.4741628170013428,0.4741628170013428,0.548096756099409,0.5760360160985476,0.6088082711482536
3,deep,3,1000,800,200,10000,10000,0.5,30,51260907,51760907,1051760907,2051260907,3051260907,0.41416484372622925,0.5661354764270801,0.49789139776556207,0.11559005105695647,0.3205093776693169,-0.09410179237866409,0.43156118160259727,0.24789584396894515,-5.551115123125783e-17,3.338385319295867e-07,210,0.005,1,1,0.8145815134048462,1.0,-0.1854184865951538,0.1854184865951538,-0.6296589374542236,-1.0,0.37034106254577637,0.37034106254577637,0.5268138335920217,0.5674939403666027,0.602356941097468
3,deep,3,1000,800,200,10000,10000,0.5,50,51260907,51760907,1051760907,2051260907,3051260907,0.2062157913105584,0.5336673137784039,0.4950230849205551,0.031491204945195826,0.28480080179545747,-0.03562207606819513,0.22524803225523055,0.2450478546042631,8.326672684688674e-17,3.277064202222846e-07,350,0.005,1,1,0.9163687229156494,1.0,-0.08363127708435059,0.08363127708435059,-0.8115039467811584,-1.0,0.18849605321884155,0.18849605321884155,0.504342867465308,0.5738781617885103,0.6016421649795699
3,deep,3,1000,800,200,10000,10000,0.5,75,51260907,51760907,1051760907,2051260907,3051260907,0.08354502025293875,0.5343450670755882,0.5667927160248849,0.007115640425158562,0.28552465070801475,0.014306845902846232,-0.09777769047075983,0.32125398293886576,0.0,3.4876242605008656e-07,525,0.005,1,1,0.9810037612915039,1.0,-0.018996238708496094,0.018996238708496094,-0.9186432957649231,-1.0,0.0813567042350769,0.0813567042350769,0.49556817440937434,0.5818290559236665,0.6147493862393679
3,deep,3,1000,800,200,10000,10000,0.5,100,51260907,51760907,1051760907,2051260907,3051260907,0.03491396928862752,0.6197790360003391,0.6363111276599605,0.0018100666951222856,0.38412605346550965,0.009477865511629264,-0.049116239794733105,0.4048918511838905,0.0,4.576812280276954e-07,700,0.005,1,1,1.026115894317627,1.0,0.026115894317626953,0.026115894317626953,-0.9768279194831848,-1.0,0.023172080516815186,0.023172080516815186,0.47630414262748433,0.6050853188304441,0.6292006007507752
3,deep,3,1000,800,200,10000,10000,0.5,150,51260907,51760907,1051760907,2051260907,3051260907,0.09464836678569453,0.7364709225743293,0.7482181292142311,0.004060659268758544,0.5423894197974838,0.006690144909300715,-0.024485841124710372,0.5598303688848438,1.1102230246251565e-16,4.595769276249939e-07,1050,0.005,1,1,1.0945684909820557,1.0,0.09456849098205566,0.09456849098205566,-1.00388765335083,-1.0,-0.003887653350830078,0.003887653350830078,0.4146336533861229,0.6171196265368663,0.6491327561539787
