case,rep,n,tau,theta1_at_100,theta1_at_final,theta1_change,absolute_error_change_theta1,theta2_at_100,theta2_at_final,theta2_change,absolute_error_change_theta2,relative_mse_change,test_check_loss_change
1,1,1000,0.5,0.8191632628440857,0.8570505380630493,0.03788727521896362,-0.03788727521896362,-0.5648370981216431,-0.8208590745925903,-0.25602197647094727,-0.25602197647094727,0.07267897079155267,0.2169335533052913
1,2,1000,0.5,0.9846138954162598,0.972419798374176,-0.01219409704208374,0.01219409704208374,-0.8043750524520874,-1.1117959022521973,-0.30742084980010986,-0.08382904529571533,0.040013291238561524,0.13677882046515955
2,1,1000,0.5,0.8294801712036133,0.9642332196235657,0.1347530484199524,-0.1347530484199524,-0.6793244481086731,-0.8501042127609253,-0.1707797646522522,-0.1707797646522522,0.04595668249901762,0.1772834450903099
2,2,1000,0.5,0.8390470743179321,1.020078420639038,0.18103134632110596,-0.14087450504302979,-0.7330589294433594,-0.9440369009971619,-0.2109779715538025,-0.2109779715538025,0.03921476384715777,0.12070327734185549
3,1,1000,0.5,0.9263400435447693,0.9593799114227295,0.033039867877960205,-0.033039867877960205,-0.7236353158950806,-1.0736221075057983,-0.3499867916107178,-0.2027425765991211,0.251329582887076,0.16884070682020424
3,2,1000,0.5,1.1793900728225708,1.3796334266662598,0.20024335384368896,0.20024335384368896,-0.7938838005065918,-0.9001262784004211,-0.10624247789382935,-0.10624247789382935,0.22510945193397142,0.15350957732311044
