case,n,tau,epoch_budget,rule,repetitions,mean_selected_epoch,mean_relative_mse,mean_train_check_loss,mean_validation_check_loss,mean_test_check_loss,mean_theta1,bias_theta1,sd_theta1,mae_theta1,mse_theta1,mean_theta2,bias_theta2,sd_theta2,mae_theta2,mse_theta2
1,1000,0.5,10,patience15,2,9.5,0.034777373041837,0.6420036582856853,0.619011083684061,0.6563098361121302,0.29902898520231247,-0.7009710147976875,0.6968631687800809,0.7009710147976875,0.7341695015876076,0.04300105571746826,1.0430010557174683,0.7781820464035609,1.0430010557174683,1.3906348509001702
1,1000,0.5,10,terminal,2,10.0,0.02979608102586661,0.6380187343723414,0.6321809356804071,0.6632897219697058,0.3039916083216667,-0.6960083916783333,0.7038813777004179,0.6960083916783333,0.7321521782233794,0.04413032531738281,1.0441303253173828,0.7765850180197861,1.0441303253173828,1.3917502813537794
1,1000,0.5,10,validation_best,2,9.5,0.034777373041837,0.6420036582856853,0.619011083684061,0.6563098361121302,0.29902898520231247,-0.7009710147976875,0.6968631687800809,0.7009710147976875,0.7341695015876076,0.04300105571746826,1.0430010557174683,0.7781820464035609,1.0430010557174683,1.3906348509001702
1,1000,0.5,25,patience15,2,17.0,0.0350244915874218,0.6137098050763198,0.5891987234933509,0.6312844045898054,0.4329106956720352,-0.5670893043279648,0.507525838080091,0.5670893043279648,0.45038151724262443,-0.06495656073093414,0.9350434392690659,0.6255069210607576,0.9350434392690659,1.0699356874675776
1,1000,0.5,25,terminal,2,25.0,0.028067620616465585,0.5867169549352762,0.5943989852706337,0.6191961149672843,0.47405312955379486,-0.5259468704462051,0.5657100260647139,0.5259468704462051,0.4366340273272269,-0.09241907298564911,0.9075809270143509,0.6643447783482127,0.9075809270143509,1.0443801313394965
1,1000,0.5,25,validation_best,2,17.0,0.0350244915874218,0.6137098050763198,0.5891987234933509,0.6312844045898054,0.4329106956720352,-0.5670893043279648,0.507525838080091,0.5670893043279648,0.45038151724262443,-0.06495656073093414,0.9350434392690659,0.6255069210607576,0.9350434392690659,1.0699356874675776
1,1000,0.5,50,patience15,2,27.5,0.024886245069931798,0.5828554514851327,0.5724295766121978,0.6144684279577302,0.6065757870674133,-0.39342421293258667,0.2619263105179842,0.39342421293258667,0.18908530739240703,-0.25301646383013576,0.7469835361698642,0.35955005555929653,0.7469835361698642,0.6226225245351815
1,1000,0.5,50,terminal,2,50.0,0.011898765844226559,0.541517822787792,0.5789632463679117,0.5992804474499576,0.7228211313486099,-0.2771788686513901,0.33919638274940156,0.2771788686513901,0.1343552182620038,-0.3733711577951908,0.6266288422048092,0.4413889770550158,0.6266288422048092,0.49007582041577624
1,1000,0.5,50,validation_best,2,47.5,0.021147281528576055,0.5542348991539964,0.5639027657806178,0.5943861573657849,0.691265344619751,-0.308734655380249,0.3816954313998769,0.308734655380249,0.16816278860853018,-0.34140338690485805,0.658596613095142,0.48454804090799625,0.658596613095142,0.5511429007542807
1,1000,0.5,100,patience15,2,32.0,0.024518501573418852,0.5760322642568567,0.5691033803570646,0.6088370436454282,0.6622378826141357,-0.33776211738586426,0.18320822008570228,0.33776211738586426,0.1308658738944679,-0.32500819116830826,0.6749918088316917,0.25773837837898705,0.6749918088316917,0.48882847783459404
1,1000,0.5,100,terminal,2,100.0,0.011841218628285022,0.48633780033367313,0.5744605633071869,0.6012345329032951,0.9018885791301727,-0.09811142086982727,0.11699126424338817,0.09811142086982727,0.016469328859729515,-0.6846060752868652,0.31539392471313477,0.1693789118586107,0.31539392471313477,0.11381793563715803
1,1000,0.5,100,validation_best,2,65.5,0.017999553646812026,0.5314677513060287,0.5590105667065071,0.5917745839751686,0.7636324763298035,-0.23636752367019653,0.32660182966970935,0.23636752367019653,0.10920398381778185,-0.45232725888490677,0.5476727411150932,0.4377947306924992,0.5476727411150932,0.39577754447157887
1,1000,0.5,200,patience15,2,32.0,0.024518501573418852,0.5760322642568567,0.5691033803570646,0.6088370436454282,0.6622378826141357,-0.33776211738586426,0.18320822008570228,0.33776211738586426,0.1308658738944679,-0.32500819116830826,0.6749918088316917,0.25773837837898705,0.6749918088316917,0.48882847783459404
1,1000,0.5,200,terminal,2,200.0,0.020875540495967154,0.43271983931986824,0.6028710673481991,0.6478319046737547,0.886412113904953,-0.113587886095047,0.028066977269405196,0.113587886095047,0.013296085474062025,-0.8109144270420074,0.18908557295799255,0.15459788564529464,0.18908557295799255,0.047703607023850125
