n,metric,pairs,mean_change,mc_se,ci_low,ci_high,fraction_improved
500,S,10,0.004398259152768522,0.015526540454128324,-0.03072521554901396,0.039521733854551,0.5
500,E,10,0.019959430344694645,0.014377385837228817,-0.012564476009305988,0.052483336698695274,0.3
500,T,10,-0.00036224238064810275,0.00016908795786062036,-0.0007447459156654261,2.0261154369220628e-05,0.7
500,R_theta,10,-0.11847228023762099,0.05912356038945869,-0.2522190658627672,0.015274505387525228,0.8
500,root_n_G,10,0.009113854098221835,0.02854726142085089,-0.05546453780322887,0.07369224599967254,0.5
500,root_n_a,10,-0.1544266164384186,0.1230323385381109,-0.4327451023182198,0.12389186944138258,0.7
500,final_training_loss,10,-0.00041246223145567916,3.8112202755996085e-05,-0.0004986780239101732,-0.0003262464390011851,1.0
1000,S,10,-0.0035532065673665445,0.014314032837387082,-0.03593379847899045,0.028827385344257356,0.5
1000,E,10,0.026045184000157946,0.011735445041996855,-0.0005022370602199185,0.05259260506053581,0.2
1000,T,10,4.604539577436756e-05,8.642875131018925e-05,-0.0001494700230736818,0.0002415608146224169,0.4
1000,R_theta,10,-0.02885557862560858,0.03860434460144356,-0.11618467328089435,0.05847351602967719,0.6
1000,root_n_G,10,-0.08502914390284264,0.028282329303760304,-0.14900821771796158,-0.021050070087723693,0.8
1000,root_n_a,10,-0.17111244469586773,0.06328194414333801,-0.31426614791551577,-0.02795874147621971,0.8
1000,final_training_loss,10,-0.0003078967673028232,4.236679746770348e-05,-0.0004037371216592095,-0.00021205641294643694,1.0
2000,S,10,-0.009076255238085052,0.013055404758669675,-0.03860963262613943,0.020457122149969323,0.6
2000,E,10,0.0010014851668081026,0.014630991854527977,-0.03209611785575455,0.03409908818937076,0.6
2000,T,10,-0.00019219853825818423,0.00014116316810693034,-0.0005115318101145638,0.00012713473359819534,0.6
2000,R_theta,10,-0.040432606261088175,0.05577056933231331,-0.16659439914951463,0.08572918662733826,0.6
2000,root_n_G,10,-0.14015954461692148,0.0631058677464881,-0.28291493535423573,0.002595846120392792,0.8
2000,root_n_a,10,-0.24644289459149146,0.10299425112435037,-0.4794320774994777,-0.013453711683505204,0.8
2000,final_training_loss,10,-0.0002388504698527416,9.808818968486855e-05,-0.000460741370734276,-1.695956897120721e-05,1.0
