n,stage,completed_reps,inadequate_integrations,max_scaled_se,max_scaled_refinement_gap,max_decomposition_error
500,baseline,10,0,6.390584553012703e-07,8.438650818223559e-07,5.551115123125783e-17
500,polished,10,0,5.980116196905111e-07,3.858362969808922e-07,1.1102230246251565e-16
1000,baseline,10,0,6.72567269554057e-07,7.483784365456591e-07,4.163336342344337e-17
1000,polished,10,0,7.170992573966767e-07,7.307035431322851e-07,2.7755575615628914e-17
2000,baseline,10,0,6.236084434209845e-07,2.144656068045523e-06,2.7755575615628914e-17
2000,polished,10,0,7.39518754039573e-07,2.4174908566516635e-06,4.163336342344337e-17
