n,stage,metric,completed_reps,planned_reps,signed_mean,signed_mc_se,mean_abs,mean_abs_mc_se,mean_abs_ci_low,mean_abs_ci_high,median_abs,q90_abs,rms
500,baseline,S,10,10,-0.11095625544131278,0.04392337367973004,0.14445567884307225,0.03128224961757749,0.07369031380222793,0.21522104388391658,0.11033895236769434,0.28776988297937484,0.1722633316183124
500,baseline,E,10,10,0.08921318698674173,0.04987031389418609,0.13460783614488306,0.03685279584127086,0.05124102006341229,0.21797465222635382,0.10772148914338858,0.30224652544088587,0.1741907764592408
500,baseline,T,10,10,0.00256687483648609,0.0012939703371989682,0.003226365979887305,0.001117966511721101,0.0006973500276288933,0.005755381932145717,0.0020901576100866084,0.006099873251414634,0.004653824183200606
500,baseline,R_score,10,10,-0.20273631726454067,0.06672742833560263,0.2292989693773999,0.05636877012731778,0.10178395227576251,0.3568139864790373,0.2317969892076434,0.3932720319666861,0.28491219975377563
500,baseline,R_theta,10,10,-2.032738340599434,0.6690434342377414,2.2990691199405546,0.5651822120292401,1.0205381307124752,3.577600109168634,2.324115548488863,3.943147179797128,2.8566759027605184
500,baseline,W,10,10,-0.09416005439065231,0.07727952425728976,0.18841870256753857,0.05488739198528138,0.06425479564072151,0.3125826094943556,0.10117523254403876,0.3658760431180848,0.2502303731918808
500,baseline,root_n_G,10,10,-0.1688484372457967,0.044951698216774943,0.17276782908250626,0.0432652908713128,0.07489494143741823,0.27064071672759427,0.14647386531032763,0.34774277305982076,0.2160918585081257
500,baseline,root_n_phi_score,10,10,0.05789218180448389,0.02609168902500128,0.07819295324611032,0.01933434739389799,0.03445562080097518,0.12193028569124546,0.08489776331744575,0.14409425357499586,0.09735754125736622
500,baseline,root_n_a,10,10,1.4492855221286087,0.4677372259921684,1.5610345805720076,0.42591112480834803,0.5975566788713629,2.5245124822726526,1.3964167871936977,3.303217292000958,2.0172832071529356
500,baseline,sqrt_n_prediction_error_squared,10,10,1.0284792198184305,0.11549937912721565,1.0284792198184305,0.11549937912721565,0.7672014720270541,1.2897569676098068,0.9862935565343223,1.5429627761802465,1.0852789801738898
