n,stage,completed_reps,planned_reps,root_n_bias,mc_se,ci_low,ci_high,root_n_sd,root_n_mae,root_n_rmse,oracle_wald_coverage,coverage_ci_low,coverage_ci_high
500,baseline,10,10,-1.0886413218938265,0.4668624123871178,-2.144757472116594,-0.03252517167105862,1.4763485770640998,1.4115292360238985,1.7739178494603438,1.0,0.7224672001371107,0.9999999999999999
500,polished,10,10,-0.8831407149991914,0.4597871137524195,-1.9232514277365402,0.15696999773815734,1.4539745182525736,1.3022863540415341,1.637856902248883,1.0,0.7224672001371107,0.9999999999999999
1000,baseline,10,10,0.3985547581443044,0.8204862505072218,-1.4575140904180497,2.2546236067066583,2.5946053404543044,2.1070365352761242,2.4935166092653285,0.9,0.5958499732047615,0.9821237869049271
1000,polished,10,10,0.36449222197863723,0.8328691491170531,-1.5195886893701507,2.248573133327425,2.633763504096304,2.1297102500531055,2.5250532184177037,0.9,0.5958499732047615,0.9821237869049271
2000,baseline,10,10,0.8233064529060206,1.1523212526809261,-1.7834253226907364,3.4300382285027773,3.643959754690135,3.007341426034476,3.5536505089580688,0.9,0.5958499732047615,0.9821237869049271
2000,polished,10,10,0.7047168509650017,1.1448783121807309,-1.885177823466958,3.2946115253969612,3.6204231102204054,2.989370400966855,3.5061863879934023,0.9,0.5958499732047615,0.9821237869049271
