n,rep,stage,seed,theta_hat,theta_error,root_n_theta_error,S,E,T,W,R_score,R_theta,Psi_hat,root_n_G,root_n_phi_score,a_hat,root_n_a,final_training_loss,frozen_h_loss_gain,n_frozen_h_loss_gain,exact_zero_residual_count,near_zero_residual_count,root_n_tie_score_bound,selected_polish_epoch,scaled_population_integration_se,scaled_population_refinement_gap,integration_adequate,decomposition_error,population_score,population_score_se,population_score_refinement_gap,h_l2_squared,h_l2_squared_se,m_l2_squared,m_l2_squared_se,sqrt_n_prediction_error_squared,n_quarter_h_l2,n_quarter_m_l2
500,1,baseline,520263432,0.9892438320377283,-0.010756167962271745,-0.24051522741045017,-0.2925512832180641,0.07686234232600275,0.0006315548465744905,-0.3460572570670428,-0.3700451803906414,-3.7102628482324427,-0.013083291123607696,-0.3147909482493942,0.022239665031330062,0.1599633572451938,3.5768894070933688,0.4164712207025182,0.0009458971227099822,0.4729485613549911,0,0,0.0,0,2.9930439886726726e-08,1.6343909398297932e-08,True,0.0,-0.0010445285524431803,1.3385299636638412e-09,-7.309218486538371e-10,0.05769086038899763,3.5342522693898945e-06,0.05787370714537007,3.528350762928479e-06,1.2906536106483644,1.1357846869466444,1.1375831542659323
500,1,polished,520263432,0.9996229451141029,-0.0003770548858971212,-0.008431203561143899,-0.24836939076115533,0.0985056926378654,2.3064561824952278e-05,-0.3460572570670428,-0.34689814796084567,-3.478178824383136,-0.01110741682544303,-0.2534906486104641,0.0051212578493087645,0.1428287902745947,3.193748841980546,0.41587968094468863,0.0007958820730248339,0.39794103651241697,0,0,0.0,500,1.104131376725744e-09,5.739604267717718e-10,True,0.0,-3.657430544183809e-05,4.9378256288983854e-11,-2.566829061312944e-11,0.06048655046228221,3.821200917180856e-06,0.06049330451380568,3.820366756410243e-06,1.352521180337968,1.1629790993742508,1.1630440278702452
500,2,baseline,520264441,0.9169401513333686,-0.08305984866663141,-1.857274678194331,-0.08180719561206085,0.0010513769304489606,0.0028184564463859807,0.0995593198737751,-0.08567702898889577,-0.859041853399784,-0.0036585290087438114,0.006851141893620781,-0.08865833750568161,0.02427176643538851,0.5427331968352647,0.36652737175347583,4.753082534031394e-05,0.02376541267015697,0,0,0.0,0,3.306432447790411e-07,3.0528519802630465e-08,True,1.3877787807814457e-17,-0.008157976155101127,1.4786815432540767e-08,-1.3652769106226037e-09,0.029320046720696696,3.7749431400599795e-06,0.030699546221465156,3.4074792745618492e-06,0.6941824141352729,0.8097012879509801,0.8285304594859075
500,2,polished,520264441,0.9274613560045447,-0.07253864399545529,-1.6220133896949498,-0.16310638576076522,-0.10333591638018655,0.0024426408772864616,0.0995593198737751,-0.06221311025786515,-0.6237805649004028,-0.007294339322507496,-0.15942548433991977,-0.003680901420845478,0.020008000529488708,0.4473924927778854,0.36616179856459746,2.3536738240514943e-05,0.011768369120257471,0,0,0.0,500,2.702198087370658e-07,3.858362969808922e-07,True,-1.3877787807814457e-17,-0.0071254447922690116,1.2084597224061414e-08,-1.7255123764721436e-08,0.02948874754485957,3.5575176212576e-06,0.030033054303364393,3.235748471704063e-06,0.6888031037740961,0.8120273645736087,0.8194873458099604
500,3,baseline,520265450,0.9131034249326264,-0.08689657506737358,-1.943066488625607,0.0858359065643755,0.29837736419330396,0.0036039467038585793,-0.02235256034681103,-0.21614540433278706,-2.167184727728456,0.0038386984397652804,-0.051310516564270714,0.13714642312864636,-0.004583817931344392,-0.10249728490968525,0.4072244399263256,1.4545832029588812e-05,0.007272916014794406,0,0,0.0,0,2.1220493151756506e-07,1.5079358019035888e-07,True,-2.7755575615628914e-17,-0.008505506057770793,9.490093040679261e-09,-6.743693917524163e-09,0.037777416822215006,3.4655949089766943e-06,0.03663301714135058,3.5207735913916696e-06,0.8869401760356067,0.9190912469870272,0.9050630726583365
500,3,polished,520265450,0.9201507714615814,-0.07984922853841858,-1.7854830296282014,0.08178795699092847,0.27900490992242066,0.0032117752798022092,-0.02235256034681103,-0.20042872821129437,-2.0096012687310503,0.003657668631450904,-0.04381942662157012,0.12560738361249868,-0.015395220335552446,-0.34424759198882393,0.40704876712893756,2.019507833317391e-05,0.010097539166586955,0,0,0.0,500,2.10514299258249e-07,2.545813401104449e-07,True,2.7755575615628914e-17,-0.007820173373271143,9.414485667543565e-09,-1.138522364579897e-08,0.03687815168304897,3.703560673929539e-06,0.035977093064374216,3.7880079675385272e-06,0.8602629010995204,0.9080861966126661,0.8969237744913274
500,4,baseline,520266459,0.8324180280482599,-0.16758197195174007,-3.7472468108755392,-0.11536865602126896,0.2055547863366271,0.01232358065871575,0.040486773972809115,-0.3332470230166118,-3.3413056413201874,-0.005159443146726956,-0.10252313631881836,-0.012845519702450597,0.1352443218883992,3.0241549731332333,0.40675275221162976,0.0004474012052217424,0.2237006026108712,0,0,0.0,0,6.390584553012703e-07,8.438650818223559e-07,True,0.0,-0.016162756229567227,2.857956295299302e-08,3.7738793735864196e-08,0.0628602852029648,4.030590625664145e-06,0.08172354739248869,3.9646806070963246e-06,1.5625914604776325,1.1855794819363799,1.3518114044940972
500,4,polished,520266459,0.8427750466788133,-0.1572249533211867,-3.515656833854048,-0.13904320566121023,0.16016470035043534,0.01094135861719897,0.040486773972809115,-0.3101492646288445,-3.109715664298696,-0.0062182011933589925,-0.20147765006497895,0.06243444440376868,0.15824084846648093,3.5383729398829473,0.40642495285684843,0.0004258626404368693,0.21293132021843464,0,0,0.0,500,5.980116196905111e-07,3.75410710611933e-07,True,5.551115123125783e-17,-0.015191607920805556,2.6743892659254693e-08,1.6788877368195676e-08,0.06004558424949871,4.004794984091526e-06,0.07499637292084453,3.819354528558586e-06,1.4808473267047015,1.1587321007487874,1.2949787176511158
500,5,baseline,520267468,1.0383026851226584,0.03830268512265844,0.8564740765503415,-0.28723861628618713,-0.038213234036406224,-0.0015768081672811324,-0.3328695043834259,-0.24744857408249976,-2.481046369249271,-0.01284570143557785,-0.37706789686995057,0.08982928058376348,0.08086479757398075,1.8081918436218105,0.37440369443237326,0.0005664376172648811,0.28321880863244053,0,0,0.0,0,1.2104243310692959e-07,5.89858958742499e-08,True,0.0,0.0037496231320924976,5.413182171781312e-09,2.6379294577709433e-09,0.03799315726923652,2.8690999083409404e-06,0.038150168972851214,2.8988731995796193e-06,0.8577541375559884,0.9217118982298815,0.9236144822186293
500,5,polished,520267468,1.0487024363297597,0.04870243632975968,1.0890195830319802,-0.2444305118451061,-0.018212935064933877,-0.0019620613608952314,-0.3328695043834259,-0.22425551541927702,-2.2485008627676324,-0.010931264805214495,-0.2980987953263914,0.0536682834812853,0.07262057902644906,1.623845512685356,0.37398916549039923,0.0004440099788778906,0.2220049894389453,0,0,0.0,500,1.7358332810263683e-07,3.397830890098695e-08,True,0.0,0.0047696192010452275,7.76288242796291e-09,1.5195561692618598e-09,0.03693057218550953,3.2582390680394555e-06,0.03730048806190326,3.364632040964679e-06,0.839052175273742,0.9087313676481201,0.9132711913792917
