n,stage,metric,completed_reps,planned_reps,signed_mean,signed_mc_se,mean_abs,mean_abs_mc_se,mean_abs_ci_low,mean_abs_ci_high,median_abs,q90_abs,rms
500,baseline,S,50,50,-0.5323837422144594,0.024941360069863385,0.5323837422144594,0.024941360069863385,0.48226220263773795,0.5825052817911809,0.5127403553598148,0.7394664631253326,0.5602802420564784
500,baseline,E,50,50,0.061779183886291236,0.025403954887064647,0.14227939258433067,0.017610251698178574,0.10689026685205788,0.17766851831660346,0.08845296452059875,0.3358079123664475,0.18825342714796178
500,baseline,T,50,50,0.02227451089208686,0.0011991787595563707,0.02227451089208686,0.0011991787595563707,0.019864670951991018,0.024684350832182702,0.020321526193061767,0.03346847984156046,0.023803724302152444
500,baseline,R_score,50,50,-0.6164374369928374,0.03207638988118174,0.6164374369928374,0.03207638988118174,0.5519775181911116,0.6808973557945631,0.6120340908572066,0.8937937440093044,0.6560571303849748
500,baseline,R_theta,50,50,-6.18071803642925,0.3216143432970315,6.18071803642925,0.3216143432970315,5.5344098162339534,6.827026256624547,6.1365678287230105,8.9616346816881,6.577965411185019
500,baseline,W,50,50,-0.02521416061464832,0.040216411098166226,0.24127947339346267,0.0210299087180049,0.19901828959467172,0.28354065719225363,0.2246640369681855,0.43677387601014356,0.2826417878777304
500,baseline,root_n_G,50,50,-0.6593601903837067,0.02518696334004925,0.6593601903837067,0.02518696334004925,0.6087450925570618,0.7099752882103517,0.6387048512302922,0.8857048905443836,0.6825251890261592
500,baseline,root_n_phi_score,50,50,0.12697644816924744,0.009532129893822284,0.12702222149833406,0.009519675811908622,0.1078917167212243,0.14615272627544382,0.1280766551271892,0.21231483631469114,0.14344069124554548
500,baseline,root_n_a,50,50,5.389126839308022,0.2873531672051176,5.389126839308022,0.2873531672051176,4.81166903018196,5.966584648434084,5.362382368972549,8.14778137122313,5.752278538334864
500,baseline,sqrt_n_prediction_error_squared,50,50,1.7673412373655555,0.06446957815963451,1.7673412373655555,0.06446957815963451,1.6377847695477858,1.8968977051833251,1.8208255367395685,2.3205486004940488,1.824049080531769
500,baseline,n_quarter_h_l2,50,50,1.1515067725051884,0.02621236112083968,1.1515067725051884,0.02621236112083968,1.0988310606900598,1.204182484320317,1.1940337497991484,1.3579503438366518,1.1660339416270231
500,baseline,n_quarter_m_l2,50,50,1.3342556373863603,0.033928843667493554,1.3342556373863603,0.033928843667493554,1.266073073327736,1.4024382014449845,1.2933906293201582,1.6611218426964682,1.3552288593058113
500,baseline,n_frozen_h_loss_gain,50,50,1.5299920346776041,0.13324653990153842,1.5299920346776041,0.13324653990153842,1.2622230876583194,1.797760981696889,1.3637763589742917,2.9451454264557393,1.7918853215448238
500,polished,S,50,50,-0.5114558867717665,0.02484590981770659,0.5114558867717665,0.02484590981770659,0.461526161658157,0.5613856118853758,0.48172373383972333,0.7383219712821685,0.5402182583107542
500,polished,E,50,50,0.06043634991504142,0.024704934692815463,0.14220426133891734,0.016497901263397483,0.10905048749539056,0.1753580351824441,0.11854159472764639,0.3109669616696308,0.18319090725713136
500,polished,T,50,50,0.02064159946560097,0.0011396120589600156,0.02064159946560097,0.0011396120589600156,0.018351463291981056,0.022931735639220886,0.01886703557511099,0.031102624589387562,0.022129453113435168
500,polished,R_score,50,50,-0.5925338361524088,0.032072372932579064,0.5925338361524088,0.032072372932579064,0.5280819897111239,0.6569856825936938,0.5881654707713431,0.8696806214783545,0.6336399333661703
500,polished,R_theta,50,50,-5.9410482695008024,0.3215740673092506,5.9410482695008024,0.3215740673092506,5.2948209869332015,6.587275552068403,5.897248796788407,8.719864142785214,6.353199091643782
500,polished,W,50,50,-0.02521416061464832,0.040216411098166226,0.24127947339346267,0.0210299087180049,0.19901828959467172,0.28354065719225363,0.2246640369681855,0.43677387601014356,0.2826417878777304
500,polished,root_n_G,50,50,-0.6511554229946678,0.023905166747863752,0.6511554229946678,0.023905166747863752,0.6031161918587155,0.6991946541306201,0.6184729600527433,0.9193804919285526,0.6723130057943846
500,polished,root_n_phi_score,50,50,0.1396995362229013,0.007896879395144616,0.1396995362229013,0.007896879395144616,0.12383016293982255,0.15556890950598004,0.13780334513846354,0.20271121069669087,0.15023859333002698
