n,rep,stage,seed,theta_hat,theta_error,root_n_theta_error,S,E,T,W,R_score,R_theta,Psi_hat,root_n_G,root_n_phi_score,a_hat,root_n_a,final_training_loss,frozen_h_loss_gain,n_frozen_h_loss_gain,exact_zero_residual_count,near_zero_residual_count,root_n_tie_score_bound,selected_polish_epoch,scaled_population_integration_se,scaled_population_refinement_gap,integration_adequate,decomposition_error,population_score,population_score_se,population_score_refinement_gap,h_l2_squared,h_l2_squared_se,m_l2_squared,m_l2_squared_se,sqrt_n_prediction_error_squared,n_quarter_h_l2,n_quarter_m_l2
500,1,baseline,520263432,0.7353319815869176,-0.2646680184130824,-5.918156806418183,-0.5059342705726795,0.40835975630088184,0.022013973224914052,-0.3460572570670428,-0.9363080000984754,-9.387904427240175,-0.022626068422945653,-0.6255365744790792,0.11960230390639977,0.38971978305468347,8.714399270867428,0.42635396640752926,0.005094050765875102,2.547025382937551,0,0,0.0,0,2.745131796707147e-07,6.521990547169719e-07,True,0.0,-0.025412320892045506,1.2276602609266627e-08,-2.916722842416508e-08,0.06328797644583825,1.4064693834697041e-06,0.08418915612580151,1.1294046892764886e-06,1.8067488835661478,1.189605890584356,1.3720520254918727
500,1,polished,520263432,0.7459977666942665,-0.25400223330573346,-5.679662601083812,-0.4933611891052027,0.3986000505898743,0.020560404868742888,-0.3460572570670428,-0.9125216445638199,-9.149410221905804,-0.022063783125987238,-0.5442956463493501,0.050934457244147274,0.3763427171014405,8.415278982757936,0.4255695677717564,0.004751902626182858,2.375951313091429,0,0,0.0,500,3.2226444164952164e-07,4.5226774605082223e-07,True,0.0,-0.024413568286882972,1.4412103965186895e-08,-2.022602848400501e-08,0.06241746230637248,1.6461960018654504e-06,0.08155951052002093,1.4492492069374999e-06,1.7563586332753816,1.181396160058427,1.3504540337767001
500,2,baseline,520264441,0.7144340392269329,-0.28556596077306706,-6.385449003486164,-0.570089551487866,-0.0466349103913728,0.013842435739188197,0.0995593198737751,-0.5372970768356814,-5.387216178691617,-0.025495179807784693,-0.5807121594340854,0.010622607946219297,0.23386864488910195,5.229461877777908,0.3738891593906042,0.00354875296365581,1.774376481827905,0,0,0.0,0,2.828229615642047e-07,4.894907274586046e-07,True,0.0,-0.027862031353218412,1.2648227353107439e-08,2.189069081906525e-08,0.024745029814088795,8.995581830824308e-07,0.0501432274689505,1.5810450978860934e-06,1.0091824076076028,0.7438519259204853,1.0588846265377927
500,2,polished,520264441,0.7251594132107769,-0.2748405867892231,-6.1456223503663345,-0.5980652401427493,-0.09801179860039932,0.01332438731916441,0.0995593198737751,-0.5133778288615144,-5.147389525571787,-0.02674629063877847,-0.6506510869647288,0.052585846821979615,0.22888720959964542,5.118073598450496,0.37295038596466473,0.0033656369347744297,1.6828184673872149,0,0,0.0,500,3.1072281425011587e-07,5.140699606404193e-07,True,0.0,-0.02681549789405637,1.3895946696465987e-08,2.2989907543652377e-08,0.026238825523603466,1.0304391320224339e-06,0.0483332170879647,1.6547745610017199e-06,1.0089845884452506,0.7659751792358148,1.0395978019404597
500,3,baseline,520265450,0.7803585350017935,-0.21964146499820647,-4.911332464136304,-0.3572468183369865,0.14231376262396428,0.01262652264889147,-0.02235256034681103,-0.5121871036098422,-5.135450703239153,-0.015976563410940402,-0.6312092925249118,0.27396247418792535,0.17068949725190277,3.8167331890051814,0.41180711452275115,0.0011461131063792984,0.5730565531896492,0,0,0.0,0,1.3353350259416243e-07,1.841285325494282e-08,True,0.0,-0.021341391470026748,5.971799781483834e-09,-8.234478307556081e-10,0.04301241953315334,8.123050949152554e-07,0.048936319550206504,1.0538203055643825e-06,1.2314700039077435,0.9807073669187494,1.0460637508436743
500,3,polished,520265450,0.7909130036366631,-0.20908699636333694,-4.675327370796728,-0.33899320477012057,0.1381269927295415,0.011528803579369251,-0.02235256034681103,-0.4886490010790313,-4.899445609899576,-0.01516023699552991,-0.49235456387923876,0.15336135910911824,0.11403326501030513,2.549861322592905,0.41111612661419283,0.0009696783835150824,0.4848391917575412,0,0,0.0,500,1.3274823437247752e-07,4.337671119398044e-08,True,0.0,-0.020337827012814676,5.9366815189986776e-09,1.9398654974023266e-09,0.041854537726757804,7.567852877937756e-07,0.047676175214822515,7.310337757729196e-07,1.180283454482396,0.9674171361096514,1.0325074754573635
500,4,baseline,520266459,0.661254291647634,-0.33874570835236595,-7.574584309622086,-0.4346125563814912,0.2477927888312642,0.032563365207822104,0.040486773972809115,-0.7149687104205775,-7.1686431400667345,-0.019436464398879486,-0.5399341273787099,0.10532157099721882,0.2813219838404341,6.290550794323081,0.4112503797449264,0.002000279516490011,1.0001397582450056,0,0,0.0,0,1.1909734410360205e-06,1.0312495896432364e-06,True,0.0,-0.03232871837795604,5.3261951471067585e-08,4.611888368422079e-08,0.06446381886195925,4.4175923189125045e-06,0.11685525618924861,4.05670703311787e-06,2.082919292505153,1.200606018078262,1.6164661962667606
500,4,polished,520266459,0.6720074545735899,-0.3279925454264101,-7.334136276866408,-0.42428492636142273,0.23638279005344676,0.030319772379310828,0.040486773972809115,-0.6909874887941804,-6.928195107311056,-0.018974598743452673,-0.5328460694890252,0.10856114312760255,0.27014933727779045,6.0407228222965745,0.410604776869121,0.0017086525581580525,0.8543262790790263,0,0,0.0,500,1.161523848416922e-06,1.1703842449620696e-06,True,0.0,-0.031356582064721444,5.194492565094798e-08,5.234117463059906e-08,0.06246977624169863,4.389201701158647e-06,0.1129874558388253,4.183264087667834e-06,1.9982521686447916,1.1818911380310773,1.5894893263572702
500,5,baseline,520267468,0.7468185712862578,-0.25318142871374216,-5.661308852444447,-0.8589768024915201,0.018032479888380082,0.02049408791627705,-0.3328695043834259,-0.8975033702961772,-8.998829298244058,-0.03841461042932899,-1.096429831267303,0.23745302877578314,0.3745747008386853,8.375744937269479,0.3874131662673748,0.007446505240906787,3.723252620453393,0,0,0.0,0,2.68808456136519e-07,4.2841841297585705e-07,True,0.0,-0.024334670657235217,1.2021479616960539e-08,-1.9159453884531885e-08,0.062463785815882224,1.335649037028613e-06,0.08460177395736364,1.244434453692428e-06,1.7550672780759085,1.181834469019667,1.37541018458399
500,5,polished,520267468,0.7576292726018196,-0.24237072739818044,-5.419574222184022,-0.9039473252718148,-0.04938501097132719,0.018831514833666962,-0.3328695043834259,-0.8733938291341545,-8.757094667983633,-0.040425753347737826,-0.9782493390841239,0.07430201381230937,0.3622867449608549,8.10097789079601,0.386387952026145,0.0071133260406457954,3.5566630203228975,0,0,0.0,500,2.53442771053946e-07,5.07375150045271e-07,True,0.0,-0.023330811726948526,1.1334305289650785e-08,-2.2690506511907627e-08,0.0603156961557137,1.208598465241662e-06,0.08288527613746126,1.032478832209719e-06,1.6770865037487783,1.1613354240459497,1.361385734379513
