n,stage,completed_reps,inadequate_integrations,max_scaled_se,max_scaled_refinement_gap,max_decomposition_error
500,baseline,50,0,1.1909734410360205e-06,2.5181286181619755e-06,1.1102230246251565e-16
500,polished,50,0,1.161523848416922e-06,2.358295646210902e-06,2.220446049250313e-16
1000,baseline,50,0,5.62699198048018e-07,1.1100560238178764e-06,5.551115123125783e-17
1000,polished,50,0,5.101777336259761e-07,1.0604104320878578e-06,5.551115123125783e-17
2000,baseline,50,0,3.5585814028039955e-07,1.0538023547107801e-06,5.551115123125783e-17
2000,polished,50,0,3.9982238079299584e-07,1.0508945253742277e-06,5.551115123125783e-17
4000,baseline,50,0,7.856003398777831e-07,8.0027527327335e-07,5.551115123125783e-17
4000,polished,50,0,7.206213799456363e-07,7.607056862935925e-07,4.163336342344337e-17
