n,Q,mean_theta_hat,bias_theta,mean_abs_Sn,sd_abs_Sn,mc_se_mean_abs_Sn,median_abs_Sn,q90_abs_Sn,prob_abs_Sn_gt_0_1,prob_abs_Sn_gt_0_25,mean_abs_sqrt_n_G_theta,sd_abs_sqrt_n_G_theta,mean_abs_a_hat,sd_abs_a_hat,mean_abs_sqrt_n_a_hat,sd_abs_sqrt_n_a_hat,mean_Sn,mean_G_theta
500,30,0.9329263003366373,-0.06707369966336273,0.11731852266507445,0.07414452119913849,0.013536875592062713,0.10351939185895476,0.2641207954146369,0.5666666666666667,0.13333333333333333,0.15425343740859815,0.10336847718319342,0.05011209392750431,0.047526243028198044,1.1205404851675405,1.062719101262263,-0.07304848745482015,-0.006633517942607577
1000,30,1.024425870703822,0.024425870703822,0.08065603956079442,0.05751113822783928,0.010500049238395086,0.0726920124900152,0.1573488381357425,0.23333333333333334,0.0,0.11252569335002355,0.07938520264171667,0.017391621898652437,0.016074878897220847,0.5499713740420377,0.5083323042659359,0.06548521633193277,1.2355231073729962e-05
2000,30,1.0159728153169778,0.01597281531697772,0.06995123683238225,0.05847585471251758,0.010676181565146882,0.04418047694962145,0.160949060648122,0.3333333333333333,0.0,0.16649827038370385,0.15506672781071731,0.013016015156935564,0.010764617747004934,0.5820938937415102,0.4814083406820734,0.062088770254745844,-0.0007543173293595135
