n,rep,seed,theta_hat,theta_error,Psi_hat,Sn,abs_Sn,G_theta,sqrt_n_G_theta,abs_sqrt_n_G_theta,a_hat,abs_a_hat,sqrt_n_a_hat,abs_sqrt_n_a_hat,final_training_loss
500,1,520263432,0.9892438320377283,-0.010756167962271745,-0.013083291123607694,-0.29255128321806406,0.29255128321806406,-0.014077879179745276,-0.3147909482493942,0.3147909482493942,0.1599633572451938,0.1599633572451938,3.5768894070933688,3.5768894070933688,0.4165740128577166
500,2,520264441,0.9169401513333686,-0.08305984866663141,-0.003658529008743812,-0.08180719561206086,0.08180719561206086,0.000306392379952654,0.006851141893620781,0.006851141893620781,0.02427176643538851,0.02427176643538851,0.5427331968352647,0.5427331968352647,0.3668728116641498
500,3,520265450,0.9131034249326264,-0.08689657506737358,0.003838698439765281,0.08583590656437551,0.08583590656437551,-0.0022946760599667653,-0.051310516564270714,0.051310516564270714,-0.004583817931344392,0.004583817931344392,-0.10249728490968525,0.10249728490968525,0.4073286113643783
500,4,520266459,0.8324180280482599,-0.16758197195174007,-0.005159443146726957,-0.11536865602126897,0.11536865602126897,-0.004584974041507108,-0.10252313631881836,0.10252313631881836,0.13524432188839916,0.13524432188839916,3.0241549731332324,3.0241549731332324,0.4069251083406451
500,5,520267468,1.0383026851226584,0.03830268512265844,-0.012845701435577854,-0.2872386162861872,0.2872386162861872,-0.016862988990681792,-0.37706789686995057,0.37706789686995057,0.08086479757398075,0.08086479757398075,1.8081918436218105,1.8081918436218105,0.3745089147973662
500,6,520268477,1.0326963978362331,0.032696397836233126,0.0013440765398516471,0.030054465100709884,0.030054465100709884,0.0005700102777813765,0.012745817289926959,0.012745817289926959,-0.01144015574256296,0.01144015574256296,-0.25580965913555365,0.25580965913555365,0.38837729831175555
500,7,520269486,0.9098215351904997,-0.09017846480950031,-0.004709572775684083,-0.1053092487141198,0.1053092487141198,-0.006168405869594743,-0.1379297483722255,0.1379297483722255,0.04403451686949787,0.04403451686949787,0.9846417307655848,0.9846417307655848,0.383982380047132
500,8,520270495,0.9054558060010673,-0.09454419399893266,-0.0058780607768727944,-0.13143743472962793,0.13143743472962793,-0.010060368437463585,-0.22495667704861919,0.22495667704861919,0.08238479784056926,0.08238479784056926,1.8421800828409076,1.8421800828409076,0.41308351833746987
500,9,520271504,0.973962090171689,-0.026037909828311,-0.01177724646524621,-0.2633472368405964,0.2633472368405964,-0.015405811873169618,-0.3444844259698064,0.3444844259698064,0.14636448051424325,0.14636448051424325,3.272809279212913,3.272809279212913,0.3969261189209086
500,10,520272513,1.001200849551904,0.0012008495519040263,0.0023079238137212084,0.05160674534371184,0.05160674534371184,-0.0069326149208468945,-0.1550179822484298,0.1550179822484298,-0.008963875436196434,0.008963875436196434,-0.20043834817175807,0.20043834817175807,0.398084752286907
