"case","n","tau_0.50_LQR","tau_0.50_PLAQR","tau_0.50_DPLQR"
1,1000,-0.0286337098076359,-0.00433285810121409,-0.337762117385864
2,1000,0.00911514960952076,0.00636709769644028,-0.338976383209229
3,1000,0.198000348459578,0.183580970829059,0.0645325183868408
