"case","n","tau_0.50_LQR","tau_0.50_PLAQR","tau_0.50_DPLQR"
1,1000,0.000839125092507713,0.00250044801896761,0.0245185015734189
2,1000,0.0456844112271809,0.00441429142163186,0.0138049456158897
3,1000,0.0501921194684738,0.053809532733669,0.0805177982148408
