"case","n","tau_0.50_LQR","tau_0.50_PLAQR","tau_0.50_DPLQR"
1,1000,0.0226842596495124,0.0413289916138224,0.183208220085702
2,1000,0.0786097776883775,0.0677170460913824,0.113363389964116
3,1000,0.0493114703273209,0.11255291086099,0.161114252040412
