"case","n","tau","method","bias","sd","coverage","rmse","successful_reps"
1,1000,0.5,"LQR",-0.0286337098076359,0.0226842596495124,1,0.000839125092507713,2
1,1000,0.5,"PLAQR",-0.00433285810121409,0.0413289916138224,1,0.00250044801896761,2
1,1000,0.5,"DPLQR",-0.337762117385864,0.183208220085702,0.5,0.0245185015734189,2
2,1000,0.5,"LQR",0.00911514960952076,0.0786097776883775,1,0.0456844112271809,2
2,1000,0.5,"PLAQR",0.00636709769644028,0.0677170460913824,1,0.00441429142163186,2
2,1000,0.5,"DPLQR",-0.338976383209229,0.113363389964116,0,0.0138049456158897,2
3,1000,0.5,"LQR",0.198000348459578,0.0493114703273209,1,0.0501921194684738,2
3,1000,0.5,"PLAQR",0.183580970829059,0.11255291086099,1,0.053809532733669,2
3,1000,0.5,"DPLQR",0.0645325183868408,0.161114252040412,0.5,0.0805177982148408,2
