component_i,component_j,omega_population,monte_carlo_se,analytic_benchmark,error_in_MCSE,M,seed
1,1,0.176575444882446,5.3929330978231846e-05,0.17670055566321391,-2.3199023332665925,10000000,2026091502
1,2,0.013286864732873769,7.0621297514653728e-05,0.013267113013140545,0.27968503027186836,10000000,2026091502
2,1,0.013286864732873769,7.0621297514653728e-05,0.013267113013140545,0.27968503027186836,10000000,2026091502
2,2,0.19072813511378289,6.7688723127660134e-05,0.19067123992328722,0.84054164219307814,10000000,2026091502
