case,method,tau,n,epochs,rep,n_train,n_val,data_seed,fit_seed,data_sha256,epochs_run,optimizer_updates,projection_1_epochs_run,projection_2_epochs_run,projection_1_seed,projection_2_seed,density_zero,last_epoch_train_loss,last_epoch_validation_loss,training_loss,theta_hat_1,theta_0_1,estimated_se_1,theta_error_1,root_n_train_error_1,T_1,ci_lower_1,ci_upper_1,covered_1,theta_hat_2,theta_0_2,estimated_se_2,theta_error_2,root_n_train_error_2,T_2,ci_lower_2,ci_upper_2,covered_2,se_oracle_A_1,se_oracle_A_2,se_oracle_A_moment_1,se_oracle_A_moment_2,se_oracle_B_1,T_oracle_A_1,ci_lower_oracle_A_1,ci_upper_oracle_A_1,covered_oracle_A_1,T_oracle_B_1,ci_lower_oracle_B_1,ci_upper_oracle_B_1,covered_oracle_B_1,T_oracle_A_moment_1,ci_lower_oracle_A_moment_1,ci_upper_oracle_A_moment_1,covered_oracle_A_moment_1,Z_MC_1,se_oracle_B_2,T_oracle_A_2,ci_lower_oracle_A_2,ci_upper_oracle_A_2,covered_oracle_A_2,T_oracle_B_2,ci_lower_oracle_B_2,ci_upper_oracle_B_2,covered_oracle_B_2,T_oracle_A_moment_2,ci_lower_oracle_A_moment_2,ci_upper_oracle_A_moment_2,covered_oracle_A_moment_2,Z_MC_2
3,DPLQR,0.5,500,200,1,400,100,50760905,51260905,07186b455866b49073d60cc9802ff5f48c8881aeb8da4aebf4cb26e3a7a6f9dd,200,800,200,200,51760905,51760906,0.84909327538411183,0.36507871001958847,0.72362631559371948,0.35800505055880377,0.54157072305679321,1,0.19190189692645079,-0.45842927694320679,-9.1685855388641357,-2.3888730871634194,0.16544991651603197,0.91769152959755451,False,-0.44369485974311829,-1,0.16519324224965012,0.55630514025688171,11.126102805137634,3.3676022861525983,-0.76746766504183295,-0.11992205444440363,False,0.16247359501986214,0.16082878525396688,0.16258907979623857,0.16101869464904708,0.16229182574504139,-2.8215617244584545,0.2231224768178634,0.86001896929572297,False,-2.8247219158369319,0.22347874459651207,0.85966270151707436,False,-2.8195576081599323,0.22289612665616559,0.86024531945742089,False,-1.2452490469680726,0.15615446954078913,3.4589898778282313,-0.75891927884089339,-0.12847044064534319,False,3.5625310110740647,-0.7497576200430649,-0.13763209944317162,False,3.4549102603855566,-0.75929150125525058,-0.12809821823098599,False,1.2492106650348085
3,DPLQR,0.5,500,200,2,400,100,50760906,51260906,0b662ac19523ed2889b3077c71c9d322b6c1ac2d4368d58f7509486b9ef32843,200,800,200,200,51760906,51760907,1.0530669110421627,0.35609940439462662,0.7496069073677063,0.3439162062006289,0.63330262899398804,1,0.15097845487119732,-0.36669737100601196,-7.3339474201202393,-2.4288059598891025,0.33739029500493539,0.92921496298304063,False,-0.69894242286682129,-1,0.12780028545221825,0.30105757713317871,6.0211515426635742,2.3556878301788897,-0.94942637956710729,-0.44845846616653529,False,0.16697180094866482,0.14950253840124464,0.1659043764811057,0.14958376776940749,0.16229182574504139,-2.1961634774410346,0.306037899134605,0.96056735885337108,False,-2.2594937811722531,0.31521065053370689,0.95139460745426918,False,-2.2102935364563687,0.30813005109102087,0.9584752068969552,False,-0.73874774001449339,0.15615446954078913,2.0137288660957768,-0.99196739813326085,-0.40591744760038179,False,1.9279472308318362,-1.0050051831667679,-0.39287966256687462,True,2.0126353388642899,-0.99212660769485994,-0.40575823803878264,False,-0.12719385407856432
3,DPLQR,0.5,500,200,3,400,100,50760907,51260907,272be430285a9081050cf3428e716df06250ce566272b36a49c7319ae16c5c00,200,800,200,200,51760907,51760908,0.89073398543867488,0.30693799257278442,0.77730453014373779,0.33813513475437645,0.47077286243438721,1,0.16019494388161976,-0.52922713756561279,-10.584542751312256,-3.30364445182926,0.1567965419209974,0.78474918294777707,False,-0.5704231858253479,-1,0.23081262098809638,0.4295768141746521,8.591536283493042,1.8611495867758745,-1.0228076101393107,-0.1180387615113852,True,0.16388750561667936,0.15562740585037788,0.16401182784544399,0.15579727278639535,0.16229182574504139,-3.2292097898142127,0.14955335142569565,0.79199237344307871,False,-3.2609599105565712,0.15268088397410606,0.78886484089466835,False,-3.2267620239213981,0.14930967985731697,0.79223604501145739,False,-1.6361622038288637,0.15615446954078913,2.7602902703888326,-0.87545290129208853,-0.26539347035860728,False,2.7509735420185479,-0.87648594612529451,-0.26436042552540123,False,2.757280705186798,-0.87578584048668273,-0.26506053116401301,False,0.56583708612734374
3,DPLQR,0.5,500,200,4,400,100,50760908,51260908,df31a25deed2ec21948f961dc569df7e2a4d86f11608629c6d72817da887528d,200,800,200,200,51760908,51760909,1.1018077803256294,0.41970354318618774,0.75182294845581055,0.35921636385949485,0.69162547588348389,1,0.16599624865135157,-0.30837452411651611,-6.1674904823303223,-1.8577198377790285,0.36627880695807929,1.0169721448088884,True,-0.52098369598388672,-1,0.18206048965168412,0.47901630401611328,9.5803260803222656,2.6310832456430351,-0.87781569870891474,-0.16415169325885864,False,0.15819203051114022,0.15218121673597484,0.15838418505549598,0.15218696527506512,0.16229182574504139,-1.9493682653931148,0.38156909608164907,1.0016818556853186,True,-1.9001235749295777,0.37353349742320274,1.009717454343765,True,-1.9470032567232975,0.38119247317471178,1.0020584785922559,True,-0.41671585947111522,0.15615446954078913,3.1476703517700049,-0.81925888078639741,-0.22270851118137602,False,3.0675798484973202,-0.82704645628383333,-0.21492093568394005,False,3.1475514552138657,-0.81927014792301434,-0.2226972440447591,False,0.83243605540905141
3,DPLQR,0.5,500,200,5,400,100,50760909,51260909,f5f113ffe37c6a66f157d5902d6d3eb886b0eceec7e63fa250f609c9bfca685b,200,800,200,200,51760909,51760910,0.93258590968515553,0.43874500691890717,0.72011518478393555,0.37969759951777915,0.91649216413497925,1,0.23546303684272313,-0.083507835865020752,-1.670156717300415,-0.35465369420508908,0.45499309223281409,1.3779912360371445,True,-0.48704260587692261,-1,0.22972573228408469,0.51295739412307739,10.259147882461548,2.2329122167678683,-0.93729676747581903,-0.036788444278026244,False,0.16687612967386395,0.16481881949929866,0.16708160187483792,0.16483950538220485,0.16229182574504139,-0.50041810070874204,0.58941494997420585,1.2435693782957526,True,-0.51455355487965615,0.5984001856746981,1.2345841425952604,True,-0.49980270076400812,0.58901222446029688,1.2439721038096616,True,0.82489435592858407,0.15615446954078913,3.1122501403746563,-0.81008749209554798,-0.16399771965829724,False,3.2849357154589018,-0.79310536617686922,-0.18097984557697594,False,3.1118595808311218,-0.81012803642604414,-0.16395717532780113,False,1.0154609949428282
3,DPLQR,0.5,500,200,6,400,100,50760910,51260910,956bf85b0f4610432ed7b33baa1747cd99ee08fe115f51a17472a33191cf9f1b,200,800,200,200,51760910,51760911,0.62749462823133773,0.29999246820807457,0.69559186697006226,0.33313834822805105,0.96213221549987793,1,0.26445912869513499,-0.03786778450012207,-0.75735569000244141,-0.14318955328547406,0.44380184787457022,1.4804625831251856,True,-0.4498400092124939,-1,0.21956268975447052,0.5501599907875061,11.003199815750122,2.5057080116969384,-0.88017497347999762,-0.019505044944990169,False,0.15869314448649915,0.14997949077123263,0.15868468847812614,0.15002011599778967,0.16229182574504139,-0.23862268671186157,0.65109365230633953,1.2731707786934163,True,-0.23333143444705545,0.64404023703959679,1.2802241939601591,True,-0.23863540246570134,0.65111022608275071,1.273154204917005,True,1.0768976848638487,0.15615446954078913,3.6682348230310939,-0.74379981112410987,-0.15588020730087793,False,3.5231779942347328,-0.75590276951244051,-0.14377724891254723,False,3.6672414704412835,-0.74387943656816158,-0.15580058185682616,False,1.2160733790338583
3,DPLQR,0.5,500,200,7,400,100,50760911,51260911,9ecfa137ee26905330209ee5b860e4059da89bc34c22ebabd81abb9a738e5206,200,800,200,200,51760911,51760912,0.8339287136534792,0.46393482387065887,0.70532655715942383,0.38467513250785634,0.72390276193618774,1,0.19080487048425909,-0.27609723806381226,-5.5219447612762451,-1.44701357655642,0.34993208771221035,1.0978734361601652,True,-0.7191164493560791,-1,0.20631877761244369,0.2808835506439209,5.617671012878418,1.3614056553375973,-1.1234938228107976,-0.31473907590136069,True,0.16100828305194551,0.15704973108068465,0.16113529903177201,0.15697128625885423,0.16229182574504139,-1.7148014551197719,0.40832652715437456,1.0394789967180009,True,-1.701239337202096,0.4058107834759066,1.0419947403964689,True,-1.7134497513755351,0.40807757583391463,1.0397279480384609,True,-0.23849556192489188,0.15615446954078913,1.7885006788048325,-1.0269339222742211,-0.41129897643793717,True,1.7987544735026062,-1.0251792096560257,-0.41305368905613243,True,1.7893944640341966,-1.0267801704234334,-0.41145272828872481,True,-0.23598087201796797
3,DPLQR,0.5,500,200,8,400,100,50760912,51260912,4e7013110c848a4e791c36483904d62cd0b05a46f5187d6837c5c0e9ef13024c,200,800,200,200,51760912,51760913,0.86963845609784207,0.32689604908227921,0.62221956253051758,0.32162621944766456,0.4011809229850769,1,0.18925925763303855,-0.5988190770149231,-11.976381540298462,-3.1640147198294231,0.03023959428353401,0.77212225168661974,False,-0.7565796971321106,-1,0.20165188732970302,0.2434203028678894,4.8684060573577881,1.2071312899238804,-1.1518101337128575,-0.36134926055136385,True,0.16142448848529398,0.16564743741060478,0.16139809368781186,0.16585026981052803,0.16229182574504139,-3.7095925322970835,0.084788925553900718,0.71757292041625309,False,-3.6897673328024605,0.08308894452479576,0.71927290144535805,False,-3.7101991933882643,0.084840659356965664,0.71752118661318809,False,-2.0204168197598045,0.15615446954078913,1.4695084130067295,-1.0812486744568961,-0.43191071980732521,True,1.5588430070796377,-1.0626424574320572,-0.45051693683216393,True,1.4677112261920318,-1.0816462259607456,-0.43151316830347569,True,-0.43799879888296817
3,DPLQR,0.5,500,200,9,400,100,50760913,51260913,bfa707ba756b604bb7403a854c2e49eb7947700c48d8a71acfb7344535a0fcf1,200,800,200,200,51760913,51760914,0.9956763002569764,0.34283439815044403,0.72079849243164062,0.31666933348997639,0.84381002187728882,1,0.20380525474373629,-0.15618997812271118,-3.1237995624542236,-0.76636874902515972,0.44435906271955472,1.2432609810350228,True,-1.0938271284103394,-1,0.23800660647520516,-0.093827128410339355,-1.8765425682067871,-0.39422068908038482,-1.560311505184339,-0.62734275163633968,True,0.17093967815236902,0.14827479169616498,0.17055928464570641,0.14814209958312144,0.16229182574504139,-0.9137140060804928,0.50876825269864556,1.1788517910559322,True,-0.96240200272368526,0.52571804341700767,1.16190200033757,True,-0.91575183636092394,0.5095138239717043,1.1781062197828733,True,0.42357706431021347,0.15615446954078913,-0.6327921782052055,-1.3844457201348228,-0.80320853668585601,True,-0.60086098519153019,-1.399889888710286,-0.78776436811039274,True,-0.63335897543219066,-1.3841856435932574,-0.80346861322742136,True,-2.2565818356415464
3,DPLQR,0.5,500,200,10,400,100,50760914,51260914,daf4bda9b630ee6234bbcc97d3680cd6d153ff2f3c72a437ea0fee22d323a3a0,200,800,200,200,51760914,51760915,0.8455824666992221,0.36226918548345566,0.73383146524429321,0.35810058322213295,0.67750066518783569,1,0.20296760192013935,-0.32249933481216431,-6.4499866962432861,-1.5889202599883725,0.27969147539589984,1.0753098549797715,True,-0.82324081659317017,-1,0.20892049089755949,0.17675918340682983,3.5351836681365967,0.84605958298987827,-1.2327174543848149,-0.41376417880152538,True,0.16493030758543653,0.15552907232028257,0.1648703718041066,0.15572167746689061,0.16229182574504139,-1.9553673277733052,0.35423726232038011,1.0007640680552914,True,-1.9871569829943689,0.35940868672755455,0.99559264364811684,False,-1.9560781678550898,0.35435473645178678,1.0006465939238847,True,-0.49470655425419235,0.15615446954078913,1.1365025250252112,-1.128077798340924,-0.5184038348454163,True,1.131950842820151,-1.1293035768931168,-0.51717805629322355,True,1.1350968361126998,-1.1284553044282757,-0.51802632875806465,True,-0.7974641937823187
